x_mm,y_mm,z_mm,U,W,urms,wrms,uw,uuu,www,uuw,uww
-103.0,0.0,292.9,0.131,-1.591,11.929,8.604,-70.045,-269.468,96.514,216.27,-218.688
-103.0,0.0,293.9,0.739,-1.909,11.977,9.382,-69.647,-312.384,59.783,247.092,-234.92
-103.0,0.0,294.9,1.522,-2.506,11.845,9.956,-69.683,-341.407,77.064,237.235,-234.469
-103.0,0.0,295.9,2.422,-3.068,11.993,10.573,-71.814,-378.234,69.552,271.942,-241.704
-103.0,0.0,296.9,2.977,-3.178,12.036,10.987,-74.237,-383.744,78.452,259.528,-226.401
-103.0,0.0,297.9,3.925,-3.849,12.15,11.342,-73.754,-377.995,112.06,254.766,-244.114
-103.0,0.0,298.9,4.718,-4.364,12.242,11.633,-73.338,-415.1,176.916,238.703,-274.234
-103.0,0.0,299.9,5.88,-4.95,12.457,11.749,-76.644,-401.681,172.622,282.849,-290.017
-103.0,0.0,300.9,6.551,-5.035,12.582,12.308,-80.223,-440.658,216.047,266.877,-284.343
-103.0,0.0,301.9,7.471,-5.676,12.704,12.361,-81.215,-455.546,372.018,275.018,-357.126
-103.0,0.0,302.9,8.671,-5.986,12.878,12.517,-84.767,-482.098,358.857,301.727,-336.612
-103.0,0.0,303.9,9.738,-6.772,13.034,12.472,-85.366,-554.542,470.107,358.902,-408.359
-103.0,0.0,304.9,10.591,-7.039,12.941,12.4,-84.559,-520.93,497.951,355.605,-419.007
-103.0,0.0,305.9,11.971,-7.508,13.107,12.498,-86.596,-594.755,573.164,386.064,-448.851
-103.0,0.0,306.9,13.12,-8.088,13.115,12.486,-88.339,-641.401,651.657,415.703,-512.388
-103.0,0.0,307.9,14.189,-8.016,13.145,12.475,-89.987,-657.933,705.777,444.905,-553.223
-103.0,0.0,308.0,14.272,-8.045,13.138,12.485,-90.058,-658.385,707.477,447.979,-559.618
-103.0,0.0,310.0,17.364,-9.275,13.096,12.268,-90.24,-936.303,980.334,649.914,-774.226
-103.0,0.0,313.0,22.269,-10.944,12.65,11.63,-81.45,-1180.057,1214.598,777.622,-929.378
-103.0,0.0,318.0,29.944,-12.683,11.417,10.277,-65.21,-1416.472,1246.411,883.458,-1016.098
-103.0,0.0,323.0,36.881,-13.726,9.205,8.262,-39.932,-1207.479,884.07,676.194,-716.075
-103.0,0.0,333.0,45.06,-14.074,3.758,4.465,-6.124,-133.468,212.982,104.165,-118.194
-103.0,0.0,343.0,46.148,-13.29,1.751,2.139,0.008,3.437,28.681,5.152,-1.726
-103.0,0.0,353.0,45.93,-12.482,1.024,1.13,0.202,0.68,2.669,0.645,0.33
-103.0,0.0,363.0,45.719,-11.636,0.698,0.716,0.102,0.066,0.437,0.13,0.046
-103.0,0.0,373.0,45.502,-10.781,0.546,0.518,0.066,0.014,0.122,0.039,0.016
-103.0,0.0,388.0,45.122,-9.729,0.423,0.398,0.035,-0.005,0.023,0.017,0.001
-83.0,0.0,282.9,2.213,-2.384,10.012,7.023,-52.11,-118.921,26.319,90.424,-31.832
-83.0,0.0,283.9,3.424,-3.056,10.047,7.877,-51.03,-112.012,-1.209,91.983,-29.014
-83.0,0.0,284.9,3.924,-3.535,10.062,8.488,-48.374,-144.672,-13.506,88.5,-17.307
-83.0,0.0,285.9,4.612,-3.876,10.032,9.134,-49.442,-119.603,-15.165,101.804,-33.066
-83.0,0.0,286.9,5.226,-4.237,10.289,9.635,-51.654,-113.045,-35.525,91.492,-21.325
-83.0,0.0,287.9,5.646,-4.568,10.164,9.914,-50.567,-121.145,-26.303,97.075,-44.282
-83.0,0.0,288.9,6.121,-4.814,10.397,10.22,-52.053,-162.377,-23.114,98.374,-14.531
-83.0,0.0,289.9,6.84,-5.359,10.598,10.584,-55.342,-178.292,7.123,93.768,-31.285
-83.0,0.0,290.9,7.354,-5.337,10.668,10.849,-56.2,-160.647,28.047,90.131,-43.24
-83.0,0.0,291.9,8.104,-5.788,10.768,11.131,-58.408,-152.853,82.582,94.401,-52.96
-83.0,0.0,292.9,8.826,-6.049,10.82,11.189,-57.659,-184.381,87.266,128.403,-73.449
-83.0,0.0,293.9,9.641,-6.435,11.029,11.217,-60.687,-200.574,104.335,114.302,-67.398
-83.0,0.0,294.9,10.403,-6.756,11.108,11.293,-61.788,-230.92,164.818,134.016,-93.143
-83.0,0.0,295.9,11.079,-7.056,11.231,11.343,-62.55,-238.605,234.022,112.387,-118.808
-83.0,0.0,296.9,11.854,-7.294,11.37,11.476,-65.627,-270.254,258.317,161.111,-102.681
-83.0,0.0,297.9,12.907,-7.634,11.533,11.603,-67.466,-248.017,292.676,181.743,-155.541
-83.0,0.0,298.0,12.987,-7.642,11.515,11.686,-67.525,-254.804,309.21,188.289,-256.113
-83.0,0.0,300.0,15.304,-8.682,11.51,11.729,-69.911,-372.377,571.553,285.197,-395.664
-83.0,0.0,303.0,18.461,-10.033,11.637,11.545,-70.517,-571.919,854.543,410.483,-554.638
-83.0,0.0,308.0,24.37,-11.67,11.483,10.786,-65.909,-964.492,1036.854,582.505,-748.128
-83.0,0.0,313.0,30.74,-13.275,10.291,9.457,-51.123,-1048.349,1035.97,637.099,-772.359
-83.0,0.0,323.0,40.391,-14.359,6.561,6.76,-22.462,-627.19,623.7,418.507,-448.674
-83.0,0.0,333.0,44.192,-14.3,2.848,3.667,-2.557,-46.601,130.702,41.044,-51.584
-83.0,0.0,343.0,44.66,-13.519,1.535,1.796,0.139,4.595,15.66,2.952,2.735
-83.0,0.0,353.0,44.606,-12.72,0.941,1.007,0.121,0.674,2.201,0.54,0.416
-83.0,0.0,363.0,44.527,-11.887,0.663,0.653,0.044,0.091,0.374,0.107,0.057
-83.0,0.0,373.0,44.43,-11.112,0.52,0.466,0.031,-0.007,0.107,0.034,0.015
-83.0,0.0,388.0,44.218,-10.103,0.428,0.371,0.013,-0.027,0.028,0.014,0.0
-63.0,0.0,274.0,5.611,-3.983,8.313,6.637,-35.215,-68.999,91.356,87.518,-119.02
-63.0,0.0,275.0,6.41,-4.405,8.667,7.173,-35.218,-54.607,82.543,82.36,-108.47
-63.0,0.0,276.0,6.842,-4.906,8.767,7.773,-36.042,-64.484,53.989,69.144,-102.158
-63.0,0.0,277.0,7.411,-5.037,8.798,8.228,-36.182,-56.975,39.021,72.273,-101.314
-63.0,0.0,278.0,7.951,-5.635,8.875,8.817,-36.045,-41.904,48.686,79.693,-114.783
-63.0,0.0,279.0,8.177,-5.679,8.961,8.976,-36.129,-81.199,34.335,72.65,-104.325
-63.0,0.0,280.0,8.706,-6.012,9.06,9.31,-38.441,-90.477,36.219,79.963,-105.091
-63.0,0.0,281.0,9.157,-6.288,9.24,9.651,-40.381,-82.961,50.953,70.597,-95.02
-63.0,0.0,282.0,9.694,-6.427,9.413,10.005,-41.586,-102.486,73.644,80.408,-126.014
-63.0,0.0,283.0,10.279,-6.692,9.493,10.047,-40.612,-86.576,66.158,75.519,-113.853
-63.0,0.0,284.0,11.005,-6.985,9.682,10.098,-42.575,-91.592,112.97,76.047,-117.921
-63.0,0.0,285.0,11.503,-7.268,9.545,10.331,-44.124,-89.653,132.01,86.63,-131.664
-63.0,0.0,286.0,12.055,-7.465,9.786,10.419,-47.363,-130.302,137.554,81.989,-127.168
-63.0,0.0,287.0,12.768,-7.862,9.87,10.411,-44.965,-115.492,187.766,98.763,-150.929
-63.0,0.0,288.0,13.345,-7.93,9.928,10.633,-46.976,-141.595,206.188,109.257,-149.155
-63.0,0.0,289.0,13.905,-8.113,10.115,10.734,-49.743,-157.508,248.283,121.67,-177.605
-63.0,0.0,289.0,13.91,-8.086,10.142,10.744,-49.781,-157.035,247.755,121.997,-178.617
-63.0,0.0,291.0,15.475,-8.851,10.363,10.883,-54.486,-211.911,385.075,145.897,-229.469
-63.0,0.0,293.0,16.939,-9.302,10.373,10.888,-55.678,-265.956,468.429,179.425,-291.195
-63.0,0.0,298.0,21.781,-11.128,10.475,10.523,-56.546,-452.991,742.747,315.521,-472.306
-63.0,0.0,303.0,26.344,-12.396,10.161,9.92,-51.288,-657.897,884.138,411.766,-576.691
-63.0,0.0,313.0,35.778,-14.277,7.893,7.822,-31.391,-708.919,717.802,437.35,-519.684
-63.0,0.0,323.0,41.596,-14.754,4.446,5.129,-8.566,-215.273,292.859,145.422,-178.838
-63.0,0.0,333.0,43.301,-14.212,2.149,2.898,-1.04,-3.829,75.353,19.424,-20.526
-63.0,0.0,343.0,43.529,-13.513,1.282,1.492,0.02,2.985,8.148,1.435,0.671
-63.0,0.0,353.0,43.537,-12.749,0.846,0.888,0.05,0.671,1.526,0.456,0.38
-63.0,0.0,363.0,43.539,-11.96,0.619,0.595,0.015,0.11,0.253,0.066,0.057
-63.0,0.0,373.0,43.508,-11.247,0.512,0.433,0.01,0.035,0.077,0.029,0.014
-63.0,0.0,388.0,43.421,-10.26,0.416,0.349,-0.002,-0.002,0.023,0.012,0.0
-43.0,0.0,264.0,6.41,-4.153,7.108,5.523,-28.704,-33.208,81.712,8.505,-49.199
-43.0,0.0,265.0,7.76,-4.894,7.6,6.319,-29.314,-13.277,71.352,-2.13,-43.849
-43.0,0.0,266.0,8.391,-5.379,7.659,6.949,-28.736,-18.95,59.384,-1.431,-43.571
-43.0,0.0,267.0,9.087,-5.462,7.792,7.331,-28.948,-15.723,43.306,7.344,-33.533
-43.0,0.0,268.0,9.255,-5.977,7.938,7.753,-30.02,-21.459,46.534,-1.873,-41.368
-43.0,0.0,269.0,9.709,-6.259,7.969,8.043,-29.862,-30.56,22.463,6.917,-46.701
-43.0,0.0,270.0,10.01,-6.345,8.074,8.315,-29.986,-13.204,38.735,7.664,-47.462
-43.0,0.0,271.0,10.515,-6.59,8.088,8.597,-29.872,-28.323,23.371,-3.624,-36.486
-43.0,0.0,272.0,10.958,-6.739,8.086,8.908,-30.848,-35.693,18.245,0.911,-36.566
-43.0,0.0,273.0,11.429,-7.231,8.413,9.039,-32.72,-44.092,35.352,4.057,-52.088
-43.0,0.0,274.0,11.897,-7.347,8.576,9.29,-35.211,-45.222,55.438,1.61,-38.262
-43.0,0.0,275.0,12.442,-7.53,8.655,9.549,-36.295,-48.812,73.341,4.675,-48.544
-43.0,0.0,276.0,12.88,-7.736,8.586,9.428,-35.87,-45.313,87.686,10.005,-62.813
-43.0,0.0,277.0,13.397,-7.977,8.61,9.625,-36.079,-57.942,127.115,-0.356,-68.267
-43.0,0.0,278.0,13.898,-7.937,8.835,9.707,-38.943,-62.099,128.213,22.325,-73.576
-43.0,0.0,279.0,14.534,-8.334,8.869,9.941,-37.694,-74.521,144.815,25.231,-68.516
-43.0,0.0,280.0,14.929,-8.323,9.053,9.924,-40.274,-87.659,145.757,30.186,-71.116
-43.0,0.0,281.0,15.571,-8.782,8.981,10.051,-39.246,-71.952,199.753,32.297,-96.133
-43.0,0.0,281.0,15.525,-8.738,8.973,10.004,-39.141,-71.907,200.27,32.192,-96.49
-43.0,0.0,283.0,16.853,-9.203,9.239,10.2,-41.298,-98.709,293.202,47.698,-136.401
-43.0,0.0,288.0,20.123,-10.613,9.489,10.169,-44.756,-216.445,494.924,144.219,-265.779
-43.0,0.0,293.0,24.125,-11.805,9.46,9.703,-44.286,-352.391,631.694,225.215,-377.435
-43.0,0.0,303.0,32.139,-13.865,8.617,8.385,-37.182,-686.211,762.585,431.937,-541.633
-43.0,0.0,313.0,38.646,-14.831,5.842,6.271,-15.557,-402.841,446.558,245.836,-300.935
-43.0,0.0,323.0,41.694,-14.74,3.13,3.966,-3.293,-65.761,150.194,56.656,-69.796
