x_mm,y_mm,z_mm,Cp
-101.26,-120.0,291.4,-0.328
-101.26,-150.0,291.4,-0.366
-101.26,-157.5,291.4,-0.411
-101.26,-165.0,291.4,-0.528
-101.26,-172.5,291.4,-0.812
-101.26,-180.0,291.4,-1.017
-101.26,-187.5,291.4,-0.748
-74.07,0.0,278.72,-0.304
-74.07,-30.0,278.72,-0.301
-74.07,-60.0,278.72,-0.29
-74.07,-90.0,278.72,-0.279
-74.07,-120.0,278.72,-0.266
-74.07,-150.0,278.72,-0.344
-74.07,-157.5,278.72,-0.423
-74.07,-165.0,278.72,-0.594
-74.07,-172.5,278.72,-0.832
-74.07,-180.0,278.72,-0.763
-74.07,-187.5,278.72,-0.603
-46.88,0.0,266.04,-0.235
-46.88,-30.0,266.04,-0.239
-46.88,-60.0,266.04,-0.231
-46.88,-90.0,266.04,-0.225
-46.88,-120.0,266.04,-0.224
-46.88,-150.0,266.04,-0.333
-46.88,-157.5,266.04,-0.443
-46.88,-165.0,266.04,-0.614
-46.88,-172.5,266.04,-0.712
-46.88,-180.0,266.04,-0.56
-46.88,-187.5,266.04,-0.49
-28.75,0.0,257.59,-0.205
-28.75,-30.0,257.59,-0.208
-28.75,-60.0,257.59,-0.205
-28.75,-90.0,257.59,-0.197
-28.75,-120.0,257.59,-0.202
-28.75,-150.0,257.59,-0.323
-28.75,-157.5,257.59,-0.435
-28.75,-165.0,257.59,-0.57
-28.75,-172.5,257.59,-0.576
-28.75,-180.0,257.59,-0.423
-28.75,-187.5,257.59,-0.383
-21.5,0.0,254.2,-0.197
-21.5,-30.0,254.2,-0.199
-21.5,-60.0,254.2,-0.195
-21.5,-90.0,254.2,-0.189
-21.5,-120.0,254.2,-0.203
-21.5,-150.0,254.2,-0.311
-21.5,-157.5,254.2,-0.416
-21.5,-165.0,254.2,-0.527
-21.5,-172.5,254.2,-0.505
-21.5,-180.0,254.2,-0.36
-21.5,-187.5,254.2,-0.331
-14.25,0.0,250.82,-0.188
-14.25,-30.0,250.82,-0.193
-14.25,-60.0,250.82,-0.189
-14.25,-90.0,250.82,-0.183
-14.25,-120.0,250.82,-0.19
-14.25,-150.0,250.82,-0.294
-14.25,-157.5,250.82,-0.386
-14.25,-165.0,250.82,-0.464
-14.25,-172.5,250.82,-0.42
-14.25,-180.0,250.82,-0.292
-14.25,-187.5,250.82,-0.274
-7.0,0.0,247.44,-0.182
-7.0,-30.0,247.44,-0.184
-7.0,-60.0,247.44,-0.184
-7.0,-90.0,247.44,-0.177
-7.0,-120.0,247.44,-0.183
-7.0,-150.0,247.44,-0.259
-7.0,-157.5,247.44,-0.324
-7.0,-165.0,247.44,-0.37
-7.0,-172.5,247.44,-0.317
-7.0,-180.0,247.44,-0.226
-7.0,-187.5,247.44,-0.215
-215.0,0.0,50.0,-0.152
-215.0,-30.0,50.0,-0.147
-215.0,-60.0,50.0,-0.145
-215.0,-90.0,50.0,-0.146
-215.0,-120.0,50.0,-0.155
-215.0,-150.0,50.0,-0.16
-215.0,-157.5,50.0,-0.158
-215.0,-165.0,50.0,-0.156
-215.0,-172.5,50.0,-0.156
-215.0,-180.0,50.0,-0.16
-215.0,-187.5,50.0,-0.163
-181.01,0.0,50.0,-0.139
-181.01,-30.0,50.0,-0.135
-181.01,-60.0,50.0,-0.153
-181.01,-90.0,50.0,-0.15
-181.01,-120.0,50.0,-0.152
-181.01,-150.0,50.0,-0.153
-181.01,-157.5,50.0,-0.153
-181.01,-165.0,50.0,-0.152
-181.01,-172.5,50.0,-0.152
-181.01,-180.0,50.0,-0.154
-181.01,-187.5,50.0,-0.159
-128.45,0.0,50.0,-0.158
-128.45,-30.0,50.0,-0.156
-128.45,-60.0,50.0,-0.154
-128.45,-90.0,50.0,-0.156
-128.45,-120.0,50.0,-0.151
-128.45,-150.0,50.0,-0.15
-128.45,-157.5,50.0,-0.154
-128.45,-165.0,50.0,-0.152
-128.45,-172.5,50.0,-0.153
-128.45,-180.0,50.0,-0.156
-128.45,-187.5,50.0,-0.159
-74.07,0.0,50.0,-0.147
-74.07,-30.0,50.0,-0.147
-74.07,-60.0,50.0,-0.149
-74.07,-90.0,50.0,-0.147
-74.07,-120.0,50.0,-0.149
-74.07,-150.0,50.0,-0.15
-74.07,-157.5,50.0,-0.149
-74.07,-165.0,50.0,-0.148
-74.07,-172.5,50.0,-0.148
-74.07,-180.0,50.0,-0.15
-74.07,-187.5,50.0,-0.153
-21.0,0.0,50.0,-0.142
-21.0,-30.0,50.0,-0.141
-21.0,-60.0,50.0,-0.144
-21.0,-90.0,50.0,-0.148
-21.0,-120.0,50.0,-0.152
-21.0,-150.0,50.0,-0.151
-21.0,-157.5,50.0,-0.149
-21.0,-165.0,50.0,-0.148
-21.0,-172.5,50.0,-0.148
-21.0,-180.0,50.0,-0.147
-21.0,-187.5,50.0,-0.148
-14.0,0.0,50.0,-0.141
-14.0,-30.0,50.0,-0.142
-14.0,-60.0,50.0,-0.146
-14.0,-90.0,50.0,-0.15
-14.0,-120.0,50.0,-0.153
-14.0,-150.0,50.0,-0.152
-14.0,-157.5,50.0,-0.152
-14.0,-165.0,50.0,-0.15
-14.0,-172.5,50.0,-0.149
-14.0,-180.0,50.0,-0.153
-14.0,-187.5,50.0,-0.148
-7.0,0.0,50.0,-0.136
-7.0,-30.0,50.0,-0.14
-7.0,-60.0,50.0,-0.144
-7.0,-90.0,50.0,-0.147
-7.0,-120.0,50.0,-0.155
-7.0,-150.0,50.0,-0.154
-7.0,-157.5,50.0,-0.152
-7.0,-165.0,50.0,-0.152
-7.0,-172.5,50.0,-0.15
-7.0,-180.0,50.0,-0.147
-7.0,-187.5,50.0,-0.145
0.0,0.0,232.18,-0.192
0.0,-30.0,232.18,-0.19
0.0,-60.0,232.18,-0.185
0.0,-90.0,232.18,-0.179
0.0,-120.0,232.18,-0.177
0.0,-150.0,232.18,-0.172
0.0,-157.5,232.18,-0.174
0.0,-165.0,232.18,-0.17
0.0,-172.5,232.18,-0.168
0.0,-180.0,232.18,-0.169
0.0,-187.5,232.18,-0.165
0.0,0.0,224.18,-0.19
0.0,-30.0,224.18,-0.189
0.0,-60.0,224.18,-0.185
0.0,-90.0,224.18,-0.181
0.0,-120.0,224.18,-0.178
0.0,-150.0,224.18,-0.175
0.0,-157.5,224.18,-0.175
0.0,-165.0,224.18,-0.173
0.0,-172.5,224.18,-0.171
0.0,-180.0,224.18,-0.169
0.0,-187.5,224.18,-0.17
0.0,0.0,216.18,-0.193
0.0,-30.0,216.18,-0.191
0.0,-60.0,216.18,-0.188
0.0,-90.0,216.18,-0.186
0.0,-120.0,216.18,-0.181
0.0,-150.0,216.18,-0.178
0.0,-157.5,216.18,-0.175
0.0,-165.0,216.18,-0.175
0.0,-172.5,216.18,-0.177
0.0,-180.0,216.18,-0.176
0.0,-187.5,216.18,-0.173
0.0,0.0,188.0,-0.204
0.0,-30.0,188.0,-0.203
0.0,-60.0,188.0,-0.203
0.0,-90.0,188.0,-0.199
0.0,-120.0,188.0,-0.193
0.0,-150.0,188.0,-0.188
0.0,-157.5,188.0,-0.187
0.0,-165.0,188.0,-0.185
0.0,-172.5,188.0,-0.184
0.0,-180.0,188.0,-0.18
0.0,-187.5,188.0,-0.18
0.0,0.0,158.0,-0.221
0.0,-30.0,158.0,-0.217
0.0,-60.0,158.0,-0.213
0.0,-90.0,158.0,-0.204
0.0,-120.0,158.0,-0.196
0.0,-150.0,158.0,-0.187
0.0,-157.5,158.0,-0.188
0.0,-165.0,158.0,-0.185
0.0,-172.5,158.0,-0.183
0.0,-180.0,158.0,-0.181
0.0,-187.5,158.0,-0.176
0.0,0.0,128.0,-0.215
0.0,-30.0,128.0,-0.211
0.0,-60.0,128.0,-0.204
0.0,-90.0,128.0,-0.192
0.0,-120.0,128.0,-0.184
0.0,-150.0,128.0,-0.181
0.0,-157.5,128.0,-0.18
0.0,-165.0,128.0,-0.177
0.0,-172.5,128.0,-0.175
0.0,-180.0,128.0,-0.171
0.0,-187.5,128.0,-0.165
0.0,0.0,98.0,-0.181
0.0,-30.0,98.0,-0.178
0.0,-60.0,98.0,-0.174
0.0,-90.0,98.0,-0.171
0.0,-120.0,98.0,-0.168
0.0,-150.0,98.0,-0.171
0.0,-157.5,98.0,-0.171
0.0,-165.0,98.0,-0.169
0.0,-172.5,98.0,-0.166
0.0,-180.0,98.0,-0.161
0.0,-187.5,98.0,-0.155
0.0,0.0,68.0,-0.145
0.0,-30.0,68.0,-0.144
0.0,-60.0,68.0,-0.149
0.0,-90.0,68.0,-0.157
0.0,-120.0,68.0,-0.163
0.0,-150.0,68.0,-0.167
0.0,-157.5,68.0,-0.166
0.0,-165.0,68.0,-0.163
0.0,-172.5,68.0,-0.16
0.0,-180.0,68.0,-0.155
0.0,-187.5,68.0,-0.149
0.0,0.0,60.0,-0.141
0.0,-30.0,60.0,-0.143
0.0,-60.0,60.0,-0.144
0.0,-90.0,60.0,-0.153
0.0,-120.0,60.0,-0.163
0.0,-150.0,60.0,-0.165
0.0,-157.5,60.0,-0.163
0.0,-165.0,60.0,-0.161
0.0,-172.5,60.0,-0.157
0.0,-180.0,60.0,-0.153
0.0,-187.5,60.0,-0.144
0.0,0.0,52.0,-0.137
0.0,-30.0,52.0,-0.135
0.0,-60.0,52.0,-0.143
0.0,-90.0,52.0,-0.15
0.0,-120.0,52.0,-0.158
0.0,-150.0,52.0,-0.162
0.0,-157.5,52.0,-0.16
0.0,-165.0,52.0,-0.16
0.0,-172.5,52.0,-0.154
0.0,-180.0,52.0,-0.15
0.0,-187.5,52.0,-0.145
