x_m,y_m,z_m,U,V,W,u*u,v*v,w*w,u*v,u*w,u*u*u,v*v*v,w*w*w,u*u*v,u*v*v,u*u*w,u*w*w
-0.4,0.4,0.32,39.43,2.16,-0.6,0.00234,0.00534,0.00443,0.000925,-0.00138,-3.95e-06,-8.55e-07,-1.72e-06,8.55e-06,1.57e-05,-1.04e-06,5.17e-06
-0.4,0.4,0.3,39.39,2.09,-0.64,0.00211,0.00286,0.00409,0.00058,-0.00108,6.08e-06,6.86e-06,-2.11e-05,1.76e-06,-9.82e-07,-1.25e-06,-5.7e-07
-0.4,0.4,0.28,39.35,2.2,-0.61,0.00205,0.00391,0.00284,0.000665,-0.000499,-6.3e-07,4.57e-05,-3.25e-05,2.94e-06,6.7e-06,-3.96e-07,7.7e-07
-0.4,0.4,0.26,39.32,2.28,-0.69,0.00237,0.00443,0.00515,0.000504,-0.00147,-6.92e-06,4.54e-06,0.000129,2.22e-06,2.27e-07,1.11e-05,-3.04e-05
-0.4,0.4,0.24,39.33,2.13,-0.77,0.00228,0.00473,0.00537,0.000848,-0.00118,1.59e-06,5.8e-06,9.89e-05,-4.06e-06,-1.39e-05,1.87e-06,-1.96e-05
-0.4,0.4,0.22,39.35,2.27,-0.83,0.00223,0.00339,0.00301,0.000524,-0.000618,-2.62e-06,-3.96e-05,1.25e-06,-2.22e-06,-5.94e-06,1.64e-06,-8.91e-07
-0.4,0.4,0.2,39.29,2.35,-0.81,0.00274,0.00574,0.0117,0.000442,-0.00238,3.84e-06,0.00011,0.000138,-3.7e-06,4.6e-06,-1.97e-05,1.79e-05
-0.4,0.4,0.18,39.29,2.38,-0.79,0.00219,0.00523,0.00504,0.000665,-0.00103,3.86e-06,6.66e-05,-3.21e-05,-3.23e-06,1.47e-05,-4.76e-06,1.57e-05
-0.4,0.4,0.16,39.32,2.54,-0.84,0.00228,0.00621,0.00643,0.000957,-0.000673,1.66e-06,-7.62e-05,0.000183,-4.39e-07,1.44e-06,2.51e-06,-1.88e-05
-0.4,0.4,0.14,39.35,2.67,-0.93,0.00207,0.00626,0.00529,0.000509,-0.000676,2.81e-06,-0.000286,6.36e-05,-3.13e-06,-9.66e-06,-8.87e-07,-4.5e-07
-0.4,0.4,0.12,39.36,2.68,-0.93,0.00228,0.00653,0.00602,0.000722,-0.00136,-1.01e-05,0.00012,0.000106,1.11e-05,1.18e-05,1.65e-05,-4.24e-05
-0.4,0.4,0.1,39.37,2.51,-0.96,0.00276,0.00669,0.0143,0.00049,-0.0022,-3.72e-06,0.00018,-1.1e-05,-2.46e-06,-4.26e-06,-1.76e-05,3.82e-05
-0.4,0.4,0.09,39.36,2.61,-0.99,0.0024,0.00883,0.00667,0.000555,-0.00129,-3.29e-06,9.53e-06,-0.000169,-1.02e-05,-4.34e-06,-1.19e-05,4.36e-05
-0.4,0.4,0.08,39.39,2.73,-1.07,0.00231,0.00499,0.00465,0.000703,-0.000456,-1.79e-06,-0.000111,3.64e-06,-7.47e-06,-1.23e-05,6.12e-06,1.25e-05
-0.4,0.4,0.07,39.44,2.78,-1.12,0.00273,0.00534,0.00391,0.000477,-9.12e-05,8.64e-06,-5.17e-05,2.59e-05,-4.37e-06,3.59e-06,7.43e-06,-3.01e-06
-0.4,0.4,0.06,39.47,2.78,-1.19,0.00326,0.00721,0.00767,0.00099,-0.000665,1.39e-05,-0.000179,0.000548,-8.12e-06,-2.75e-05,5.62e-05,1.95e-06
-0.4,0.4,0.05,39.5,2.71,-1.21,0.00645,0.00941,0.02,0.00172,-0.00182,-0.000238,1.85e-05,0.00288,-5.51e-05,-0.000185,0.000648,-0.000517
-0.4,0.4,0.04,39.54,2.72,-1.14,0.0208,0.0275,0.0442,0.0061,-0.0089,-0.00261,-0.0038,0.0125,-0.00182,-0.00237,0.00355,-0.00342
-0.4,0.4,0.03,39.47,2.62,-1.08,0.167,0.141,0.21,0.0545,-0.0797,-0.23,-0.084,0.138,-0.0649,-0.0692,0.123,-0.101
-0.4,0.4,0.02,37.89,2.33,-0.99,3.03,1.46,1.29,0.502,-1.08,-6.64,-0.41,1.12,-0.636,-1.46,2.53,-1.69
-0.4,0.4,0.01,33.23,2.62,-0.79,6.55,3.42,2.49,0.747,-2.29,-3.74,-0.501,0.69,-0.0376,-0.715,1.43,-0.951
