# Residuals   
# Time        	Ux            	Uz            	p             	k             	omega         
89            	3.071659e-03	2.019887e-02	3.194284e-02	1.205940e-02	1.652343e-04
90            	3.037913e-03	1.998469e-02	3.217896e-02	1.213887e-02	1.670728e-04
91            	3.028690e-03	1.983328e-02	3.486452e-02	1.238807e-02	1.786385e-04
92            	3.052991e-03	2.050059e-02	3.506559e-02	1.275181e-02	1.907817e-04
93            	3.114233e-03	2.078141e-02	3.636582e-02	1.320396e-02	2.024527e-04
94            	3.225593e-03	2.087948e-02	3.882995e-02	1.369693e-02	2.139305e-04
95            	3.355066e-03	2.085741e-02	4.133838e-02	1.417773e-02	2.212909e-04
96            	3.512720e-03	2.070212e-02	4.450985e-02	1.465278e-02	2.248249e-04
97            	3.597022e-03	2.044334e-02	4.599720e-02	1.513131e-02	2.250027e-04
98            	3.642979e-03	2.029004e-02	4.760115e-02	1.555040e-02	2.201558e-04
99            	3.673010e-03	2.020444e-02	4.899139e-02	1.601936e-02	2.160323e-04
100           	3.698538e-03	2.028070e-02	5.131254e-02	1.635004e-02	2.130224e-04
101           	3.750270e-03	2.056796e-02	5.443988e-02	1.657067e-02	2.089051e-04
102           	3.806340e-03	2.105619e-02	5.674852e-02	1.667075e-02	2.045946e-04
103           	3.880969e-03	2.187034e-02	5.297980e-02	1.657326e-02	1.996049e-04
104           	3.983820e-03	2.252855e-02	5.326896e-02	1.635012e-02	1.970271e-04
105           	4.119095e-03	2.347475e-02	4.980937e-02	1.597937e-02	1.966810e-04
106           	4.314956e-03	2.470608e-02	4.807315e-02	1.559527e-02	2.002628e-04
107           	4.593427e-03	2.633037e-02	4.437229e-02	1.525406e-02	2.038327e-04
108           	4.847940e-03	2.809446e-02	4.396955e-02	1.488773e-02	2.093585e-04
109           	5.067160e-03	2.989131e-02	4.506656e-02	1.458389e-02	2.176357e-04
110           	5.240174e-03	3.179835e-02	4.680353e-02	1.431059e-02	2.256320e-04
111           	5.362891e-03	3.337659e-02	4.863995e-02	1.401889e-02	2.323529e-04
112           	5.430924e-03	3.461349e-02	5.214011e-02	1.380058e-02	2.342836e-04
113           	5.397700e-03	3.508396e-02	5.665170e-02	1.366992e-02	2.292678e-04
114           	5.245444e-03	3.462148e-02	5.926860e-02	1.364582e-02	2.216047e-04
115           	4.993685e-03	3.396709e-02	5.732656e-02	1.364478e-02	2.152279e-04
116           	4.823389e-03	3.258429e-02	5.451709e-02	1.363411e-02	2.080493e-04
117           	4.626848e-03	3.184327e-02	5.054699e-02	1.379924e-02	2.025254e-04
118           	4.695538e-03	3.179732e-02	4.570468e-02	1.401025e-02	1.990962e-04
119           	4.893858e-03	3.255689e-02	4.394783e-02	1.425996e-02	1.953703e-04
120           	5.133963e-03	3.411697e-02	4.547675e-02	1.452705e-02	1.931736e-04
121           	5.374463e-03	3.614951e-02	4.987765e-02	1.483313e-02	1.915423e-04
122           	5.600467e-03	3.858356e-02	5.512847e-02	1.509599e-02	1.938064e-04
123           	5.805319e-03	4.113436e-02	5.937426e-02	1.530911e-02	1.960553e-04
124           	5.924304e-03	4.345498e-02	6.241277e-02	1.532499e-02	1.937464e-04
125           	5.885865e-03	4.553802e-02	6.431196e-02	1.518229e-02	1.911892e-04
126           	5.701427e-03	4.682254e-02	6.622463e-02	1.495152e-02	1.844959e-04
127           	5.428188e-03	4.760518e-02	6.821616e-02	1.473804e-02	1.745093e-04
128           	5.111810e-03	4.807380e-02	7.215771e-02	1.446509e-02	1.637426e-04
129           	4.780794e-03	4.803351e-02	7.733404e-02	1.415686e-02	1.563605e-04
130           	4.453113e-03	4.757299e-02	8.392621e-02	1.373598e-02	1.502995e-04
131           	4.116256e-03	4.686045e-02	8.968318e-02	1.324890e-02	1.455695e-04
132           	3.784631e-03	4.577965e-02	8.456239e-02	1.275955e-02	1.427081e-04
133           	3.473274e-03	4.422526e-02	7.108026e-02	1.228885e-02	1.415213e-04
134           	3.198829e-03	4.201914e-02	5.694221e-02	1.180288e-02	1.413139e-04
135           	2.958705e-03	3.920100e-02	4.566307e-02	1.132444e-02	1.427450e-04
136           	2.745549e-03	3.590640e-02	3.696851e-02	1.085430e-02	1.437287e-04
137           	2.558244e-03	3.233576e-02	3.030540e-02	1.039020e-02	1.436390e-04
138           	2.395086e-03	2.876824e-02	2.493543e-02	9.933500e-03	1.411215e-04
139           	2.251437e-03	2.555081e-02	2.069251e-02	9.486070e-03	1.373766e-04
140           	2.141712e-03	2.285483e-02	1.746778e-02	9.080936e-03	1.330546e-04
141           	2.061546e-03	2.074913e-02	1.516996e-02	8.678665e-03	1.282602e-04
142           	2.014807e-03	1.929408e-02	1.365694e-02	8.334227e-03	1.240755e-04
143           	2.006613e-03	1.840528e-02	1.256297e-02	7.993720e-03	1.201423e-04
144           	2.024098e-03	1.805300e-02	1.161807e-02	7.676775e-03	1.161708e-04
145           	2.061170e-03	1.807919e-02	1.079440e-02	7.380966e-03	1.129460e-04
146           	2.116064e-03	1.836104e-02	1.024427e-02	7.101109e-03	1.096960e-04
147           	2.186453e-03	1.874630e-02	9.836316e-03	6.833935e-03	1.074658e-04
148           	2.262595e-03	1.918143e-02	9.409548e-03	6.588123e-03	1.049135e-04
149           	2.345629e-03	1.960529e-02	9.178932e-03	6.353219e-03	1.037612e-04
150           	2.424583e-03	1.998323e-02	8.902794e-03	6.112094e-03	1.016843e-04
151           	2.497007e-03	2.029817e-02	8.712673e-03	5.881185e-03	9.987310e-05
152           	2.561193e-03	2.050654e-02	8.398617e-03	5.661995e-03	9.773204e-05
153           	2.613368e-03	2.057195e-02	8.206527e-03	5.463920e-03	9.529838e-05
154           	2.651076e-03	2.044108e-02	7.932299e-03	5.271190e-03	9.217939e-05
155           	2.667189e-03	2.012272e-02	7.676119e-03	5.103080e-03	8.947166e-05
156           	2.662591e-03	1.964027e-02	7.453308e-03	4.955219e-03	8.569506e-05
157           	2.632891e-03	1.904614e-02	7.174911e-03	4.818376e-03	8.230123e-05
158           	2.579615e-03	1.833260e-02	7.042117e-03	4.683094e-03	7.880383e-05
159           	2.502248e-03	1.748018e-02	6.833094e-03	4.567386e-03	7.503741e-05
160           	2.400034e-03	1.651875e-02	6.743147e-03	4.434946e-03	7.152830e-05
161           	2.275238e-03	1.544900e-02	6.578557e-03	4.326219e-03	6.820877e-05
162           	2.130637e-03	1.426119e-02	6.450641e-03	4.226547e-03	6.466642e-05
163           	1.973217e-03	1.304395e-02	6.320991e-03	4.131468e-03	6.121671e-05
164           	1.804229e-03	1.183292e-02	6.159610e-03	4.073285e-03	5.851263e-05
165           	1.637667e-03	1.074025e-02	6.038417e-03	4.031592e-03	5.637548e-05
166           	1.472634e-03	9.860061e-03	5.930758e-03	4.003786e-03	5.514227e-05
167           	1.320908e-03	9.312090e-03	5.913300e-03	3.988241e-03	5.418797e-05
168           	1.189750e-03	9.060081e-03	5.973380e-03	3.993107e-03	5.362042e-05
169           	1.089104e-03	9.013224e-03	6.160182e-03	3.999026e-03	5.338468e-05
170           	1.030724e-03	9.050621e-03	6.444110e-03	4.011998e-03	5.332136e-05
171           	1.010734e-03	9.120367e-03	6.804400e-03	4.014626e-03	5.447871e-05
172           	1.023817e-03	9.326702e-03	7.172908e-03	4.033556e-03	5.450448e-05
173           	1.047948e-03	9.582449e-03	7.540701e-03	4.019117e-03	5.481103e-05
174           	1.080071e-03	9.797990e-03	7.973057e-03	4.019129e-03	5.495422e-05
175           	1.113193e-03	9.978300e-03	8.189339e-03	4.004556e-03	5.407587e-05
176           	1.148473e-03	1.016639e-02	8.299407e-03	3.968955e-03	5.265471e-05
177           	1.173556e-03	1.025636e-02	8.627304e-03	3.936075e-03	5.036080e-05
178           	1.182869e-03	1.033850e-02	9.190114e-03	3.898933e-03	4.745144e-05
179           	1.171145e-03	1.043107e-02	9.625076e-03	3.848849e-03	4.540743e-05
180           	1.138527e-03	1.040802e-02	9.883677e-03	3.787207e-03	4.270911e-05
181           	1.095192e-03	1.027662e-02	9.614903e-03	3.714960e-03	3.956928e-05
182           	1.043733e-03	1.029512e-02	9.087550e-03	3.636508e-03	3.664679e-05
183           	9.978914e-04	1.042881e-02	8.442096e-03	3.560605e-03	3.440601e-05
184           	9.704430e-04	1.039270e-02	8.036859e-03	3.498150e-03	3.240938e-05
185           	9.506760e-04	1.005002e-02	7.569097e-03	3.452427e-03	3.087367e-05
186           	9.212319e-04	9.489805e-03	6.830413e-03	3.386914e-03	2.956543e-05
187           	8.810644e-04	8.771732e-03	5.976785e-03	3.301056e-03	2.826885e-05
188           	8.377973e-04	8.000557e-03	5.233351e-03	3.204384e-03	2.712866e-05
189           	7.977602e-04	7.236776e-03	4.628202e-03	3.100463e-03	2.607944e-05
190           	7.632437e-04	6.547174e-03	4.038471e-03	2.994816e-03	2.516617e-05
191           	7.351376e-04	6.019144e-03	3.554805e-03	2.896482e-03	2.424893e-05
192           	7.163295e-04	5.635570e-03	3.221244e-03	2.791270e-03	2.343641e-05
193           	7.094130e-04	5.379454e-03	3.038665e-03	2.702097e-03	2.275156e-05
194           	7.108578e-04	5.225246e-03	2.975310e-03	2.625225e-03	2.240813e-05
195           	7.173395e-04	5.132807e-03	2.998892e-03	2.542380e-03	2.221375e-05
196           	7.266464e-04	5.079883e-03	3.109534e-03	2.470458e-03	2.205485e-05
197           	7.377979e-04	5.049959e-03	3.267271e-03	2.415313e-03	2.195184e-05
198           	7.492243e-04	5.024116e-03	3.483424e-03	2.364892e-03	2.171587e-05
199           	7.586009e-04	5.012466e-03	3.714301e-03	2.323623e-03	2.138501e-05
200           	7.647644e-04	4.990662e-03	3.840109e-03	2.274419e-03	2.095734e-05
201           	7.674696e-04	4.965029e-03	3.852333e-03	2.239146e-03	2.049982e-05
202           	7.685141e-04	4.958689e-03	3.823671e-03	2.213797e-03	1.976870e-05
203           	7.689657e-04	4.976710e-03	3.760945e-03	2.191877e-03	1.907876e-05
204           	7.686069e-04	5.070690e-03	3.657622e-03	2.168520e-03	1.839326e-05
205           	7.685321e-04	5.170346e-03	3.456569e-03	2.150022e-03	1.792187e-05
206           	7.694679e-04	5.253194e-03	3.280556e-03	2.130115e-03	1.745265e-05
207           	7.698135e-04	5.321887e-03	3.112951e-03	2.110183e-03	1.690054e-05
208           	7.701738e-04	5.372836e-03	2.934537e-03	2.096571e-03	1.645353e-05
209           	7.681726e-04	5.409854e-03	2.788273e-03	2.080076e-03	1.609466e-05
210           	7.652315e-04	5.425159e-03	2.667436e-03	2.061921e-03	1.575930e-05
211           	7.608820e-04	5.418787e-03	2.549997e-03	2.050675e-03	1.541965e-05
212           	7.550116e-04	5.394106e-03	2.442070e-03	2.035539e-03	1.511402e-05
213           	7.481510e-04	5.359360e-03	2.345596e-03	2.029013e-03	1.488280e-05
214           	7.404697e-04	5.316432e-03	2.293617e-03	2.017597e-03	1.478098e-05
215           	7.320163e-04	5.263202e-03	2.251596e-03	2.009509e-03	1.452443e-05
216           	7.234469e-04	5.208528e-03	2.219848e-03	2.002475e-03	1.426668e-05
217           	7.145724e-04	5.133188e-03	2.188801e-03	1.997267e-03	1.408587e-05
218           	7.058117e-04	5.055756e-03	2.163583e-03	1.993146e-03	1.393519e-05
219           	6.970299e-04	4.968175e-03	2.166930e-03	1.990439e-03	1.382567e-05
220           	6.883418e-04	4.872060e-03	2.169059e-03	1.989067e-03	1.371523e-05
221           	6.799242e-04	4.771659e-03	2.160891e-03	1.988934e-03	1.359559e-05
222           	6.716153e-04	4.668265e-03	2.154531e-03	1.988432e-03	1.352436e-05
223           	6.635388e-04	4.558632e-03	2.153111e-03	1.987500e-03	1.340220e-05
224           	6.557880e-04	4.451506e-03	2.155840e-03	1.986399e-03	1.327489e-05
225           	6.483936e-04	4.340772e-03	2.152029e-03	1.985236e-03	1.316747e-05
226           	6.411981e-04	4.227272e-03	2.138325e-03	1.982780e-03	1.305158e-05
227           	6.340845e-04	4.111630e-03	2.125548e-03	1.979505e-03	1.293443e-05
228           	6.269391e-04	3.998000e-03	2.110533e-03	1.974715e-03	1.282841e-05
229           	6.196729e-04	3.885784e-03	2.102362e-03	1.968536e-03	1.270484e-05
230           	6.122843e-04	3.778151e-03	2.094796e-03	1.961251e-03	1.259375e-05
231           	6.048193e-04	3.673978e-03	2.075295e-03	1.952602e-03	1.246987e-05
232           	5.971553e-04	3.568595e-03	2.053911e-03	1.942886e-03	1.234657e-05
233           	5.895031e-04	3.472197e-03	2.024635e-03	1.931790e-03	1.222723e-05
234           	5.816907e-04	3.377972e-03	2.001932e-03	1.918560e-03	1.210403e-05
235           	5.739592e-04	3.288556e-03	1.968683e-03	1.904045e-03	1.194841e-05
236           	5.660043e-04	3.199484e-03	1.925717e-03	1.888223e-03	1.178552e-05
237           	5.581154e-04	3.111354e-03	1.882530e-03	1.871088e-03	1.162483e-05
238           	5.503881e-04	3.026172e-03	1.833617e-03	1.852218e-03	1.145793e-05
239           	5.426560e-04	2.941466e-03	1.775291e-03	1.832843e-03	1.128857e-05
240           	5.350318e-04	2.861761e-03	1.714898e-03	1.812604e-03	1.111549e-05
241           	5.274438e-04	2.783973e-03	1.653243e-03	1.791848e-03	1.093583e-05
242           	5.199906e-04	2.713908e-03	1.597118e-03	1.771058e-03	1.075400e-05
243           	5.126799e-04	2.651369e-03	1.542194e-03	1.749321e-03	1.056688e-05
244           	5.054875e-04	2.590984e-03	1.488686e-03	1.727101e-03	1.039152e-05
245           	4.984689e-04	2.531918e-03	1.443438e-03	1.704642e-03	1.022414e-05
246           	4.916578e-04	2.478221e-03	1.397147e-03	1.682560e-03	1.006398e-05
247           	4.848930e-04	2.427738e-03	1.351865e-03	1.660540e-03	9.926132e-06
248           	4.781449e-04	2.378503e-03	1.318003e-03	1.639043e-03	9.819179e-06
249           	4.715359e-04	2.333740e-03	1.284193e-03	1.618056e-03	9.731823e-06
250           	4.647753e-04	2.290281e-03	1.256477e-03	1.597314e-03	9.658402e-06
251           	4.580476e-04	2.248420e-03	1.234288e-03	1.577173e-03	9.594072e-06
252           	4.512282e-04	2.207768e-03	1.214902e-03	1.557504e-03	9.531374e-06
253           	4.443344e-04	2.167090e-03	1.199466e-03	1.538205e-03	9.472732e-06
254           	4.373150e-04	2.125360e-03	1.187818e-03	1.519304e-03	9.416996e-06
255           	4.302020e-04	2.082991e-03	1.175634e-03	1.500762e-03	9.357849e-06
256           	4.229438e-04	2.039885e-03	1.164935e-03	1.482587e-03	9.302610e-06
257           	4.155170e-04	1.995780e-03	1.155921e-03	1.464325e-03	9.246979e-06
258           	4.079161e-04	1.950653e-03	1.148739e-03	1.446133e-03	9.195904e-06
259           	4.001298e-04	1.905394e-03	1.143066e-03	1.427895e-03	9.147791e-06
260           	3.921581e-04	1.857340e-03	1.138091e-03	1.409699e-03	9.100638e-06
261           	3.839833e-04	1.809048e-03	1.137402e-03	1.391462e-03	9.054212e-06
262           	3.756371e-04	1.759133e-03	1.136268e-03	1.372983e-03	8.999800e-06
263           	3.671076e-04	1.710064e-03	1.135013e-03	1.354348e-03	8.945022e-06
264           	3.583677e-04	1.662491e-03	1.137262e-03	1.335492e-03	8.892388e-06
265           	3.495361e-04	1.619624e-03	1.135147e-03	1.316188e-03	8.843388e-06
266           	3.405419e-04	1.582407e-03	1.132578e-03	1.296521e-03	8.798724e-06
267           	3.314268e-04	1.545613e-03	1.133840e-03	1.276180e-03	8.738520e-06
268           	3.222366e-04	1.509911e-03	1.130351e-03	1.255192e-03	8.679720e-06
269           	3.129512e-04	1.474733e-03	1.129356e-03	1.233503e-03	8.624576e-06
270           	3.035930e-04	1.443838e-03	1.125482e-03	1.211068e-03	8.563382e-06
271           	2.941489e-04	1.419388e-03	1.124320e-03	1.187901e-03	8.501681e-06
272           	2.847347e-04	1.401492e-03	1.119367e-03	1.164092e-03	8.446396e-06
273           	2.754186e-04	1.389208e-03	1.116820e-03	1.140005e-03	8.379807e-06
274           	2.658953e-04	1.380615e-03	1.110494e-03	1.115252e-03	8.321232e-06
275           	2.565280e-04	1.376816e-03	1.103494e-03	1.090079e-03	8.255253e-06
276           	2.472264e-04	1.379240e-03	1.098583e-03	1.064624e-03	8.192303e-06
277           	2.379633e-04	1.385659e-03	1.091411e-03	1.038982e-03	8.121417e-06
278           	2.288173e-04	1.395364e-03	1.079482e-03	1.013005e-03	8.055602e-06
279           	2.197726e-04	1.407949e-03	1.069483e-03	9.868288e-04	7.989328e-06
280           	2.109553e-04	1.421781e-03	1.059495e-03	9.605467e-04	7.916823e-06
281           	2.023811e-04	1.435752e-03	1.047484e-03	9.338802e-04	7.856416e-06
282           	1.942760e-04	1.449225e-03	1.037130e-03	9.074783e-04	7.786097e-06
283           	1.867964e-04	1.462043e-03	1.025304e-03	8.811418e-04	7.712025e-06
284           	1.800732e-04	1.473448e-03	1.011319e-03	8.550078e-04	7.648021e-06
285           	1.741008e-04	1.483731e-03	9.976074e-04	8.291844e-04	7.581543e-06
286           	1.687722e-04	1.493096e-03	9.843924e-04	8.035361e-04	7.510437e-06
287           	1.641665e-04	1.501160e-03	9.725969e-04	7.784395e-04	7.442253e-06
288           	1.604320e-04	1.508849e-03	9.594593e-04	7.536018e-04	7.382205e-06
289           	1.574539e-04	1.516441e-03	9.493927e-04	7.293399e-04	7.319945e-06
290           	1.551391e-04	1.524197e-03	9.387919e-04	7.055621e-04	7.257974e-06
291           	1.534299e-04	1.533317e-03	9.307692e-04	6.821474e-04	7.197363e-06
292           	1.523512e-04	1.544103e-03	9.187998e-04	6.591559e-04	7.140835e-06
293           	1.520144e-04	1.557309e-03	9.102850e-04	6.368378e-04	7.084811e-06
294           	1.524762e-04	1.573650e-03	9.012758e-04	6.151535e-04	7.033879e-06
295           	1.537752e-04	1.594521e-03	8.917229e-04	5.940833e-04	6.985987e-06
296           	1.558259e-04	1.620248e-03	8.813585e-04	5.735382e-04	6.939461e-06
297           	1.587246e-04	1.650729e-03	8.756092e-04	5.537427e-04	6.890715e-06
298           	1.623275e-04	1.685426e-03	8.708816e-04	5.347557e-04	6.846074e-06
299           	1.665440e-04	1.724325e-03	8.645396e-04	5.165661e-04	6.809014e-06
300           	1.713703e-04	1.768721e-03	8.585618e-04	4.990319e-04	6.773356e-06
301           	1.767884e-04	1.814827e-03	8.536734e-04	4.824859e-04	6.739680e-06
302           	1.827770e-04	1.864711e-03	8.489634e-04	4.667969e-04	6.707168e-06
303           	1.893916e-04	1.916501e-03	8.459485e-04	4.519266e-04	6.679786e-06
304           	1.965879e-04	1.972936e-03	8.450024e-04	4.374656e-04	6.664663e-06
305           	2.043178e-04	2.031265e-03	8.467120e-04	4.236591e-04	6.647505e-06
306           	2.126034e-04	2.091406e-03	8.479749e-04	4.104679e-04	6.634254e-06
307           	2.214996e-04	2.156248e-03	8.468451e-04	3.979114e-04	6.624756e-06
308           	2.309195e-04	2.221470e-03	8.459586e-04	3.869660e-04	6.627485e-06
309           	2.408902e-04	2.291526e-03	8.492637e-04	3.774764e-04	6.637260e-06
310           	2.514257e-04	2.362177e-03	8.557692e-04	3.702889e-04	6.656106e-06
311           	2.624499e-04	2.437307e-03	8.609180e-04	3.666736e-04	6.684810e-06
312           	2.739282e-04	2.515312e-03	8.701826e-04	3.682980e-04	6.716412e-06
313           	2.857694e-04	2.593025e-03	8.776668e-04	3.749960e-04	6.759064e-06
314           	2.980239e-04	2.674029e-03	8.899580e-04	3.845935e-04	6.820076e-06
315           	3.106921e-04	2.755052e-03	9.004510e-04	3.967401e-04	6.895591e-06
316           	3.237424e-04	2.841208e-03	9.148906e-04	4.114147e-04	6.981904e-06
317           	3.371697e-04	2.926517e-03	9.248216e-04	4.286696e-04	7.073781e-06
318           	3.509212e-04	3.014231e-03	9.390335e-04	4.475691e-04	7.174876e-06
319           	3.650261e-04	3.102963e-03	9.531639e-04	4.682348e-04	7.287067e-06
320           	3.795093e-04	3.192019e-03	9.668984e-04	4.895226e-04	7.402971e-06
321           	3.943198e-04	3.283707e-03	9.819846e-04	5.117538e-04	7.518507e-06
322           	4.095038e-04	3.376767e-03	1.000082e-03	5.344828e-04	7.656251e-06
323           	4.250060e-04	3.470337e-03	1.020598e-03	5.575722e-04	7.783630e-06
324           	4.409095e-04	3.566153e-03	1.039019e-03	5.813302e-04	7.923212e-06
