# Residuals            
# Time                 	Ux                     	Uy                     	Uz                     	p                      	k                      	omega                  
0                      	N/A	N/A	N/A	N/A
29                     	4.822173968152370e-03	1.961041746296307e-01	1.984746249463144e-01	1.595523898086629e-01	3.778122643797671e-03	1.674102744222893e-07
30                     	4.641940298628940e-03	2.260126844223790e-01	2.539467313266734e-01	1.425742506367429e-01	4.342854196381701e-03	1.565020098655377e-07
31                     	4.469697446697200e-03	1.600858228980602e-01	1.809300279732501e-01	1.433421260466696e-01	4.925324025723509e-03	1.464218584833809e-07
32                     	4.304165903132161e-03	1.794239608340965e-01	1.944477878050341e-01	1.455172281821938e-01	5.486885310380014e-03	1.371319864791416e-07
33                     	4.142365057569306e-03	2.055950413786191e-01	3.064105040667358e-01	1.586132536478553e-01	6.065897427744786e-03	1.286946946554052e-07
34                     	3.985683574338668e-03	1.593522591930669e-01	2.258020845624815e-01	1.236239122037307e-01	6.645358290680329e-03	1.210770214017541e-07
35                     	3.832853393491632e-03	1.603941635889356e-01	1.714282318323837e-01	1.337683512952287e-01	7.218640521642887e-03	1.140765049182175e-07
36                     	3.682740828144739e-03	2.192623930696747e-01	1.872610840035092e-01	1.442491533881669e-01	7.769635270307557e-03	1.076230120212347e-07
37                     	3.534050598051687e-03	1.592838073980861e-01	1.872470023529276e-01	1.243295242377047e-01	8.277884006496853e-03	1.016156507964544e-07
38                     	3.385971119024934e-03	2.718049600649919e-01	2.363991712164012e-01	1.685788256711762e-01	8.735782761955590e-03	9.598831257488439e-08
39                     	3.237278076885721e-03	3.029367091498922e-01	1.911553404138504e-01	1.727574927078485e-01	9.136067587656943e-03	9.065800491827859e-08
40                     	3.087160624764260e-03	2.125676863999929e-01	2.157105762191799e-01	1.392721538753030e-01	9.479856986103007e-03	8.562905273479912e-08
41                     	2.934857762104587e-03	1.790029708724206e-01	1.493557528041988e-01	1.479070488542419e-01	9.762881307561946e-03	8.087227548739840e-08
42                     	2.780105502547572e-03	3.169349500481229e-01	2.196799174422658e-01	1.699046679974586e-01	9.977746542873929e-03	7.634731042043854e-08
43                     	2.624297380362812e-03	1.559487883963050e-01	2.101156978678847e-01	1.369512049478433e-01	1.012119674031570e-02	7.208953211115628e-08
44                     	2.471213757823232e-03	1.819365150679623e-01	1.453207523348461e-01	1.373667578282382e-01	1.019562305653860e-02	6.800450334089721e-08
45                     	2.324400212457096e-03	2.496871504248820e-01	1.802242928012273e-01	1.380122835168512e-01	1.019736845444517e-02	6.415604224730036e-08
46                     	2.185535066193543e-03	1.316791804290771e-01	1.593036605522083e-01	1.142185754670665e-01	1.013264931647963e-02	6.103752401313126e-08
47                     	2.055897837803288e-03	2.377620524656456e-01	1.600850848461117e-01	1.455326496853204e-01	1.000834046276918e-02	5.828571849168224e-08
48                     	1.933086249486597e-03	2.291987537674495e-01	1.670790751164429e-01	1.276144868906220e-01	9.833861956707574e-03	5.585669969485491e-08
49                     	1.818992689499250e-03	1.593547148868850e-01	1.438141994758659e-01	1.239037307040278e-01	9.573997338380628e-03	5.372061297849375e-08
50                     	1.717996837038127e-03	2.675362278102902e-01	2.367091617015519e-01	1.303698609883331e-01	9.099101437472213e-03	5.203231971297264e-08
51                     	1.617229676056493e-03	1.809624350436935e-01	2.319021338907655e-01	1.096205264078173e-01	8.538843008576711e-03	5.050249631423043e-08
52                     	1.513118934591730e-03	3.168721766605708e-01	1.532296665194425e-01	1.271887738053609e-01	7.976318936669976e-03	4.915325084196918e-08
53                     	1.407449278952748e-03	2.985542375675557e-01	3.457133633521262e-01	1.329277185550826e-01	7.447104004076090e-03	4.761654005416148e-08
54                     	1.312219843143926e-03	2.797713003710540e-01	2.672622706545701e-01	8.623011431923948e-02	6.971378311182923e-03	4.636783610902574e-08
55                     	1.211857495511092e-03	2.555293742730628e-01	2.194707163802598e-01	1.341306586263155e-01	6.537445333971565e-03	4.496114454964515e-08
56                     	1.128887353904349e-03	1.966571347066764e-01	3.264858757736180e-01	1.893109863714413e-01	6.156337497927297e-03	4.365850798172965e-08
57                     	1.044137064844262e-03	3.913748962510876e-01	2.264450422059349e-01	1.651843747949157e-01	5.813873119892986e-03	4.233802608760331e-08
58                     	9.723783963050687e-04	2.737777602262146e-01	2.814608589518798e-01	9.338577237684949e-02	5.509470571466150e-03	4.097775041645891e-08
59                     	9.078539942899265e-04	2.834054566423672e-01	1.248173557782960e-01	1.200058830463113e-01	5.236307492962770e-03	3.981838227085227e-08
60                     	8.494039120291576e-04	1.685140268412613e-01	2.267879213064316e-01	1.161232164844622e-01	4.985154495715431e-03	3.857043151715822e-08
61                     	8.005422734910055e-04	2.951987249272664e-01	1.761135759792495e-01	1.170485327096799e-01	4.760025871602786e-03	3.743874614531857e-08
62                     	7.640653349430904e-04	2.013365605380070e-01	2.372523643908302e-01	1.149970808316240e-01	4.550926508366335e-03	3.648998548451620e-08
63                     	7.354826376930655e-04	3.257144621756036e-01	2.045746963367372e-01	1.283830367547997e-01	4.355703438680296e-03	3.548809012768391e-08
64                     	7.202976767979549e-04	2.700670386065762e-01	2.731776523506477e-01	1.226379135354140e-01	4.176441387221664e-03	3.467689364522459e-08
65                     	7.144537257885340e-04	2.554743884022577e-01	3.402385242120157e-01	1.126174249263742e-01	4.011251964313584e-03	3.398720866968563e-08
66                     	7.148715588608091e-04	3.023732372361742e-01	2.204101862108298e-01	1.128251921666772e-01	3.858077640250852e-03	3.340676549771891e-08
67                     	7.217495303756656e-04	3.628990446700351e-01	2.202629128260662e-01	1.028456043469803e-01	3.715181411733177e-03	3.288891436829835e-08
68                     	7.328194153715694e-04	2.291309920202792e-01	2.571078175744027e-01	1.166738520525468e-01	3.580138975275859e-03	3.258366348617194e-08
69                     	7.450722866039807e-04	3.033868158357782e-01	3.357102513899007e-01	1.052561622971882e-01	3.451059235762885e-03	3.232502414981922e-08
70                     	7.579693398704916e-04	2.049088455769749e-01	2.003734812501659e-01	9.419514006193751e-02	3.328831551124297e-03	3.208421640622466e-08
71                     	7.709199062574925e-04	1.772604234964058e-01	3.495535281851925e-01	9.801261558891432e-02	3.212716856146633e-03	3.186042685130296e-08
72                     	7.837595995497409e-04	3.629340842411016e-01	3.344051676431908e-01	1.193597641177998e-01	3.102152988093256e-03	3.169621906639844e-08
73                     	7.961610413379654e-04	2.359426922674048e-01	2.434543799800317e-01	1.063682486044270e-01	2.996557277162433e-03	3.165929695461556e-08
74                     	8.081196293921107e-04	2.937619243451415e-01	3.351166217954961e-01	9.691463670781232e-02	2.895624592660547e-03	3.164286384300649e-08
75                     	8.193848062931797e-04	2.371797102142316e-01	2.994448944453812e-01	1.355725965241034e-01	2.798787644332046e-03	3.164556349917610e-08
76                     	8.300008871969350e-04	4.459912494250798e-01	4.681289074016113e-01	1.466233418247870e-01	2.705319938023111e-03	3.166505566243728e-08
77                     	8.396889599579209e-04	3.641345437119921e-01	3.195590914568255e-01	1.136466334880206e-01	2.615195108946808e-03	3.169418620673127e-08
78                     	8.486558429755656e-04	3.199857097598370e-01	3.871976445341423e-01	1.245009242958391e-01	2.528552304932010e-03	3.172304988048584e-08
79                     	8.567639260889454e-04	4.130199269852979e-01	4.994130173900860e-01	1.128041896537846e-01	2.445257476487791e-03	3.176362481836382e-08
80                     	8.640450670820907e-04	2.719473917920597e-01	1.548114876705464e-01	1.098825401752859e-01	2.364964412118435e-03	3.184977003161463e-08
81                     	8.705422648928897e-04	3.059476212794106e-01	2.258415314491615e-01	1.116814846466450e-01	2.287299143647079e-03	3.192286716501431e-08
82                     	8.761626774949097e-04	2.818783028875715e-01	3.716894938363118e-01	1.269355761816492e-01	2.212175255296659e-03	3.199708405760832e-08
83                     	8.816208895823641e-04	3.626260493789258e-01	4.848558496037128e-01	1.317945117302506e-01	2.138697392157623e-03	3.204018478317522e-08
84                     	8.862911509603702e-04	3.296261804297309e-01	2.345803707839659e-01	1.016103737718107e-01	2.067877834775060e-03	3.208255660802501e-08
85                     	8.900846889565668e-04	5.370285582136121e-01	4.513301572170050e-01	1.676738996429626e-01	1.999291216913447e-03	3.212258511653658e-08
86                     	8.931650786821304e-04	3.398128183435528e-01	4.523067673224037e-01	1.278026297338068e-01	1.932984170188811e-03	3.214927684691501e-08
87                     	8.956108399638011e-04	2.700387807562301e-01	2.324416051915506e-01	1.298827207162066e-01	1.868853342071373e-03	3.216670090055952e-08
88                     	8.973359560821514e-04	3.216688461015332e-01	2.630313356816103e-01	1.189075087625190e-01	1.806585422251611e-03	3.216294209100146e-08
89                     	8.983464818708227e-04	3.963709638329014e-01	3.398680041624901e-01	1.322184393018751e-01	1.746407490284903e-03	3.214365957619043e-08
90                     	8.986955559285035e-04	2.678076047095304e-01	2.572981933040808e-01	9.534073309293942e-02	1.688102248515235e-03	3.210660380536615e-08
91                     	8.983689600443438e-04	4.698695339651548e-01	2.718800845176883e-01	1.222997089700300e-01	1.631522431418722e-03	3.205156812965234e-08
92                     	8.974156635510910e-04	4.846293706468670e-01	4.085765375947917e-01	1.125074190657569e-01	1.576331296327113e-03	3.198122574698796e-08
93                     	8.958192398832445e-04	2.570222490721984e-01	2.075285338577852e-01	1.247873847568239e-01	1.522972425932289e-03	3.189225285950096e-08
94                     	8.936401890667628e-04	3.552841979158159e-01	2.698725009409166e-01	1.206981176282806e-01	1.471139868922499e-03	3.179099017524361e-08
95                     	8.908833059294986e-04	2.828318052325096e-01	2.077720190679643e-01	1.169736659534132e-01	1.420926341462148e-03	3.167063230038071e-08
96                     	8.876018221362874e-04	1.976345923513063e-01	2.159633753016330e-01	1.092324137623957e-01	1.372213364230106e-03	3.153395235077181e-08
97                     	8.838940325336088e-04	2.860287191344797e-01	2.469306392725339e-01	1.145422959011718e-01	1.324465266048591e-03	3.137962164656353e-08
98                     	8.796970121788334e-04	2.492425178291216e-01	2.843360614475891e-01	8.889544108781690e-02	1.277998562875277e-03	3.120728280827334e-08
99                     	8.750231439082291e-04	2.986378820173251e-01	2.172371692090955e-01	9.594165964250498e-02	1.232827740531081e-03	3.102107131467538e-08
100                    	8.698980555805431e-04	2.414563165459393e-01	2.221269207658430e-01	9.652605112076916e-02	1.189004561668131e-03	3.081617650461384e-08
101                    	8.643856729607220e-04	2.658362724111812e-01	2.265747709861559e-01	7.841996477330514e-02	1.146405156207679e-03	3.059708608018701e-08
102                    	8.585044326217556e-04	3.479988366250492e-01	2.420463244417802e-01	9.000073179073567e-02	1.104862675094094e-03	3.036201324074253e-08
103                    	8.522971232155111e-04	1.984329521335981e-01	1.958946317513245e-01	8.854825311527004e-02	1.064129057561898e-03	3.011010824586741e-08
104                    	8.457216615542033e-04	3.392195689030430e-01	3.782568368444255e-01	1.210277983992980e-01	1.024482828338459e-03	2.984549371737438e-08
105                    	8.387667298327949e-04	4.147865802929021e-01	3.581677469187973e-01	1.154664387017432e-01	9.860062080923680e-04	2.956768316498733e-08
106                    	8.314519032021176e-04	2.510318646501501e-01	2.555857376653373e-01	9.631013996267979e-02	9.490880352716304e-04	2.924045397644045e-08
107                    	8.242365256128024e-04	3.452659017888989e-01	3.338497145610188e-01	9.566100932313860e-02	9.127444076447761e-04	2.895215912751353e-08
108                    	8.165908488034046e-04	3.153450458546641e-01	2.063719539205869e-01	8.586252418501786e-02	8.772833727928904e-04	2.862874588100103e-08
109                    	8.086514885439302e-04	3.624886197139535e-01	3.461481030542635e-01	1.066576713393170e-01	8.424625226420582e-04	2.829668751623009e-08
110                    	8.003866104978333e-04	4.910609792109059e-01	4.344326097294645e-01	1.260092903998538e-01	8.086777803424503e-04	2.795349955214803e-08
111                    	7.918074471374938e-04	3.616938075429162e-01	2.944514895842333e-01	8.746900926335918e-02	7.758648175791855e-04	2.760405563678907e-08
112                    	7.829792489378174e-04	4.539072325204065e-01	4.066955851530695e-01	1.208555093224313e-01	7.437492275746335e-04	2.724823156071056e-08
113                    	7.738906284220862e-04	3.725458118240125e-01	4.489616276796791e-01	1.244240797583364e-01	7.124562042704538e-04	2.688759501529416e-08
114                    	7.645511445656720e-04	4.225403490617333e-01	3.371877846994397e-01	1.031429010845866e-01	6.818776061706738e-04	2.652266342818409e-08
115                    	7.549866267333886e-04	2.309666202227479e-01	2.656558259170401e-01	9.202542646901685e-02	6.521249703073285e-04	2.615311965088160e-08
116                    	7.451892649892903e-04	2.334973987684758e-01	1.718293229401961e-01	8.540736807486234e-02	6.231630544841841e-04	2.577899078156696e-08
117                    	7.351870789615057e-04	2.807593297483071e-01	3.226795573678349e-01	1.020700087200224e-01	5.950039333162770e-04	2.540130163437655e-08
118                    	7.250057504638021e-04	3.566849390876191e-01	2.211953838261355e-01	9.057196478183811e-02	5.674437901493776e-04	2.502169617217458e-08
119                    	7.146442496152626e-04	3.227643261133194e-01	2.554759435024549e-01	1.282773006645251e-01	5.406526991722773e-04	2.463827112331866e-08
120                    	7.041029504962002e-04	3.179308546469095e-01	3.747615646196817e-01	1.057997366718284e-01	5.144469290937389e-04	2.425149851940875e-08
121                    	6.933876288623811e-04	2.621422490037219e-01	3.296620137553274e-01	1.172475899080560e-01	4.890159625891009e-04	2.386174743246879e-08
122                    	6.825038164285930e-04	2.508455087981739e-01	2.587699638618463e-01	1.152613329156372e-01	4.645050849445252e-04	2.346935767920678e-08
123                    	6.714343530041876e-04	3.120607096516003e-01	3.255373933684926e-01	1.190879862328579e-01	4.408405619149928e-04	2.307466566159229e-08
124                    	6.602619542136848e-04	3.638620413363580e-01	2.852467228108144e-01	1.477432852651545e-01	4.182247228917680e-04	2.267732810282317e-08
125                    	6.490500131099835e-04	4.768785835169683e-01	4.222188499807044e-01	1.422438464459904e-01	3.970802041567290e-04	2.227824244801695e-08
126                    	6.377096345674979e-04	4.711960586174784e-01	4.017461809728740e-01	1.389032252582323e-01	3.771361358551269e-04	2.187766687457023e-08
127                    	6.262953447466506e-04	3.404828650805456e-01	3.822095296764525e-01	1.107357639315620e-01	3.582610518595985e-04	2.147588738763706e-08
128                    	6.146824823663922e-04	3.059646061267654e-01	2.733775840193028e-01	1.457522983087181e-01	3.408228756024040e-04	2.107300754427166e-08
129                    	6.029846322404567e-04	3.761106065387498e-01	4.839734978641150e-01	1.282691141858248e-01	3.244706060394562e-04	2.066890807226795e-08
130                    	5.908253449483668e-04	3.795724874774288e-01	3.002709594712751e-01	1.146071346692131e-01	3.092138154556760e-04	2.026431918282623e-08
131                    	5.787930142668806e-04	4.836551665690955e-01	4.856102869164660e-01	1.357783069318569e-01	2.951492341577856e-04	1.985949492413639e-08
132                    	5.666138623700049e-04	3.484925887283380e-01	4.497352096817084e-01	1.036527459480478e-01	2.821817084967106e-04	1.945464196509766e-08
133                    	5.544900517247863e-04	3.567397432847104e-01	4.471197183893147e-01	1.485084642790408e-01	2.701273415472361e-04	1.904992142400006e-08
134                    	5.419749311609633e-04	3.625705588631847e-01	4.273037269004420e-01	1.095798507601868e-01	2.589124169408531e-04	1.864551824765842e-08
135                    	5.294241569025423e-04	1.976109232531266e-01	2.040503471755815e-01	1.154926676014374e-01	2.487247095503371e-04	1.824164061395539e-08
136                    	5.169881360683593e-04	2.940423251556172e-01	3.652273940014169e-01	1.099866875670686e-01	2.394835499076144e-04	1.783794161391743e-08
137                    	5.045520434726449e-04	2.002590763426147e-01	1.904310239747199e-01	1.139190052252100e-01	2.311539045009233e-04	1.743513205818887e-08
138                    	4.923819817518170e-04	4.209474599273345e-01	4.448932633083856e-01	1.579198885706122e-01	2.236315832540084e-04	1.703326129137142e-08
139                    	4.804449484271699e-04	4.728648887512318e-01	3.455056819271300e-01	1.339388003111472e-01	2.170408429025097e-04	1.663234895307806e-08
140                    	4.684400777811708e-04	3.407200405654040e-01	3.225459534654511e-01	1.330514615965811e-01	2.115898396902852e-04	1.623271354394093e-08
141                    	4.564589536208730e-04	4.829872814216392e-01	4.369761494678994e-01	1.354854679091410e-01	2.066961647405083e-04	1.583460170419457e-08
142                    	4.448210991943392e-04	3.802624231755390e-01	3.410057226164479e-01	1.293490373668758e-01	2.022450697949284e-04	1.543792604965758e-08
143                    	4.332439624291288e-04	2.925702209036834e-01	2.661648199562110e-01	1.133492740257963e-01	1.983657963496590e-04	1.504275948538519e-08
144                    	4.218378261505941e-04	4.110856039508400e-01	3.088041375957793e-01	1.159830220450030e-01	1.946842195161874e-04	1.464942395951412e-08
145                    	4.104758993002100e-04	3.208541068767947e-01	2.681463352011241e-01	1.177378287495535e-01	1.914995475858294e-04	1.425806268156198e-08
146                    	3.993147484181211e-04	4.431089543681374e-01	4.420121617075498e-01	1.016749086300905e-01	1.889311295433633e-04	1.386906996465040e-08
147                    	3.883077055352742e-04	3.327002636088277e-01	2.500027480341774e-01	1.094160911802646e-01	1.865391432848898e-04	1.348238480686965e-08
148                    	3.774355007101042e-04	3.775017623300638e-01	4.435892359327582e-01	1.087490984694925e-01	1.841941083962643e-04	1.309823642817741e-08
149                    	3.667105263008541e-04	3.713419084695870e-01	2.678499011449885e-01	9.164677193808532e-02	1.820891018652712e-04	1.271684525221016e-08
150                    	3.561469770350593e-04	3.467501644962084e-01	3.295877612569128e-01	1.089443017810183e-01	1.803124202722452e-04	1.233831145858115e-08
151                    	3.457474673220226e-04	4.373121022097534e-01	4.337064474997433e-01	1.120099704275722e-01	1.787105103705825e-04	1.196291595333130e-08
152                    	3.355038600848688e-04	3.208681100578588e-01	3.349770431219348e-01	8.959744062323127e-02	1.773170178612429e-04	1.159113700382007e-08
153                    	3.254018149536858e-04	2.321610626773416e-01	3.054941798004887e-01	1.041587364977781e-01	1.759774972684700e-04	1.122335750743332e-08
154                    	3.154609934085730e-04	3.243057775668037e-01	3.382599430312060e-01	1.011264143511468e-01	1.747236202431460e-04	1.085982808948348e-08
155                    	3.056841076636696e-04	2.335270377584276e-01	2.305655198896162e-01	8.642683471461841e-02	1.736961752992022e-04	1.050041152549012e-08
156                    	2.960784156855865e-04	2.630481196407328e-01	2.561086416343384e-01	1.169223050193681e-01	1.727465626951952e-04	1.014542726273382e-08
157                    	2.866419172497538e-04	3.586463408064511e-01	4.036917919750821e-01	1.049517648598156e-01	1.719313461624310e-04	9.795354514558458e-09
158                    	2.773732103838987e-04	2.096511314590800e-01	3.297977903939721e-01	8.201525566207939e-02	1.712111857318586e-04	9.450448466421461e-09
159                    	2.682621281238764e-04	2.668551855748933e-01	1.991195803046004e-01	9.379307535731100e-02	1.705243285390958e-04	9.111325497058183e-09
160                    	2.593283984483891e-04	2.764087026638627e-01	3.593612739220641e-01	8.898075292751974e-02	1.699701192861634e-04	8.777586860887592e-09
161                    	2.505578617230988e-04	3.034620064397480e-01	2.067536004464325e-01	1.057311355747187e-01	1.694807225039464e-04	8.449569179351178e-09
162                    	2.419609326280216e-04	3.621213747760221e-01	3.539004823668094e-01	1.081261782810424e-01	1.690549878289683e-04	8.127681719819045e-09
163                    	2.335350204154315e-04	2.732986149164013e-01	3.450154784137900e-01	1.032857961009293e-01	1.686604059240514e-04	7.812066040260080e-09
164                    	2.252801632001647e-04	4.136947894352069e-01	3.249257864331648e-01	1.007379652482111e-01	1.683163350163561e-04	7.502700553601411e-09
165                    	2.172023465121430e-04	2.531441462056458e-01	3.589923196635271e-01	9.069216744768586e-02	1.679927491148382e-04	7.200051344174491e-09
166                    	2.093026926752327e-04	3.110994077732893e-01	3.263988080551705e-01	1.221557151412943e-01	1.677100213054695e-04	6.904703759695891e-09
167                    	2.015694833119156e-04	3.381866633716461e-01	3.884629209047212e-01	9.612174927352389e-02	1.674464386363848e-04	6.616090392028586e-09
168                    	1.940076090490237e-04	2.166543341844730e-01	2.874351721614747e-01	9.824823165749913e-02	1.671842545416427e-04	6.334769470071071e-09
169                    	1.866134817064166e-04	3.669333726298121e-01	2.419683129193107e-01	1.055189393144534e-01	1.669109757363218e-04	6.060366049450079e-09
170                    	1.793854759500595e-04	3.730511549373667e-01	3.067482517616310e-01	9.548263570596090e-02	1.665957342575059e-04	5.792806298698639e-09
171                    	1.723257410667580e-04	2.119222989837586e-01	2.397102808156072e-01	1.052724046011093e-01	1.662381221318965e-04	5.533105570814999e-09
172                    	1.654294466756937e-04	2.755104153064580e-01	2.837128997286778e-01	9.443690173210167e-02	1.658280263311000e-04	5.280337015255675e-09
173                    	1.586954779362151e-04	1.604224772701328e-01	1.466640486448542e-01	1.007909102087593e-01	1.653870124975961e-04	5.035526858487128e-09
174                    	1.521240725849118e-04	5.459557732238269e-01	5.464089432473723e-01	1.343827347806815e-01	1.648600107103396e-04	4.797455527475380e-09
175                    	1.457169798864283e-04	3.311788156418600e-01	2.968940036419001e-01	1.117537121656064e-01	1.642865618016063e-04	4.567615529433877e-09
176                    	1.394680134849413e-04	3.214614350334878e-01	2.823524253157195e-01	1.265858064288334e-01	1.636428131616455e-04	4.345183610098081e-09
177                    	1.333786143900511e-04	3.508369851067146e-01	3.452717661428386e-01	1.013818413047654e-01	1.629442787664391e-04	4.129813387293462e-09
178                    	1.274483235889664e-04	1.653073353007366e-01	1.821925558633000e-01	9.415371136738211e-02	1.621912021323502e-04	3.922866516861317e-09
179                    	1.216765480889319e-04	2.407687073729850e-01	3.222212516645658e-01	9.168537699051575e-02	1.613640161563320e-04	3.722810542173717e-09
180                    	1.160578724863087e-04	3.210676977362987e-01	2.328714415613325e-01	1.122317333087739e-01	1.604844651369935e-04	3.530310851170904e-09
181                    	1.105877226929967e-04	3.431153226591386e-01	3.994167109048604e-01	9.273817011632599e-02	1.595303191600717e-04	3.353426052618191e-09
182                    	1.053225302162612e-04	3.617052185514681e-01	2.629972737687616e-01	1.305942751767219e-01	1.585236991781546e-04	3.192044342524775e-09
183                    	1.004110410273885e-04	4.448302881202190e-01	4.504588109529366e-01	1.039629311344549e-01	1.574494447894752e-04	3.045997452453728e-09
184                    	9.577662811759174e-05	3.442321138175636e-01	2.358322654458650e-01	9.856920943536174e-02	1.563209071159029e-04	2.914130420376509e-09
185                    	9.146117906596221e-05	3.736726700002043e-01	2.817638393391848e-01	1.188508689137062e-01	1.551401541257568e-04	2.793735855953895e-09
186                    	8.740999458940087e-05	3.974643739046762e-01	4.824640912269468e-01	1.304544554494693e-01	1.538940619839871e-04	2.686140609043523e-09
187                    	8.361041620036560e-05	3.707168475999505e-01	3.773175622900801e-01	9.181625493208702e-02	1.525978476092229e-04	2.589115708318838e-09
188                    	8.010610450639767e-05	3.297592112829429e-01	2.362942106783882e-01	9.057742737081438e-02	1.512459188919396e-04	2.503319412271955e-09
189                    	7.685675726636342e-05	2.379035655157027e-01	2.983106818916926e-01	9.248557594336350e-02	1.498395749918754e-04	2.425744236359724e-09
190                    	7.382205857571965e-05	4.721835036824233e-01	3.022083528124608e-01	1.157265664715263e-01	1.483990801146286e-04	2.355883214847260e-09
191                    	7.099928042406075e-05	4.499112521581686e-01	3.705315169225018e-01	9.455369715842235e-02	1.469042415510100e-04	2.291503759177853e-09
192                    	6.835214198545768e-05	2.526774899748194e-01	2.925290873369700e-01	9.323783761783906e-02	1.453670747544226e-04	2.232050280410796e-09
193                    	6.587197136299169e-05	3.671430608560750e-01	4.019118182403759e-01	1.146325964455275e-01	1.437850842173080e-04	2.176352271355205e-09
194                    	6.350905976237111e-05	3.616276106964399e-01	2.770458048662304e-01	1.201148527123800e-01	1.421663081578019e-04	2.125580859782641e-09
195                    	6.128950246085710e-05	4.355960124318618e-01	4.619684346145883e-01	1.301120489027054e-01	1.405119638326475e-04	2.078184619837690e-09
196                    	5.918796069725976e-05	4.404885202022075e-01	2.598149253167626e-01	1.182640059531467e-01	1.388222216248317e-04	2.033537956617745e-09
197                    	5.718546932845537e-05	4.005904721280798e-01	4.591645061004962e-01	1.160221560394479e-01	1.370947561319642e-04	1.992029403924263e-09
198                    	5.528324976093129e-05	4.205329965499006e-01	2.281891129123839e-01	9.640433248453061e-02	1.353372445458383e-04	1.952955829734239e-09
