zone,x,cp
alpha=0,0.41471,-0.27104
alpha=0,0.42428,-0.26543
alpha=0,0.43391,-0.2598
alpha=0,0.44359,-0.25415
alpha=0,0.45331,-0.24849
alpha=0,0.46306,-0.24283
alpha=0,0.47284,-0.23716
alpha=0,0.48265,-0.23151
alpha=0,0.49246,-0.22586
alpha=0,0.50229,-0.22023
alpha=0,0.51212,-0.21461
alpha=0,0.52194,-0.20902
alpha=0,0.53174,-0.20345
alpha=0,0.54153,-0.19791
alpha=0,0.55129,-0.1924
alpha=0,0.56102,-0.18691
alpha=0,0.57071,-0.18147
alpha=0,0.58035,-0.17605
alpha=0,0.58993,-0.17067
alpha=0,0.59946,-0.16533
alpha=0,0.60892,-0.16003
alpha=0,0.61831,-0.15476
alpha=0,0.62763,-0.14954
alpha=0,0.63686,-0.14435
alpha=0,0.646,-0.1392
alpha=0,0.65505,-0.13409
alpha=0,0.66401,-0.12901
alpha=0,0.67286,-0.12397
alpha=0,0.6816,-0.11896
alpha=0,0.69023,-0.11399
alpha=0,0.69875,-0.10905
alpha=0,0.70715,-0.10414
alpha=0,0.71543,-0.09926
alpha=0,0.72358,-0.094407
alpha=0,0.7316,-0.089586
alpha=0,0.7395,-0.084785
alpha=0,0.74726,-0.080012
alpha=0,0.75489,-0.075265
alpha=0,0.76238,-0.070533
alpha=0,0.76973,-0.065823
alpha=0,0.77694,-0.061134
alpha=0,0.78402,-0.056456
alpha=0,0.79095,-0.051799
alpha=0,0.79774,-0.047158
alpha=0,0.80439,-0.042527
alpha=0,0.8109,-0.037907
alpha=0,0.81727,-0.033298
alpha=0,0.82349,-0.028699
alpha=0,0.82957,-0.024111
alpha=0,0.83551,-0.019533
alpha=0,0.84132,-0.014961
alpha=0,0.84698,-0.010394
alpha=0,0.8525,-0.0058318
alpha=0,0.85789,-0.0012754
alpha=0,0.86315,0.0032758
alpha=0,0.86827,0.0078216
alpha=0,0.87325,0.012362
alpha=0,0.87811,0.016903
alpha=0,0.88284,0.021433
alpha=0,0.88744,0.025968
alpha=0,0.89191,0.030493
alpha=0,0.89626,0.035017
alpha=0,0.9005,0.039537
alpha=0,0.90461,0.044056
alpha=0,0.9086,0.04857
alpha=0,0.91249,0.053079
alpha=0,0.91626,0.057582
alpha=0,0.91991,0.06208
alpha=0,0.92347,0.066573
alpha=0,0.92691,0.071061
alpha=0,0.93025,0.075543
alpha=0,0.9335,0.080015
alpha=0,0.93664,0.084481
alpha=0,0.93969,0.088942
alpha=0,0.94264,0.093387
alpha=0,0.9455,0.097827
alpha=0,0.94827,0.10226
alpha=0,0.95096,0.10667
alpha=0,0.95356,0.11108
alpha=0,0.95608,0.11547
alpha=0,0.95852,0.11985
alpha=0,0.96087,0.12422
alpha=0,0.96316,0.12857
alpha=0,0.96537,0.13291
alpha=0,0.9675,0.13723
alpha=0,0.96957,0.14154
alpha=0,0.97157,0.14584
alpha=0,0.9735,0.15013
alpha=0,0.97537,0.15441
alpha=0,0.97718,0.15867
alpha=0,0.97892,0.16293
alpha=0,0.98061,0.16719
alpha=0,0.98224,0.17144
alpha=0,0.98381,0.1757
alpha=0,0.98534,0.17998
alpha=0,0.98681,0.18427
alpha=0,0.98823,0.1886
alpha=0,0.9896,0.19299
alpha=0,0.99092,0.19745
alpha=0,0.9922,0.20203
alpha=0,0.99344,0.20675
alpha=0,0.99463,0.21157
alpha=0,0.99578,0.21645
alpha=0,0.99689,0.2208
alpha=0,0.99797,0.22482
alpha=0,0.999,0.22626
alpha=0,1.0,0.24711
alpha=10,1.0,0.1853
alpha=10,0.999,0.16471
alpha=10,0.99797,0.16542
alpha=10,0.99689,0.16483
alpha=10,0.99578,0.16363
alpha=10,0.99463,0.16192
alpha=10,0.99344,0.16007
alpha=10,0.9922,0.15813
alpha=10,0.99092,0.15618
alpha=10,0.9896,0.15425
alpha=10,0.98823,0.15237
alpha=10,0.98681,0.15053
alpha=10,0.98534,0.14874
alpha=10,0.98381,0.14699
alpha=10,0.98224,0.14528
alpha=10,0.98061,0.14359
alpha=10,0.97892,0.14193
alpha=10,0.97718,0.1403
alpha=10,0.97537,0.13869
alpha=10,0.9735,0.13711
alpha=10,0.97157,0.13555
alpha=10,0.96957,0.13402
alpha=10,0.9675,0.13251
alpha=10,0.96537,0.13103
alpha=10,0.96316,0.12957
alpha=10,0.96087,0.12813
alpha=10,0.95852,0.12672
alpha=10,0.95608,0.12534
alpha=10,0.95356,0.12398
alpha=10,0.95096,0.12265
alpha=10,0.94827,0.12135
alpha=10,0.9455,0.12007
alpha=10,0.94264,0.11882
alpha=10,0.93969,0.1176
alpha=10,0.93664,0.1164
alpha=10,0.9335,0.11524
alpha=10,0.93025,0.11411
alpha=10,0.92691,0.11301
alpha=10,0.92347,0.11194
alpha=10,0.91991,0.1109
alpha=10,0.91626,0.1099
alpha=10,0.91249,0.10893
alpha=10,0.9086,0.10799
alpha=10,0.90461,0.10709
alpha=10,0.9005,0.10623
alpha=10,0.89626,0.1054
alpha=10,0.89191,0.10462
alpha=10,0.88744,0.10387
alpha=10,0.88284,0.10317
alpha=10,0.87811,0.1025
alpha=10,0.87325,0.10188
alpha=10,0.86827,0.1013
alpha=10,0.86315,0.10076
alpha=10,0.85789,0.10027
alpha=10,0.8525,0.099819
alpha=10,0.84698,0.099422
alpha=10,0.84132,0.099067
alpha=10,0.83551,0.09876
alpha=10,0.82957,0.098505
alpha=10,0.82349,0.098294
alpha=10,0.81727,0.098135
alpha=10,0.8109,0.098029
alpha=10,0.80439,0.097976
alpha=10,0.79774,0.09797
alpha=10,0.79095,0.098023
alpha=10,0.78402,0.098124
alpha=10,0.77694,0.098283
alpha=10,0.76973,0.098495
alpha=10,0.76238,0.098765
alpha=10,0.75489,0.099094
alpha=10,0.74726,0.099475
alpha=10,0.7395,0.099915
alpha=10,0.7316,0.10042
alpha=10,0.72358,0.10098
alpha=10,0.71543,0.1016
alpha=10,0.70715,0.10228
alpha=10,0.69875,0.10304
alpha=10,0.69023,0.10385
alpha=10,0.6816,0.10473
alpha=10,0.67286,0.10567
alpha=10,0.66401,0.10669
alpha=10,0.65505,0.10778
alpha=10,0.646,0.10894
alpha=10,0.63686,0.11017
alpha=10,0.62763,0.11149
alpha=10,0.61831,0.11288
alpha=10,0.60892,0.11436
alpha=10,0.59946,0.11593
alpha=10,0.58993,0.11758
alpha=10,0.58035,0.11933
alpha=10,0.57071,0.12118
alpha=10,0.56102,0.12312
alpha=10,0.55129,0.12517
alpha=10,0.54153,0.12733
alpha=10,0.53174,0.12961
alpha=10,0.52194,0.132
alpha=10,0.51212,0.13452
alpha=10,0.50229,0.13717
alpha=10,0.49246,0.13995
alpha=10,0.48265,0.14288
alpha=10,0.47284,0.14595
alpha=10,0.46306,0.14917
alpha=10,0.45331,0.15255
alpha=10,0.44359,0.1561
alpha=10,0.43391,0.15982
alpha=10,0.42428,0.16372
alpha=10,0.41471,0.1678
alpha=10,0.4052,0.17207
alpha=10,0.39575,0.17654
alpha=10,0.38638,0.18122
alpha=10,0.37708,0.1861
alpha=10,0.36787,0.1912
alpha=10,0.35875,0.19652
alpha=10,0.34972,0.20206
alpha=10,0.34079,0.20784
alpha=10,0.33197,0.21387
alpha=10,0.32325,0.22013
alpha=10,0.31465,0.22664
alpha=10,0.30616,0.23341
alpha=10,0.2978,0.24043
alpha=10,0.28955,0.24771
alpha=10,0.28144,0.25526
alpha=10,0.27345,0.26308
alpha=10,0.26559,0.27117
alpha=10,0.25787,0.27953
alpha=10,0.25029,0.28816
alpha=10,0.24284,0.29708
alpha=10,0.23553,0.30626
alpha=10,0.22837,0.31573
alpha=10,0.22134,0.32548
alpha=10,0.21446,0.3355
alpha=10,0.20772,0.3458
alpha=10,0.20112,0.35638
alpha=10,0.19467,0.36724
alpha=10,0.18837,0.37836
alpha=10,0.1822,0.38976
alpha=10,0.17618,0.40142
alpha=10,0.1703,0.41335
alpha=10,0.16456,0.42554
alpha=10,0.15897,0.43799
alpha=10,0.15351,0.45068
alpha=10,0.14819,0.46362
alpha=10,0.14301,0.47681
alpha=10,0.13797,0.49023
alpha=10,0.13306,0.50387
alpha=10,0.12828,0.51773
alpha=10,0.12363,0.5318
alpha=10,0.11911,0.54608
alpha=10,0.11472,0.56054
alpha=10,0.11046,0.57519
alpha=10,0.10631,0.59002
alpha=10,0.10229,0.605
alpha=10,0.098386,0.62013
alpha=10,0.094598,0.63539
alpha=10,0.090925,0.65077
alpha=10,0.087364,0.66625
alpha=10,0.083912,0.68182
alpha=10,0.080568,0.69746
alpha=10,0.07733,0.71313
alpha=10,0.074194,0.72882
alpha=10,0.071158,0.74445
alpha=10,0.068221,0.76
alpha=10,0.06538,0.77543
alpha=10,0.062633,0.79077
alpha=10,0.059977,0.80601
alpha=10,0.05741,0.82115
alpha=10,0.05493,0.83614
alpha=10,0.052535,0.85092
alpha=10,0.050222,0.86541
alpha=10,0.04799,0.87956
alpha=10,0.045837,0.89333
alpha=10,0.043759,0.90664
alpha=10,0.041756,0.91946
alpha=10,0.039825,0.93171
alpha=10,0.037964,0.94332
alpha=10,0.036171,0.95423
alpha=10,0.034445,0.96435
alpha=10,0.032783,0.97359
alpha=10,0.031184,0.98186
alpha=10,0.029646,0.98906
alpha=10,0.028167,0.99509
alpha=10,0.026746,0.99984
alpha=10,0.02538,1.0032
alpha=10,0.024068,1.005
alpha=10,0.022809,1.0052
alpha=10,0.021601,1.0035
alpha=10,0.020443,0.99997
alpha=10,0.019333,0.99431
alpha=10,0.018269,0.9864
alpha=10,0.01725,0.97608
alpha=10,0.016276,0.9632
alpha=10,0.015343,0.94757
alpha=10,0.014452,0.92902
alpha=10,0.013601,0.90739
alpha=10,0.012789,0.88251
alpha=10,0.012014,0.85423
alpha=10,0.011275,0.82231
alpha=10,0.010572,0.78671
alpha=10,0.0099023,0.74723
alpha=10,0.0092657,0.70367
alpha=10,0.008661,0.65607
alpha=10,0.008087,0.60422
alpha=10,0.0075428,0.54809
alpha=10,0.0070272,0.48763
alpha=10,0.0065393,0.42283
alpha=10,0.006078,0.3537
alpha=10,0.0056425,0.28029
alpha=10,0.0052316,0.20267
alpha=10,0.0048446,0.12099
alpha=10,0.0044803,0.035378
alpha=10,0.004138,-0.053945
alpha=10,0.0038166,-0.14676
alpha=10,0.0035153,-0.24282
alpha=10,0.0032332,-0.34182
alpha=10,0.0029694,-0.44345
alpha=10,0.0027231,-0.54735
alpha=10,0.0024934,-0.65318
alpha=10,0.0022795,-0.76055
alpha=10,0.0020806,-0.8691
alpha=10,0.0018959,-0.97843
alpha=10,0.0017246,-1.0882
alpha=10,0.001566,-1.198
alpha=10,0.0014194,-1.3075
alpha=10,0.001284,-1.4163
alpha=10,0.0011592,-1.5242
alpha=10,0.0010443,-1.6308
alpha=10,0.00093876,-1.7359
alpha=10,0.00084191,-1.8392
alpha=10,0.00075319,-1.9405
alpha=10,0.00067206,-2.0397
alpha=10,0.00059799,-2.1366
alpha=10,0.00053051,-2.2311
alpha=10,0.00046913,-2.3229
alpha=10,0.00041342,-2.4122
alpha=10,0.00036295,-2.4988
alpha=10,0.00031735,-2.5826
alpha=10,0.00027624,-2.6638
alpha=10,0.00023927,-2.7422
alpha=10,0.00020611,-2.8178
alpha=10,0.00017648,-2.8908
alpha=10,0.00015008,-2.961
alpha=10,0.00012665,-3.0286
alpha=10,0.00010594,-3.0936
alpha=10,8.773e-05,-3.1561
alpha=10,7.1803e-05,-3.216
alpha=10,5.7964e-05,-3.2735
alpha=10,4.6029e-05,-3.3287
alpha=10,3.5831e-05,-3.3815
alpha=10,2.7213e-05,-3.4322
alpha=10,2.003e-05,-3.4807
alpha=10,1.4151e-05,-3.5272
alpha=10,9.4511e-06,-3.5719
alpha=10,5.8186e-06,-3.6149
alpha=10,3.1491e-06,-3.656
alpha=10,1.3469e-06,-3.6931
alpha=10,3.2412e-07,-3.7224
alpha=10,0.0,-3.7708
alpha=10,3.2412e-07,-3.8155
alpha=10,1.3469e-06,-3.8438
alpha=10,3.1491e-06,-3.8826
alpha=10,5.8186e-06,-3.9225
alpha=10,9.4511e-06,-3.9644
alpha=10,1.4151e-05,-4.0078
alpha=10,2.003e-05,-4.0526
alpha=10,2.7213e-05,-4.099
alpha=10,3.5831e-05,-4.1467
alpha=10,4.6029e-05,-4.1958
alpha=10,5.7964e-05,-4.2463
alpha=10,7.1803e-05,-4.2979
alpha=10,8.773e-05,-4.3507
alpha=10,0.00010594,-4.4047
alpha=10,0.00012665,-4.4596
alpha=10,0.00015008,-4.5154
alpha=10,0.00017648,-4.5721
alpha=10,0.00020611,-4.6295
alpha=10,0.00023927,-4.6874
alpha=10,0.00027624,-4.7458
alpha=10,0.00031735,-4.8045
alpha=10,0.00036295,-4.8631
alpha=10,0.00041342,-4.9217
alpha=10,0.00046913,-4.9798
alpha=10,0.00053051,-5.0372
alpha=10,0.00059799,-5.0938
alpha=10,0.00067206,-5.149
alpha=10,0.00075319,-5.2026
alpha=10,0.00084191,-5.2544
alpha=10,0.00093876,-5.304
alpha=10,0.0010443,-5.3509
alpha=10,0.0011592,-5.395
alpha=10,0.001284,-5.4357
alpha=10,0.0014194,-5.4727
alpha=10,0.001566,-5.5058
alpha=10,0.0017246,-5.5345
alpha=10,0.0018959,-5.5587
alpha=10,0.0020806,-5.5779
alpha=10,0.0022795,-5.5919
alpha=10,0.0024934,-5.6006
alpha=10,0.0027231,-5.6038
alpha=10,0.0029694,-5.6013
alpha=10,0.0032332,-5.5931
alpha=10,0.0035153,-5.5792
alpha=10,0.0038166,-5.5597
alpha=10,0.004138,-5.5345
alpha=10,0.0044803,-5.5039
alpha=10,0.0048446,-5.468
alpha=10,0.0052316,-5.427
alpha=10,0.0056425,-5.3813
alpha=10,0.006078,-5.3309
alpha=10,0.0065393,-5.2763
alpha=10,0.0070272,-5.2178
alpha=10,0.0075428,-5.1558
alpha=10,0.008087,-5.0906
alpha=10,0.008661,-5.0223
alpha=10,0.0092657,-4.9516
alpha=10,0.0099023,-4.879
alpha=10,0.010572,-4.8038
alpha=10,0.011275,-4.7278
alpha=10,0.012014,-4.6504
