zone,log10(y+),u+
"Theory, inner",0.5118799806,3.25
"Theory, inner",0.5152099729,3.275000095
"Theory, inner",0.518509984,3.299999952
"Theory, inner",0.5217900276,3.325000048
"Theory, inner",0.5250399709,3.349999905
"Theory, inner",0.5282700062,3.375
"Theory, inner",0.5314800143,3.400000095
"Theory, inner",0.5346599817,3.424999952
"Theory, inner",0.5378199816,3.450000048
"Theory, inner",0.5409500003,3.474999905
"Theory, inner",0.5440700054,3.5
"Theory, inner",0.5471600294,3.525000095
"Theory, inner",0.5502300262,3.549999952
"Theory, inner",0.5532799959,3.575000048
"Theory, inner",0.5562999845,3.599999905
"Theory, inner",0.559310019,3.625
"Theory, inner",0.5622900128,3.650000095
"Theory, inner",0.5652599931,3.674999952
"Theory, inner",0.5681999922,3.700000048
"Theory, inner",0.5711299777,3.724999905
"Theory, inner",0.5740299821,3.75
"Theory, inner",0.5769199729,3.775000095
"Theory, inner",0.5797799826,3.799999952
"Theory, inner",0.5826299787,3.825000048
"Theory, inner",0.5854600072,3.849999905
"Theory, inner",0.5882700086,3.875
"Theory, inner",0.5910599828,3.900000095
"Theory, inner",0.593840003,3.924999952
"Theory, inner",0.5965999961,3.950000048
"Theory, inner",0.5993400216,3.974999905
"Theory, inner",0.60206002,4.0
"Theory, inner",0.6047700047,4.025000095
"Theory, inner",0.607460022,4.050000191
"Theory, inner",0.610130012,4.074999809
"Theory, inner",0.6127799749,4.099999905
"Theory, inner",0.6154199839,4.125
"Theory, inner",0.6180499792,4.150000095
"Theory, inner",0.620660007,4.175000191
"Theory, inner",0.6232500076,4.199999809
"Theory, inner",0.6258299947,4.224999905
"Theory, inner",0.6283900142,4.25
"Theory, inner",0.6309400201,4.275000095
"Theory, inner",0.6334699988,4.300000191
"Theory, inner",0.6359900236,4.324999809
"Theory, inner",0.6384900212,4.349999905
"Theory, inner",0.6409800053,4.375
"Theory, inner",0.6434500217,4.400000095
"Theory, inner",0.6459100246,4.425000191
"Theory, inner",0.648360014,4.449999809
"Theory, inner",0.6507899761,4.474999905
"Theory, inner",0.6532099843,4.5
"Theory, inner",0.6556199789,4.525000095
"Theory, inner",0.658010006,4.550000191
"Theory, inner",0.6603900194,4.574999809
"Theory, inner",0.6627600193,4.599999905
"Theory, inner",0.665109992,4.625
"Theory, inner",0.6674500108,4.650000095
"Theory, inner",0.6697800159,4.675000191
"Theory, inner",0.6721000075,4.699999809
"Theory, inner",0.674399972,4.724999905
"Theory, inner",0.6766899824,4.75
"Theory, inner",0.6789699793,4.775000095
"Theory, inner",0.6812400222,4.800000191
"Theory, inner",0.6834999919,4.824999809
"Theory, inner",0.685739994,4.849999905
"Theory, inner",0.6879699826,4.875
"Theory, inner",0.6901999712,4.900000095
"Theory, inner",0.6924099922,4.925000191
"Theory, inner",0.6946099997,4.949999809
"Theory, inner",0.6967899799,4.974999905
"Theory, inner",0.6989700198,5.0
"Theory, inner",0.7011399865,5.025000095
"Theory, inner",0.7032899857,5.050000191
"Theory, inner",0.7054399848,5.074999809
"Theory, inner",0.7075700164,5.099999905
"Theory, inner",0.7096899748,5.125
"Theory, inner",0.7118099928,5.150000095
"Theory, inner",0.7139099836,5.175000191
"Theory, inner",0.7160000205,5.199999809
"Theory, inner",0.7180899978,5.224999905
"Theory, inner",0.7201600075,5.25
"Theory, inner",0.7222200036,5.275000095
"Theory, inner",0.7242799997,5.300000191
"Theory, inner",0.7263200283,5.324999809
"Theory, inner",0.7283499837,5.349999905
"Theory, inner",0.7303799987,5.375
"Theory, inner",0.7323899865,5.400000095
"Theory, inner",0.7343999743,5.425000191
"Theory, inner",0.7364000082,5.449999809
"Theory, inner",0.7383800149,5.474999905
"Theory, inner",0.7403600216,5.5
"Theory, inner",0.7423300147,5.525000095
"Theory, inner",0.7442899942,5.550000191
"Theory, inner",0.7462400198,5.574999809
"Theory, inner",0.7481899858,5.599999905
"Theory, inner",0.7501199841,5.625
"Theory, inner",0.7520499825,5.650000095
"Theory, inner",0.753970027,5.675000191
"Theory, inner",0.7558699846,5.699999809
"Theory, inner",0.7577800155,5.724999905
"Theory, inner",0.7596700191,5.75
"Theory, inner",0.7615500093,5.775000095
"Theory, inner",0.7634299994,5.800000191
"Theory, inner",0.7652999759,5.824999809
"Theory, inner",0.7671599984,5.849999905
"Theory, inner",0.7690100074,5.875
"Theory, inner",0.7708500028,5.900000095
"Theory, inner",0.7726899981,5.925000191
"Theory, inner",0.77451998,5.949999809
"Theory, inner",0.7763400078,5.974999905
"Theory, inner",0.778150022,6.0
"Theory, inner",0.7799599767,6.025000095
"Theory, inner",0.7817599773,6.050000191
"Theory, inner",0.783550024,6.074999809
"Theory, inner",0.7853299975,6.099999905
"Theory, inner",0.787109971,6.125
"Theory, inner",0.7888799906,6.150000095
"Theory, inner",0.7906399965,6.175000191
"Theory, inner",0.7923899889,6.199999809
"Theory, inner",0.7941399813,6.224999905
"Theory, inner",0.7958800197,6.25
"Theory, inner",0.7976099849,6.275000095
"Theory, inner",0.7993400097,6.300000191
"Theory, inner",0.8010600209,6.324999809
"Theory, inner",0.8027700186,6.349999905
"Theory, inner",0.8044800162,6.375
"Theory, inner",0.8061800003,6.400000095
"Theory, inner",0.8078699708,6.425000191
"Theory, inner",0.8095600009,6.449999809
"Theory, inner",0.8112400174,6.474999905
"Theory, inner",0.8129100204,6.5
"Theory, inner",0.8145800233,6.525000095
"Theory, inner",0.8162400126,6.550000191
"Theory, inner",0.817900002,6.574999809
"Theory, inner",0.8195400238,6.599999905
"Theory, inner",0.8211899996,6.625
"Theory, inner",0.8228200078,6.650000095
"Theory, inner",0.824450016,6.675000191
"Theory, inner",0.8260700107,6.699999809
"Theory, inner",0.8276900053,6.724999905
"Theory, inner",0.8292999864,6.75
"Theory, inner",0.830910027,6.775000095
"Theory, inner",0.8325099945,6.800000191
"Theory, inner",0.834100008,6.824999809
"Theory, inner",0.8356900215,6.849999905
"Theory, inner",0.8372700214,6.875
"Theory, inner",0.8388500214,6.900000095
"Theory, inner",0.8404200077,6.925000191
"Theory, inner",0.8419799805,6.949999809
"Theory, inner",0.8435400128,6.974999905
"Theory, inner",0.8450999856,7.0
"Theory, inner",0.8466500044,7.025000095
"Theory, inner",0.8481900096,7.050000191
"Theory, inner",0.8497300148,7.074999809
"Theory, inner",0.8512600064,7.099999905
"Theory, inner",0.8527799845,7.125
"Theory, inner",0.8543099761,7.150000095
"Theory, inner",0.8558200002,7.175000191
"Theory, inner",0.8573300242,7.199999809
"Theory, inner",0.8588399887,7.224999905
"Theory, inner",0.8603399992,7.25
"Theory, inner",0.8618299961,7.275000095
"Theory, inner",0.863319993,7.300000191
"Theory, inner",0.8648099899,7.324999809
"Theory, inner",0.8662899733,7.349999905
"Theory, inner",0.8677600026,7.375
"Theory, inner",0.8692299724,7.400000095
"Theory, inner",0.8707000017,7.425000191
"Theory, inner",0.8721600175,7.449999809
"Theory, inner",0.8736100197,7.474999905
"Theory, inner",0.8750600219,7.5
"Theory, inner",0.8765100241,7.525000095
"Theory, inner",0.8779500127,7.550000191
"Theory, inner",0.8793799877,7.574999809
"Theory, inner",0.8808100224,7.599999905
"Theory, inner",0.8822399974,7.625
"Theory, inner",0.8836600184,7.650000095
"Theory, inner",0.8850799799,7.675000191
"Theory, inner",0.8864899874,7.699999809
"Theory, inner",0.8878999949,7.724999905
"Theory, inner",0.8892999887,7.75
"Theory, inner",0.8906999826,7.775000095
"Theory, inner",0.8920900226,7.800000191
"Theory, inner",0.8934800029,7.824999809
"Theory, inner",0.8948699832,7.849999905
"Theory, inner",0.8962500095,7.875
"Theory, inner",0.8976299763,7.900000095
"Theory, inner",0.898999989,7.925000191
"Theory, inner",0.9003700018,7.949999809
"Theory, inner",0.901730001,7.974999905
"Theory, inner",0.9030900002,8.0
"Theory, inner",0.9044499993,8.024999619
"Theory, inner",0.9057999849,8.050000191
"Theory, inner",0.9071400166,8.074999809
"Theory, inner",0.9084900022,8.100000381
"Theory, inner",0.9098200202,8.125
"Theory, inner",0.9111599922,8.149999619
"Theory, inner",0.9124900103,8.175000191
"Theory, inner",0.9138100147,8.199999809
"Theory, inner",0.9151399732,8.225000381
"Theory, inner",0.9164500237,8.25
"Theory, inner",0.9177700281,8.274999619
"Theory, inner",0.919080019,8.300000191
"Theory, inner",0.9203799963,8.324999809
"Theory, inner",0.9216899872,8.350000381
"Theory, inner",0.9229800105,8.375
"Theory, inner",0.9242799878,8.399999619
"Theory, inner",0.9255700111,8.425000191
"Theory, inner",0.9268599749,8.449999809
"Theory, inner",0.9281399846,8.475000381
"Theory, inner",0.9294199944,8.5
"Theory, inner",0.9306899905,8.524999619
"Theory, inner",0.9319700003,8.550000191
"Theory, inner",0.9332299829,8.574999809
"Theory, inner",0.934499979,8.600000381
"Theory, inner",0.9357600212,8.625
"Theory, inner",0.9370200038,8.649999619
"Theory, inner",0.9382699728,8.675000191
"Theory, inner",0.9395200014,8.699999809
"Theory, inner",0.9407699704,8.725000381
"Theory, inner",0.9420099854,8.75
"Theory, inner",0.9432500005,8.774999619
"Theory, inner",0.9444800019,8.800000191
"Theory, inner",0.9457100034,8.824999809
"Theory, inner",0.9469400048,8.850000381
"Theory, inner",0.9481700063,8.875
"Theory, inner",0.9493899941,8.899999619
"Theory, inner",0.950609982,8.925000191
"Theory, inner",0.9518200159,8.949999809
"Theory, inner",0.9530299902,8.975000381
"Theory, inner",0.9542400241,9.0
"Theory, inner",0.9554499984,9.024999619
"Theory, inner",0.9566500187,9.050000191
"Theory, inner",0.9578499794,9.074999809
"Theory, inner",0.9590399861,9.100000381
"Theory, inner",0.9602299929,9.125
"Theory, inner",0.9614199996,9.149999619
"Theory, inner",0.9626100063,9.175000191
"Theory, inner",0.9637899995,9.199999809
"Theory, inner",0.9649699926,9.225000381
"Theory, inner",0.9661399722,9.25
"Theory, inner",0.9673100114,9.274999619
"Theory, inner",0.968479991,9.300000191
"Theory, inner",0.9696499705,9.324999809
"Theory, inner",0.9708099961,9.350000381
"Theory, inner",0.9719700217,9.375
"Theory, inner",0.9731299877,9.399999619
"Theory, inner",0.9742799997,9.425000191
"Theory, inner",0.9754300117,9.449999809
"Theory, inner",0.9765800238,9.475000381
"Theory, inner",0.9777200222,9.5
"Theory, inner",0.9788600206,9.524999619
"Theory, inner",0.9800000191,9.550000191
"Theory, inner",0.9811400175,9.574999809
"Theory, inner",0.9822700024,9.600000381
"Theory, inner",0.9833999872,9.625
"Theory, inner",0.9845299721,9.649999619
"Theory, inner",0.985650003,9.675000191
"Theory, inner",0.9867699742,9.699999809
"Theory, inner",0.9878900051,9.725000381
"Theory, inner",0.9890000224,9.75
"Theory, inner",0.9901199937,9.774999619
"Theory, inner",0.991230011,9.800000191
"Theory, inner",0.9923300147,9.824999809
"Theory, inner",0.9934399724,9.850000381
"Theory, inner",0.9945399761,9.875
"Theory, inner",0.9956399798,9.899999619
"Theory, inner",0.9967300296,9.925000191
"Theory, inner",0.9978200197,9.949999809
"Theory, inner",0.9989100099,9.975000381
"Theory, inner",1.0,10.0
"Theory, inner",1.001099944,10.02499962
"Theory, inner",1.002200007,10.05000019
"Theory, inner",1.003200054,10.07499981
"Theory, inner",1.004299998,10.10000038
"Theory, inner",1.005399942,10.125
"Theory, inner",1.006500006,10.14999962
"Theory, inner",1.007500052,10.17500019
"Theory, inner",1.008599997,10.19999981
"Theory, inner",1.009699941,10.22500038
"Theory, inner",1.010699987,10.25
"Theory, inner",1.011800051,10.27499962
"Theory, inner",1.012799978,10.30000019
"Theory, inner",1.013900042,10.32499981
"Theory, inner",1.014899969,10.35000038
"Theory, inner",1.016000032,10.375
"Theory, inner",1.01699996,10.39999962
"Theory, inner",1.018100023,10.42500019
"Theory, inner",1.019099951,10.44999981
"Theory, inner",1.020200014,10.47500038
"Theory, inner",1.021199942,10.5
"Theory, inner",1.022199988,10.52499962
"Theory, inner",1.023300052,10.55000019
"Theory, inner",1.024299979,10.57499981
"Theory, inner",1.025300026,10.60000038
"Theory, inner",1.026299953,10.625
"Theory, inner",1.0273,10.64999962
"Theory, inner",1.028399944,10.67500019
"Theory, inner",1.029399991,10.69999981
"Theory, inner",1.030400038,10.72500038
"Theory, inner",1.031399965,10.75
"Theory, inner",1.032400012,10.77499962
"Theory, inner",1.033400059,10.80000019
"Theory, inner",1.034399986,10.82499981
"Theory, inner",1.035400033,10.85000038
"Theory, inner",1.036399961,10.875
"Theory, inner",1.037400007,10.89999962
"Theory, inner",1.038400054,10.92500019
"Theory, inner",1.039399981,10.94999981
"Theory, inner",1.040400028,10.97500038
"Theory, inner",1.041399956,11.0
"Theory, inner",1.042400002,11.02499962
"Theory, inner",1.043400049,11.05000019
"Theory, inner",1.04429996,11.07499981
"Theory, inner",1.045300007,11.10000038
"Theory, inner",1.046300054,11.125
"Theory, inner",1.047299981,11.14999962
"Theory, inner",1.048200011,11.17500019
"Theory, inner",1.049200058,11.19999981
"Theory, inner",1.050199986,11.22500038
"Theory, inner",1.051200032,11.25
"Theory, inner",1.052099943,11.27499962
"Theory, inner",1.05309999,11.30000019
"Theory, inner",1.05400002,11.32499981
"Theory, inner",1.054999948,11.35000038
"Theory, inner",1.055999994,11.375
"Theory, inner",1.056900024,11.39999962
"Theory, inner",1.057899952,11.42500019
"Theory, inner",1.058799982,11.44999981
"Theory, inner",1.059800029,11.47500038
"Theory, inner",1.060700059,11.5
"Theory, inner",1.06159997,11.52499962
"Theory, inner",1.062600017,11.55000019
"Theory, inner",1.063500047,11.57499981
"Theory, inner",1.064499974,11.60000038
"Theory, inner",1.065400004,11.625
"Theory, inner",1.066300035,11.64999962
"Theory, inner",1.067299962,11.67500019
"Theory, inner",1.068199992,11.69999981
"Theory, inner",1.069100022,11.72500038
"Theory, inner",1.070000052,11.75
"Theory, inner",1.07099998,11.77499962
"Theory, inner",1.07190001,11.80000019
"Theory, inner",1.07280004,11.82499981
"Theory, inner",1.073699951,11.85000038
"Theory, inner",1.074599981,11.875
"Theory, inner",1.075500011,11.89999962
"Theory, inner",1.076500058,11.92500019
"Theory, inner",1.077399969,11.94999981
"Theory, inner",1.078299999,11.97500038
"Theory, inner",1.079200029,12.0
"Theory, inner",1.08010006,12.02499962
"Theory, inner",1.08099997,12.05000019
"Theory, inner",1.081900001,12.07499981
"Theory, inner",1.082800031,12.10000038
"Theory, inner",1.083699942,12.125
"Theory, inner",1.084599972,12.14999962
"Theory, inner",1.085500002,12.17500019
"Theory, inner",1.086400032,12.19999981
"Theory, inner",1.087200046,12.22500038
"Theory, inner",1.088099957,12.25
"Theory, inner",1.088999987,12.27499962
"Theory, inner",1.089900017,12.30000019
"Theory, inner",1.090800047,12.32499981
"Theory, inner",1.091699958,12.35000038
"Theory, inner",1.092499971,12.375
"Theory, inner",1.093400002,12.39999962
"Theory, inner",1.094300032,12.42500019
"Theory, inner",1.095199943,12.44999981
"Theory, inner",1.095999956,12.47500038
"Theory, inner",1.096899986,12.5
"Theory, inner",1.097800016,12.52499962
"Theory, inner",1.09860003,12.55000019
"Theory, inner",1.099499941,12.57499981
"Theory, inner",1.100399971,12.60000038
"Theory, inner",1.101199985,12.625
"Theory, inner",1.102100015,12.64999962
"Theory, inner",1.102900028,12.67500019
"Theory, inner",1.103800058,12.69999981
"Theory, inner",1.104699969,12.72500038
"Theory, inner",1.105499983,12.75
"Theory, inner",1.106400013,12.77499962
"Theory, inner",1.107200027,12.80000019
"Theory, inner",1.108100057,12.82499981
"Theory, inner",1.108899951,12.85000038
"Theory, inner",1.109699965,12.875
"Theory, inner",1.110599995,12.89999962
"Theory, inner",1.111400008,12.92500019
"Theory, inner",1.112300038,12.94999981
"Theory, inner",1.113100052,12.97500038
"Theory, inner",1.113899946,13.0
"Theory, inner",1.114799976,13.02499962
"Theory, inner",1.11559999,13.05000019
"Theory, inner",1.116400003,13.07499981
"Theory, inner",1.117300034,13.10000038
"Theory, inner",1.118100047,13.125
"Theory, inner",1.118899941,13.14999962
"Theory, inner",1.119799972,13.17500019
"Theory, inner",1.120599985,13.19999981
"Theory, inner",1.121399999,13.22500038
"Theory, inner",1.122200012,13.25
"Theory, inner",1.123000026,13.27499962
"Theory, inner",1.123900056,13.30000019
"Theory, inner",1.12469995,13.32499981
"Theory, inner",1.125499964,13.35000038
"Theory, inner",1.126299977,13.375
"Theory, inner",1.127099991,13.39999962
"Theory, inner",1.127900004,13.42500019
"Theory, inner",1.128700018,13.44999981
"Theory, inner",1.129500031,13.47500038
"Theory, inner",1.130300045,13.5
"Theory, inner",1.131100059,13.52499962
"Theory, inner",1.131899953,13.55000019
"Theory, inner",1.132699966,13.57499981
"Theory, inner",1.13349998,13.60000038
"Theory, inner",1.134299994,13.625
"Theory, inner",1.135100007,13.64999962
"Theory, inner",1.135900021,13.67500019
"Theory, inner",1.136700034,13.69999981
"Theory, inner",1.137500048,13.72500038
"Theory, inner",1.138299942,13.75
"Theory, inner",1.139099956,13.77499962
"Theory, inner",1.139899969,13.80000019
"Theory, inner",1.140699983,13.82499981
"Theory, inner",1.14139998,13.85000038
"Theory, inner",1.142199993,13.875
"Theory, inner",1.143000007,13.89999962
"Theory, inner",1.14380002,13.92500019
"Theory, inner",1.144600034,13.94999981
"Theory, inner",1.145400047,13.97500038
"Theory, inner",1.146100044,14.0
"Theory, inner",1.146900058,14.02499962
"Theory, inner",1.147699952,14.05000019
"Theory, inner",1.148399949,14.07499981
"Theory, inner",1.149199963,14.10000038
"Theory, inner",1.149999976,14.125
"Theory, inner",1.15079999,14.14999962
"Theory, inner",1.151499987,14.17500019
"Theory, inner",1.1523,14.19999981
"Theory, inner",1.153100014,14.22500038
"Theory, inner",1.153800011,14.25
"Theory, inner",1.154600024,14.27499962
"Theory, inner",1.155300021,14.30000019
"Theory, inner",1.156100035,14.32499981
"Theory, inner",1.156900048,14.35000038
"Theory, inner",1.157600045,14.375
"Theory, inner",1.158400059,14.39999962
"Theory, inner",1.159100056,14.42500019
"Theory, inner",1.15989995,14.44999981
"Theory, inner",1.160599947,14.47500038
"Theory, inner",1.161399961,14.5
"Theory, inner",1.162099957,14.52499962
"Theory, inner",1.162899971,14.55000019
"Theory, inner",1.163599968,14.57499981
"Theory, inner",1.164399981,14.60000038
"Theory, inner",1.165099978,14.625
"Theory, inner",1.165799975,14.64999962
"Theory, inner",1.166599989,14.67500019
"Theory, inner",1.167299986,14.69999981
"Theory, inner",1.168099999,14.72500038
"Theory, inner",1.168799996,14.75
"Theory, inner",1.169499993,14.77499962
"Theory, inner",1.170300007,14.80000019
"Theory, inner",1.171000004,14.82499981
"Theory, inner",1.171700001,14.85000038
"Theory, inner",1.172500014,14.875
"Theory, inner",1.173200011,14.89999962
"Theory, inner",1.173900008,14.92500019
"Theory, inner",1.174600005,14.94999981
"Theory, inner",1.175400019,14.97500038
"Theory, inner",1.176100016,15.0
"Theory, inner",1.176800013,15.02499962
"Theory, inner",1.17750001,15.05000019
"Theory, inner",1.178300023,15.07499981
"Theory, inner",1.17900002,15.10000038
"Theory, inner",1.179700017,15.125
"Theory, inner",1.180400014,15.14999962
"Theory, inner",1.181100011,15.17500019
"Theory, inner",1.181800008,15.19999981
"Theory, inner",1.182600021,15.22500038
"Theory, inner",1.183300018,15.25
"Theory, inner",1.184000015,15.27499962
"Theory, inner",1.184700012,15.30000019
"Theory, inner",1.185400009,15.32499981
"Theory, inner",1.186100006,15.35000038
"Theory, inner",1.186800003,15.375
"Theory, inner",1.1875,15.39999962
"Theory, inner",1.188199997,15.42500019
"Theory, inner",1.188899994,15.44999981
"Theory, inner",1.189599991,15.47500038
"Theory, inner",1.190299988,15.5
"Theory, inner",1.190999985,15.52499962
"Theory, inner",1.191699982,15.55000019
"Theory, inner",1.192399979,15.57499981
"Theory, inner",1.193099976,15.60000038
"Theory, inner",1.193799973,15.625
"Theory, inner",1.194499969,15.64999962
"Theory, inner",1.195199966,15.67500019
"Theory, inner",1.195899963,15.69999981
"Theory, inner",1.19659996,15.72500038
"Theory, inner",1.197299957,15.75
"Theory, inner",1.197999954,15.77499962
"Theory, inner",1.198699951,15.80000019
"Theory, inner",1.199300051,15.82499981
"Theory, inner",1.200000048,15.85000038
"Theory, inner",1.200700045,15.875
"Theory, inner",1.201400042,15.89999962
"Theory, inner",1.202100039,15.92500019
"Theory, inner",1.202800035,15.94999981
"Theory, inner",1.203400016,15.97500038
"Theory, inner",1.204100013,16.0
"Theory, inner",1.20480001,16.02499962
"Theory, inner",1.205500007,16.04999924
"Theory, inner",1.206200004,16.07500076
"Theory, inner",1.206799984,16.10000038
"Theory, inner",1.207499981,16.125
"Theory, inner",1.208199978,16.14999962
"Theory, inner",1.208799958,16.17499924
"Theory, inner",1.209499955,16.20000076
"Theory, inner",1.210199952,16.22500038
"Theory, inner",1.210899949,16.25
"Theory, inner",1.211500049,16.27499962
"Theory, inner",1.212200046,16.29999924
"Theory, inner",1.212900043,16.32500076
"Theory, inner",1.213500023,16.35000038
"Theory, inner",1.21420002,16.375
"Theory, inner",1.2148,16.39999962
"Theory, inner",1.215499997,16.42499924
"Theory, inner",1.216199994,16.45000076
"Theory, inner",1.216799974,16.47500038
"Theory, inner",1.217499971,16.5
"Theory, inner",1.218099952,16.52499962
"Theory, inner",1.218799949,16.54999924
"Theory, inner",1.219499946,16.57500076
"Theory, inner",1.220100045,16.60000038
"Theory, inner",1.220800042,16.625
"Theory, inner",1.221400023,16.64999962
"Theory, inner",1.222100019,16.67499924
"Theory, inner",1.2227,16.70000076
"Theory, inner",1.223399997,16.72500038
"Theory, inner",1.223999977,16.75
"Theory, inner",1.224699974,16.77499962
"Theory, inner",1.225299954,16.79999924
"Theory, inner",1.225999951,16.82500076
"Theory, inner",1.226600051,16.85000038
"Theory, inner",1.227200031,16.875
"Theory, inner",1.227900028,16.89999962
"Theory, inner",1.228500009,16.92499924
"Theory, inner",1.229200006,16.95000076
"Theory, inner",1.229799986,16.97500038
"Theory, inner",1.230399966,17.0
"Theory, inner",1.231099963,17.02499962
"Theory, inner",1.231699944,17.04999924
"Theory, inner",1.23239994,17.07500076
"Theory, inner",1.23300004,17.10000038
"Theory, inner",1.23360002,17.125
"Theory, inner",1.234300017,17.14999962
"Theory, inner",1.234899998,17.17499924
"Theory, inner",1.235499978,17.20000076
"Theory, inner",1.236199975,17.22500038
"Theory, inner",1.236799955,17.25
"Theory, inner",1.237400055,17.27499962
"Theory, inner",1.238000035,17.29999924
