zone,x,skinfr,5percenterror
"theory 1, White 6-112a",0.298,0.00344893,0.000172447
"theory 1, White 6-112a",0.3,0.00344432,0.000172216
"theory 1, White 6-112a",0.302,0.00343975,0.000171987
"theory 1, White 6-112a",0.304,0.00343521,0.00017176
"theory 1, White 6-112a",0.306,0.00343071,0.000171535
"theory 1, White 6-112a",0.308,0.00342624,0.000171312
"theory 1, White 6-112a",0.31,0.00342181,0.00017109
"theory 1, White 6-112a",0.312,0.00341741,0.00017087
"theory 1, White 6-112a",0.314,0.00341304,0.000170652
"theory 1, White 6-112a",0.316,0.00340871,0.000170436
"theory 1, White 6-112a",0.318,0.00340441,0.000170221
"theory 1, White 6-112a",0.32,0.00340015,0.000170007
"theory 1, White 6-112a",0.322,0.00339591,0.000169796
"theory 1, White 6-112a",0.324,0.00339171,0.000169585
"theory 1, White 6-112a",0.326,0.00338754,0.000169377
"theory 1, White 6-112a",0.328,0.0033834,0.00016917
"theory 1, White 6-112a",0.33,0.00337929,0.000168964
"theory 1, White 6-112a",0.332,0.0033752,0.00016876
"theory 1, White 6-112a",0.334,0.00337115,0.000168558
"theory 1, White 6-112a",0.336,0.00336713,0.000168356
"theory 1, White 6-112a",0.338,0.00336314,0.000168157
"theory 1, White 6-112a",0.34,0.00335917,0.000167958
"theory 1, White 6-112a",0.342,0.00335523,0.000167762
"theory 1, White 6-112a",0.344,0.00335132,0.000167566
"theory 1, White 6-112a",0.346,0.00334744,0.000167372
"theory 1, White 6-112a",0.348,0.00334358,0.000167179
"theory 1, White 6-112a",0.35,0.00333975,0.000166988
"theory 1, White 6-112a",0.352,0.00333595,0.000166797
"theory 1, White 6-112a",0.354,0.00333217,0.000166608
"theory 1, White 6-112a",0.356,0.00332842,0.000166421
"theory 1, White 6-112a",0.358,0.00332469,0.000166234
"theory 1, White 6-112a",0.36,0.00332099,0.000166049
"theory 1, White 6-112a",0.362,0.00331731,0.000165865
"theory 1, White 6-112a",0.364,0.00331366,0.000165683
"theory 1, White 6-112a",0.366,0.00331003,0.000165501
"theory 1, White 6-112a",0.368,0.00330642,0.000165321
"theory 1, White 6-112a",0.37,0.00330284,0.000165142
"theory 1, White 6-112a",0.372,0.00329928,0.000164964
"theory 1, White 6-112a",0.374,0.00329574,0.000164787
"theory 1, White 6-112a",0.376,0.00329223,0.000164611
"theory 1, White 6-112a",0.378,0.00328874,0.000164437
"theory 1, White 6-112a",0.38,0.00328527,0.000164263
"theory 1, White 6-112a",0.382,0.00328182,0.000164091
"theory 1, White 6-112a",0.384,0.0032784,0.00016392
"theory 1, White 6-112a",0.386,0.00327499,0.00016375
"theory 1, White 6-112a",0.388,0.00327161,0.00016358
"theory 1, White 6-112a",0.39,0.00326825,0.000163412
"theory 1, White 6-112a",0.392,0.0032649,0.000163245
"theory 1, White 6-112a",0.394,0.00326158,0.000163079
"theory 1, White 6-112a",0.396,0.00325828,0.000162914
"theory 1, White 6-112a",0.398,0.003255,0.00016275
"theory 1, White 6-112a",0.4,0.00325174,0.000162587
"theory 1, White 6-112a",0.402,0.0032485,0.000162425
"theory 1, White 6-112a",0.404,0.00324527,0.000162264
"theory 1, White 6-112a",0.406,0.00324207,0.000162104
"theory 1, White 6-112a",0.408,0.00323889,0.000161944
"theory 1, White 6-112a",0.41,0.00323572,0.000161786
"theory 1, White 6-112a",0.412,0.00323257,0.000161629
"theory 1, White 6-112a",0.414,0.00322944,0.000161472
"theory 1, White 6-112a",0.416,0.00322633,0.000161317
"theory 1, White 6-112a",0.418,0.00322324,0.000161162
"theory 1, White 6-112a",0.42,0.00322016,0.000161008
"theory 1, White 6-112a",0.422,0.0032171,0.000160855
"theory 1, White 6-112a",0.424,0.00321406,0.000160703
"theory 1, White 6-112a",0.426,0.00321104,0.000160552
"theory 1, White 6-112a",0.428,0.00320803,0.000160402
"theory 1, White 6-112a",0.43,0.00320504,0.000160252
"theory 1, White 6-112a",0.432,0.00320207,0.000160104
"theory 1, White 6-112a",0.434,0.00319911,0.000159956
"theory 1, White 6-112a",0.436,0.00319617,0.000159809
"theory 1, White 6-112a",0.438,0.00319325,0.000159662
"theory 1, White 6-112a",0.44,0.00319034,0.000159517
"theory 1, White 6-112a",0.442,0.00318745,0.000159372
"theory 1, White 6-112a",0.444,0.00318457,0.000159229
"theory 1, White 6-112a",0.446,0.00318171,0.000159086
"theory 1, White 6-112a",0.448,0.00317887,0.000158943
"theory 1, White 6-112a",0.45,0.00317603,0.000158802
"theory 1, White 6-112a",0.452,0.00317322,0.000158661
"theory 1, White 6-112a",0.454,0.00317042,0.000158521
"theory 1, White 6-112a",0.456,0.00316763,0.000158382
"theory 1, White 6-112a",0.458,0.00316486,0.000158243
"theory 1, White 6-112a",0.46,0.0031621,0.000158105
"theory 1, White 6-112a",0.462,0.00315936,0.000157968
"theory 1, White 6-112a",0.464,0.00315663,0.000157832
"theory 1, White 6-112a",0.466,0.00315392,0.000157696
"theory 1, White 6-112a",0.468,0.00315122,0.000157561
"theory 1, White 6-112a",0.47,0.00314853,0.000157427
"theory 1, White 6-112a",0.472,0.00314586,0.000157293
"theory 1, White 6-112a",0.474,0.0031432,0.00015716
"theory 1, White 6-112a",0.476,0.00314055,0.000157028
"theory 1, White 6-112a",0.478,0.00313792,0.000156896
"theory 1, White 6-112a",0.48,0.0031353,0.000156765
"theory 1, White 6-112a",0.482,0.0031327,0.000156635
"theory 1, White 6-112a",0.484,0.0031301,0.000156505
"theory 1, White 6-112a",0.486,0.00312752,0.000156376
"theory 1, White 6-112a",0.488,0.00312495,0.000156248
"theory 1, White 6-112a",0.49,0.0031224,0.00015612
"theory 1, White 6-112a",0.492,0.00311986,0.000155993
"theory 1, White 6-112a",0.494,0.00311733,0.000155866
"theory 1, White 6-112a",0.496,0.00311481,0.00015574
"theory 1, White 6-112a",0.498,0.0031123,0.000155615
"theory 1, White 6-112a",0.5,0.00310981,0.00015549
"theory 1, White 6-112a",0.502,0.00310733,0.000155366
"theory 1, White 6-112a",0.504,0.00310486,0.000155243
"theory 1, White 6-112a",0.506,0.0031024,0.00015512
"theory 1, White 6-112a",0.508,0.00309995,0.000154998
"theory 1, White 6-112a",0.51,0.00309752,0.000154876
"theory 1, White 6-112a",0.512,0.00309509,0.000154755
"theory 1, White 6-112a",0.514,0.00309268,0.000154634
"theory 1, White 6-112a",0.516,0.00309028,0.000154514
"theory 1, White 6-112a",0.518,0.00308789,0.000154394
"theory 1, White 6-112a",0.52,0.00308551,0.000154276
"theory 1, White 6-112a",0.522,0.00308314,0.000154157
"theory 1, White 6-112a",0.524,0.00308079,0.000154039
"theory 1, White 6-112a",0.526,0.00307844,0.000153922
"theory 1, White 6-112a",0.528,0.0030761,0.000153805
"theory 1, White 6-112a",0.53,0.00307378,0.000153689
"theory 1, White 6-112a",0.532,0.00307146,0.000153573
"theory 1, White 6-112a",0.534,0.00306916,0.000153458
"theory 1, White 6-112a",0.536,0.00306687,0.000153343
"theory 1, White 6-112a",0.538,0.00306458,0.000153229
"theory 1, White 6-112a",0.54,0.00306231,0.000153115
"theory 1, White 6-112a",0.542,0.00306005,0.000153002
"theory 1, White 6-112a",0.544,0.00305779,0.00015289
"theory 1, White 6-112a",0.546,0.00305555,0.000152777
"theory 1, White 6-112a",0.548,0.00305331,0.000152666
"theory 1, White 6-112a",0.55,0.00305109,0.000152555
"theory 1, White 6-112a",0.552,0.00304888,0.000152444
"theory 1, White 6-112a",0.554,0.00304667,0.000152334
"theory 1, White 6-112a",0.556,0.00304448,0.000152224
"theory 1, White 6-112a",0.558,0.00304229,0.000152115
"theory 1, White 6-112a",0.56,0.00304012,0.000152006
"theory 1, White 6-112a",0.562,0.00303795,0.000151897
"theory 1, White 6-112a",0.564,0.00303579,0.00015179
"theory 1, White 6-112a",0.566,0.00303364,0.000151682
"theory 1, White 6-112a",0.568,0.0030315,0.000151575
"theory 1, White 6-112a",0.57,0.00302937,0.000151469
"theory 1, White 6-112a",0.572,0.00302725,0.000151363
"theory 1, White 6-112a",0.574,0.00302514,0.000151257
"theory 1, White 6-112a",0.576,0.00302304,0.000151152
"theory 1, White 6-112a",0.578,0.00302094,0.000151047
"theory 1, White 6-112a",0.58,0.00301885,0.000150943
"theory 1, White 6-112a",0.582,0.00301678,0.000150839
"theory 1, White 6-112a",0.584,0.00301471,0.000150735
"theory 1, White 6-112a",0.586,0.00301265,0.000150632
"theory 1, White 6-112a",0.588,0.00301059,0.00015053
"theory 1, White 6-112a",0.59,0.00300855,0.000150428
"theory 1, White 6-112a",0.592,0.00300651,0.000150326
"theory 1, White 6-112a",0.594,0.00300449,0.000150224
"theory 1, White 6-112a",0.596,0.00300247,0.000150123
"theory 1, White 6-112a",0.598,0.00300046,0.000150023
"theory 1, White 6-112a",0.6,0.00299845,0.000149923
"theory 1, White 6-112a",0.602,0.00299646,0.000149823
"theory 1, White 6-112a",0.604,0.00299447,0.000149724
"theory 1, White 6-112a",0.606,0.00299249,0.000149625
"theory 1, White 6-112a",0.608,0.00299052,0.000149526
"theory 1, White 6-112a",0.61,0.00298856,0.000149428
"theory 1, White 6-112a",0.612,0.0029866,0.00014933
"theory 1, White 6-112a",0.614,0.00298465,0.000149233
"theory 1, White 6-112a",0.616,0.00298271,0.000149136
"theory 1, White 6-112a",0.618,0.00298078,0.000149039
"theory 1, White 6-112a",0.62,0.00297886,0.000148943
"theory 1, White 6-112a",0.622,0.00297694,0.000148847
"theory 1, White 6-112a",0.624,0.00297503,0.000148751
"theory 1, White 6-112a",0.626,0.00297312,0.000148656
"theory 1, White 6-112a",0.628,0.00297123,0.000148561
"theory 1, White 6-112a",0.63,0.00296934,0.000148467
"theory 1, White 6-112a",0.632,0.00296746,0.000148373
"theory 1, White 6-112a",0.634,0.00296558,0.000148279
"theory 1, White 6-112a",0.636,0.00296371,0.000148186
"theory 1, White 6-112a",0.638,0.00296185,0.000148093
"theory 1, White 6-112a",0.64,0.00296,0.000148
"theory 1, White 6-112a",0.642,0.00295815,0.000147908
"theory 1, White 6-112a",0.644,0.00295631,0.000147816
"theory 1, White 6-112a",0.646,0.00295448,0.000147724
"theory 1, White 6-112a",0.648,0.00295265,0.000147633
"theory 1, White 6-112a",0.65,0.00295084,0.000147542
"theory 1, White 6-112a",0.652,0.00294902,0.000147451
"theory 1, White 6-112a",0.654,0.00294722,0.000147361
"theory 1, White 6-112a",0.656,0.00294542,0.000147271
"theory 1, White 6-112a",0.658,0.00294363,0.000147181
"theory 1, White 6-112a",0.66,0.00294184,0.000147092
"theory 1, White 6-112a",0.662,0.00294006,0.000147003
"theory 1, White 6-112a",0.664,0.00293829,0.000146914
"theory 1, White 6-112a",0.666,0.00293652,0.000146826
"theory 1, White 6-112a",0.668,0.00293476,0.000146738
"theory 1, White 6-112a",0.67,0.002933,0.00014665
"theory 1, White 6-112a",0.672,0.00293126,0.000146563
"theory 1, White 6-112a",0.674,0.00292952,0.000146476
"theory 1, White 6-112a",0.676,0.00292778,0.000146389
"theory 1, White 6-112a",0.678,0.00292605,0.000146303
"theory 1, White 6-112a",0.68,0.00292433,0.000146216
"theory 1, White 6-112a",0.682,0.00292261,0.00014613
"theory 1, White 6-112a",0.684,0.0029209,0.000146045
"theory 1, White 6-112a",0.686,0.00291919,0.00014596
"theory 1, White 6-112a",0.688,0.00291749,0.000145875
"theory 1, White 6-112a",0.69,0.0029158,0.00014579
"theory 1, White 6-112a",0.692,0.00291411,0.000145706
"theory 1, White 6-112a",0.694,0.00291243,0.000145622
"theory 1, White 6-112a",0.696,0.00291076,0.000145538
"theory 1, White 6-112a",0.698,0.00290909,0.000145454
"theory 1, White 6-112a",0.7,0.00290742,0.000145371
"theory 1, White 6-112a",0.702,0.00290576,0.000145288
"theory 1, White 6-112a",0.704,0.00290411,0.000145206
"theory 1, White 6-112a",0.706,0.00290246,0.000145123
"theory 1, White 6-112a",0.708,0.00290082,0.000145041
"theory 1, White 6-112a",0.71,0.00289919,0.000144959
"theory 1, White 6-112a",0.712,0.00289756,0.000144878
"theory 1, White 6-112a",0.714,0.00289593,0.000144797
"theory 1, White 6-112a",0.716,0.00289431,0.000144716
"theory 1, White 6-112a",0.718,0.0028927,0.000144635
"theory 1, White 6-112a",0.72,0.00289109,0.000144554
"theory 1, White 6-112a",0.722,0.00288948,0.000144474
"theory 1, White 6-112a",0.724,0.00288789,0.000144394
"theory 1, White 6-112a",0.726,0.00288629,0.000144315
"theory 1, White 6-112a",0.728,0.00288471,0.000144235
"theory 1, White 6-112a",0.73,0.00288312,0.000144156
"theory 1, White 6-112a",0.732,0.00288155,0.000144077
"theory 1, White 6-112a",0.734,0.00287997,0.000143999
"theory 1, White 6-112a",0.736,0.00287841,0.00014392
"theory 1, White 6-112a",0.738,0.00287684,0.000143842
"theory 1, White 6-112a",0.74,0.00287529,0.000143764
"theory 1, White 6-112a",0.742,0.00287374,0.000143687
"theory 1, White 6-112a",0.744,0.00287219,0.000143609
"theory 1, White 6-112a",0.746,0.00287065,0.000143532
"theory 1, White 6-112a",0.748,0.00286911,0.000143456
"theory 1, White 6-112a",0.75,0.00286758,0.000143379
"theory 1, White 6-112a",0.752,0.00286605,0.000143303
"theory 1, White 6-112a",0.754,0.00286453,0.000143227
"theory 1, White 6-112a",0.756,0.00286301,0.000143151
"theory 1, White 6-112a",0.758,0.0028615,0.000143075
"theory 1, White 6-112a",0.76,0.00285999,0.000143
"theory 1, White 6-112a",0.762,0.00285849,0.000142925
"theory 1, White 6-112a",0.764,0.00285699,0.00014285
"theory 1, White 6-112a",0.766,0.0028555,0.000142775
"theory 1, White 6-112a",0.768,0.00285401,0.0001427
"theory 1, White 6-112a",0.77,0.00285253,0.000142626
"theory 1, White 6-112a",0.772,0.00285105,0.000142552
"theory 1, White 6-112a",0.774,0.00284957,0.000142479
"theory 1, White 6-112a",0.776,0.0028481,0.000142405
"theory 1, White 6-112a",0.778,0.00284664,0.000142332
"theory 1, White 6-112a",0.78,0.00284517,0.000142259
"theory 1, White 6-112a",0.782,0.00284372,0.000142186
"theory 1, White 6-112a",0.784,0.00284226,0.000142113
"theory 1, White 6-112a",0.786,0.00284082,0.000142041
"theory 1, White 6-112a",0.788,0.00283937,0.000141969
"theory 1, White 6-112a",0.79,0.00283793,0.000141897
"theory 1, White 6-112a",0.792,0.0028365,0.000141825
"theory 1, White 6-112a",0.794,0.00283507,0.000141753
"theory 1, White 6-112a",0.796,0.00283364,0.000141682
"theory 1, White 6-112a",0.798,0.00283222,0.000141611
"theory 1, White 6-112a",0.8,0.0028308,0.00014154
"theory 1, White 6-112a",0.802,0.00282939,0.00014147
"theory 1, White 6-112a",0.804,0.00282798,0.000141399
"theory 1, White 6-112a",0.806,0.00282658,0.000141329
"theory 1, White 6-112a",0.808,0.00282518,0.000141259
"theory 1, White 6-112a",0.81,0.00282378,0.000141189
"theory 1, White 6-112a",0.812,0.00282239,0.000141119
"theory 1, White 6-112a",0.814,0.002821,0.00014105
"theory 1, White 6-112a",0.816,0.00281961,0.000140981
"theory 1, White 6-112a",0.818,0.00281823,0.000140912
"theory 1, White 6-112a",0.82,0.00281686,0.000140843
"theory 1, White 6-112a",0.822,0.00281549,0.000140774
"theory 1, White 6-112a",0.824,0.00281412,0.000140706
"theory 1, White 6-112a",0.826,0.00281275,0.000140638
"theory 1, White 6-112a",0.828,0.00281139,0.00014057
"theory 1, White 6-112a",0.83,0.00281004,0.000140502
"theory 1, White 6-112a",0.832,0.00280869,0.000140434
"theory 1, White 6-112a",0.834,0.00280734,0.000140367
"theory 1, White 6-112a",0.836,0.00280599,0.0001403
"theory 1, White 6-112a",0.838,0.00280465,0.000140233
"theory 1, White 6-112a",0.84,0.00280331,0.000140166
"theory 1, White 6-112a",0.842,0.00280198,0.000140099
"theory 1, White 6-112a",0.844,0.00280065,0.000140033
"theory 1, White 6-112a",0.846,0.00279933,0.000139966
"theory 1, White 6-112a",0.848,0.00279801,0.0001399
"theory 1, White 6-112a",0.85,0.00279669,0.000139834
"theory 1, White 6-112a",0.852,0.00279537,0.000139769
"theory 1, White 6-112a",0.854,0.00279406,0.000139703
"theory 1, White 6-112a",0.856,0.00279276,0.000139638
"theory 1, White 6-112a",0.858,0.00279145,0.000139573
"theory 1, White 6-112a",0.86,0.00279015,0.000139508
"theory 1, White 6-112a",0.862,0.00278886,0.000139443
"theory 1, White 6-112a",0.864,0.00278756,0.000139378
"theory 1, White 6-112a",0.866,0.00278628,0.000139314
"theory 1, White 6-112a",0.868,0.00278499,0.00013925
"theory 1, White 6-112a",0.87,0.00278371,0.000139185
"theory 1, White 6-112a",0.872,0.00278243,0.000139122
"theory 1, White 6-112a",0.874,0.00278116,0.000139058
"theory 1, White 6-112a",0.876,0.00277989,0.000138994
"theory 1, White 6-112a",0.878,0.00277862,0.000138931
"theory 1, White 6-112a",0.88,0.00277735,0.000138868
"theory 1, White 6-112a",0.882,0.00277609,0.000138805
"theory 1, White 6-112a",0.884,0.00277484,0.000138742
"theory 1, White 6-112a",0.886,0.00277358,0.000138679
"theory 1, White 6-112a",0.888,0.00277233,0.000138617
"theory 1, White 6-112a",0.89,0.00277108,0.000138554
"theory 1, White 6-112a",0.892,0.00276984,0.000138492
"theory 1, White 6-112a",0.894,0.0027686,0.00013843
"theory 1, White 6-112a",0.896,0.00276736,0.000138368
"theory 1, White 6-112a",0.898,0.00276613,0.000138306
"theory 1, White 6-112a",0.9,0.0027649,0.000138245
"theory 1, White 6-112a",0.902,0.00276367,0.000138184
"theory 1, White 6-112a",0.904,0.00276245,0.000138122
"theory 1, White 6-112a",0.906,0.00276123,0.000138061
"theory 1, White 6-112a",0.908,0.00276001,0.000138
"theory 1, White 6-112a",0.91,0.00275879,0.00013794
"theory 1, White 6-112a",0.912,0.00275758,0.000137879
"theory 1, White 6-112a",0.914,0.00275638,0.000137819
"theory 1, White 6-112a",0.916,0.00275517,0.000137759
"theory 1, White 6-112a",0.918,0.00275397,0.000137698
"theory 1, White 6-112a",0.92,0.00275277,0.000137639
"theory 1, White 6-112a",0.922,0.00275158,0.000137579
"theory 1, White 6-112a",0.924,0.00275038,0.000137519
"theory 1, White 6-112a",0.926,0.00274919,0.00013746
"theory 1, White 6-112a",0.928,0.00274801,0.0001374
"theory 1, White 6-112a",0.93,0.00274683,0.000137341
"theory 1, White 6-112a",0.932,0.00274565,0.000137282
"theory 1, White 6-112a",0.934,0.00274447,0.000137223
"theory 1, White 6-112a",0.936,0.0027433,0.000137165
"theory 1, White 6-112a",0.938,0.00274212,0.000137106
"theory 1, White 6-112a",0.94,0.00274096,0.000137048
"theory 1, White 6-112a",0.942,0.00273979,0.00013699
"theory 1, White 6-112a",0.944,0.00273863,0.000136931
"theory 1, White 6-112a",0.946,0.00273747,0.000136874
"theory 1, White 6-112a",0.948,0.00273631,0.000136816
"theory 1, White 6-112a",0.95,0.00273516,0.000136758
"theory 1, White 6-112a",0.952,0.00273401,0.000136701
"theory 1, White 6-112a",0.954,0.00273286,0.000136643
"theory 1, White 6-112a",0.956,0.00273172,0.000136586
"theory 1, White 6-112a",0.958,0.00273058,0.000136529
"theory 1, White 6-112a",0.96,0.00272944,0.000136472
"theory 1, White 6-112a",0.962,0.0027283,0.000136415
"theory 1, White 6-112a",0.964,0.00272717,0.000136359
