X,Y,Z,Cf,Cfx,Cfy,Cfz,Ds,Theta,Pixels/in
-47.3964,4.2463,0.0804,0.0122,0.0122,-0.0002,0.0,10.26,25.67,83.58
-47.3771,-3.0506,0.0772,0.0117,0.0117,0.0003,0.0,9.91,22.97,84.87
-47.2863,6.8646,0.0788,0.0108,0.0108,-0.0007,0.0,9.06,27.98,82.92
-47.2057,-7.0864,0.0751,0.0119,0.0119,0.0008,0.0,10.18,24.51,85.35
-46.4647,1.5872,0.0783,0.0113,0.0113,-0.0004,0.0,9.43,25.41,83.24
-46.4573,0.5591,0.0784,0.0132,0.0132,-0.0004,0.0,11.02,24.93,83.58
-46.4371,1.2335,0.0784,0.0112,0.0112,-0.0005,0.0,9.37,25.23,83.56
-44.2568,-2.0274,0.0738,0.0134,0.0134,-0.0001,0.0,11.08,27.8,81.87
-44.197,-0.58,0.0751,0.012,0.012,0.0009,0.0,9.95,28.05,81.65
-44.189,-1.3341,0.0744,0.0111,0.0111,0.0,0.0,9.23,27.96,81.73
-44.1179,4.8497,0.0724,0.0115,0.0115,0.0004,0.0,9.46,30.47,80.53
-44.1047,5.613,0.0708,0.0127,0.0127,0.0001,0.0,10.49,30.99,80.34
-43.9519,-4.6056,0.0717,0.0128,0.0128,0.0002,0.0,10.58,28.45,81.61
-42.5565,0.9546,0.0747,0.012,0.012,0.0001,0.0,9.78,30.77,79.62
-41.5577,2.8447,0.0726,0.0121,0.0121,-0.0001,0.0,9.88,32.76,78.54
-41.4889,3.4893,0.0718,0.0099,0.0099,0.0006,0.0,8.02,33.1,78.23
-40.8991,-1.611,0.072,0.0099,0.0098,0.0003,0.0,7.99,32.6,78.37
-40.8715,-5.1136,0.071,0.0105,0.0105,0.0005,0.0,8.6,32.78,79.26
-40.8532,-6.2426,0.0702,0.0114,0.0114,0.0004,0.0,9.36,33.05,79.19
-39.3727,0.3028,0.0747,0.0111,0.0111,0.0006,0.0,9.25,6.93,86.83
-39.3607,2.1537,0.0737,0.0115,0.0115,0.0007,0.0,9.56,8.11,86.76
-39.3317,1.7334,0.0744,0.0121,0.0121,0.001,0.0,10.12,7.68,86.84
-39.315,1.3276,0.0745,0.0116,0.0116,0.0003,0.0,9.66,7.46,86.81
-39.3053,0.9788,0.0747,0.0125,0.0125,-0.0001,0.0,10.43,7.28,86.79
-38.7308,3.5679,0.0724,0.0119,0.0119,-0.0003,0.0,9.83,10.43,85.93
-37.8604,5.1334,0.0728,0.0123,0.0123,-0.0002,0.0,10.11,13.66,84.88
-37.8395,6.5919,0.0716,0.0134,0.0134,-0.0005,0.0,11.08,15.64,84.75
-37.8328,5.8504,0.0721,0.0118,0.0118,-0.0001,0.0,9.73,14.65,84.81
-37.8311,5.5437,0.0724,0.0118,0.0118,-0.0005,0.0,9.74,14.24,84.81
-37.6989,-3.7772,0.0728,0.0138,0.0138,0.0001,0.0,11.28,12.29,84.5
-37.6613,-1.3208,0.0742,0.0124,0.0124,0.0003,0.0,10.1,10.41,84.71
-37.6613,-1.6611,0.074,0.0116,0.0116,-0.0001,0.0,9.49,10.59,84.65
-37.6373,-0.9534,0.0744,0.0118,0.0117,-0.001,0.0,9.58,10.31,84.61
-37.6325,-0.2054,0.0746,0.0119,0.0119,-0.0001,0.0,9.74,10.17,84.73
-37.6305,-4.1733,0.0724,0.013,0.013,0.0,0.0,10.6,12.83,84.34
-37.6101,-4.5982,0.0719,0.0135,0.0135,0.0004,0.0,10.98,13.37,84.19
-37.5966,-4.9027,0.0717,0.0127,0.0127,0.0,0.0,10.34,13.76,84.1
-37.5733,-5.2938,0.0714,0.0117,0.0117,0.0004,0.0,9.57,14.29,84.09
-35.7962,3.292,0.075,0.012,0.012,0.0004,0.0,9.65,14.81,83.03
-35.7764,3.5866,0.0749,0.0125,0.0125,-0.0003,0.0,10.06,15.06,82.95
-35.7753,3.9307,0.0748,0.0122,0.0122,0.0001,0.0,9.88,15.35,82.98
-35.7427,4.7024,0.0741,0.0126,0.0126,-0.0003,0.0,10.15,16.12,82.86
-35.7124,4.2956,0.0745,0.0121,0.0121,0.0,0.0,9.78,15.78,82.89
-35.2649,2.0754,0.0754,0.0123,0.0123,0.0003,0.0,9.91,14.97,82.65
-35.2395,0.3539,0.0752,0.0113,0.0113,0.0004,0.0,9.04,14.53,82.67
-35.2216,1.6588,0.0754,0.0123,0.0123,0.0003,0.0,9.87,14.87,82.64
-35.1502,0.9628,0.0754,0.0105,0.0105,-0.0003,0.0,8.4,14.78,82.51
-35.1345,-1.6982,0.0739,0.0131,0.0131,0.0004,0.0,10.53,15.09,82.35
-35.0934,-2.8892,0.0734,0.0107,0.0107,0.0005,0.0,8.56,15.72,82.12
-35.0929,-2.5223,0.0735,0.0105,0.0105,0.0004,0.0,8.36,15.51,82.06
-35.0889,-3.5244,0.0728,0.0127,0.0127,-0.0003,0.0,10.12,16.18,81.94
-35.0811,-3.2368,0.0731,0.0118,0.0118,0.0002,0.0,9.39,15.97,81.99
-35.0468,-5.1667,0.0709,0.0119,0.0119,0.0002,0.0,9.52,17.61,81.65
-34.9909,-6.0214,0.0703,0.0125,0.0125,0.0007,0.0,9.99,18.54,81.56
-34.9745,-7.0494,0.0697,0.0122,0.0122,0.0005,0.0,9.76,19.67,81.39
-34.9673,-6.3935,0.0701,0.0112,0.0112,0.0006,0.0,8.96,18.96,81.45
-34.9667,-6.7314,0.0699,0.0121,0.0121,0.0005,0.0,9.7,19.33,81.42
-33.3984,5.8982,0.0747,0.0132,0.0131,-0.001,0.0,10.49,20.62,80.78
-33.3737,5.5598,0.0749,0.012,0.0119,-0.0013,0.0,9.54,20.36,80.82
-33.3663,5.164,0.0751,0.0112,0.0112,-0.0002,0.0,8.93,20.05,80.76
-33.36,6.2373,0.0745,0.0123,0.0122,0.0005,0.0,9.79,20.98,80.83
-31.9949,-1.9447,0.0744,0.0132,0.0132,0.0007,0.0,10.35,20.45,79.37
-31.9804,-5.7589,0.07,0.0122,0.0122,0.0001,0.0,9.54,22.52,78.92
-31.9787,-0.1088,0.076,0.0114,0.0114,-0.0005,0.0,8.92,20.21,79.29
-31.9729,-5.4589,0.0704,0.0123,0.0123,0.0006,0.0,9.66,22.37,79.09
-31.9689,-0.9499,0.0754,0.0103,0.0103,0.0005,0.0,8.11,20.23,79.66
-31.9682,-3.9315,0.0722,0.0126,0.0124,0.002,0.0,9.93,21.36,79.62
-31.9552,-0.5445,0.0757,0.0109,0.0109,0.0004,0.0,8.54,20.21,79.66
-31.953,-4.7409,0.0711,0.0118,0.0118,0.0002,0.0,9.19,21.9,78.75
-31.9529,-1.297,0.0751,0.0115,0.0115,0.0006,0.0,9.03,20.32,79.46
-31.9418,-4.3514,0.0715,0.0128,0.0128,0.0003,0.0,9.95,21.62,78.8
-31.3259,3.7403,0.0774,0.0126,0.0126,0.0004,0.0,9.88,22.28,78.9
-31.3125,3.4098,0.0775,0.0128,0.0128,-0.0002,0.0,10.06,22.1,79.12
-31.311,3.0921,0.0776,0.0113,0.0113,-0.0011,0.0,8.89,21.96,79.14
-31.2997,4.9189,0.0769,0.013,0.013,0.0002,0.0,10.25,22.94,79.34
-31.2662,4.5507,0.0773,0.0132,0.0132,0.0,0.0,10.34,22.76,78.66
-29.8813,-7.0773,0.068,0.0123,0.0123,0.0008,0.0,9.35,26.61,75.36
-29.8607,-6.0467,0.0707,0.0111,0.0111,0.0007,0.0,8.6,25.78,76.92
-29.8474,-6.4214,0.0697,0.0116,0.0115,0.0011,0.0,8.86,26.05,76.01
-29.6671,0.2941,0.0765,0.0108,0.0108,0.0003,0.0,8.33,24.03,76.89
-29.6512,2.1297,0.0779,0.0117,0.0117,-0.0003,0.0,8.93,24.33,76.57
-29.6488,0.5846,0.0767,0.0109,0.0109,-0.0004,0.0,8.34,23.99,76.76
-29.5611,5.9663,0.0763,0.0114,0.0114,0.0,0.0,8.76,26.19,76.54
-29.5605,6.3114,0.0762,0.012,0.012,-0.0004,0.0,9.23,26.4,76.36
-29.5485,5.622,0.0765,0.0114,0.0114,-0.0001,0.0,8.78,26.0,76.52
-29.5296,6.718,0.0761,0.013,0.013,0.0002,0.0,9.99,26.72,76.29
-29.0416,-3.2917,0.0757,0.012,0.012,0.0003,0.0,9.34,25.55,77.53
-29.0356,-4.0507,0.0751,0.0116,0.0115,0.0014,0.0,9.13,25.79,78.6
-29.0295,-2.9099,0.0759,0.0116,0.0115,0.0004,0.0,9.0,25.44,77.63
-29.0276,-3.66,0.0755,0.0118,0.0118,0.0004,0.0,9.23,25.62,77.68
-28.0682,3.1175,0.0774,0.0128,0.0128,-0.0004,0.0,10.64,10.42,86.12
-28.0081,4.1236,0.0764,0.0108,0.0108,0.0002,0.0,8.99,12.18,85.89
-27.2303,-5.0216,0.0786,0.0106,0.0106,0.0004,0.0,8.17,28.98,75.49
-27.1934,-5.4568,0.0766,0.0124,0.0124,0.0005,0.0,9.46,29.24,74.85
-27.1577,-5.0843,0.0784,0.0117,0.0117,0.0012,0.0,9.63,8.16,85.51
-27.1508,-5.8451,0.0745,0.011,0.011,0.0008,0.0,8.4,29.48,74.69
-27.1296,-5.4934,0.0765,0.0108,0.0108,-0.0002,0.0,8.85,8.79,85.46
-27.1135,-6.2486,0.0713,0.0112,0.0112,0.0006,0.0,8.42,29.83,73.65
-27.1022,-6.581,0.068,0.012,0.012,0.0009,0.0,9.01,30.22,73.25
-27.0899,-6.9108,0.065,0.0125,0.0125,0.0004,0.0,9.23,30.43,71.95
-26.6528,-0.4169,0.0768,0.0122,0.0122,0.0002,0.0,9.81,7.03,83.7
-26.2037,-2.6775,0.0785,0.0114,0.0114,0.0005,0.0,9.19,7.34,84.13
-26.152,-3.7705,0.0828,0.0116,0.0116,0.0004,0.0,9.41,7.94,84.58
-25.9942,5.2438,0.0755,0.0136,0.0136,-0.0001,0.0,10.99,15.85,83.02
-25.9942,6.9108,0.0755,0.0136,0.0136,-0.0004,0.0,10.99,15.85,83.02
-25.9315,5.5718,0.0741,0.0118,0.0118,0.0004,0.0,9.53,16.22,82.81
-25.9315,2.6775,0.0741,0.0118,0.0118,-0.0005,0.0,9.53,16.22,82.81
-25.9282,5.8961,0.0732,0.0113,0.0113,0.0004,0.0,9.15,16.73,82.82
-25.9282,-5.2438,0.0732,0.0113,0.0113,0.0001,0.0,9.15,16.73,82.82
-25.8943,6.2652,0.0736,0.0129,0.0129,-0.0006,0.0,10.43,17.07,82.62
-25.8943,-5.5718,0.0736,0.0129,0.0129,-0.0004,0.0,10.43,17.07,82.62
-25.8472,6.6464,0.0746,0.0124,0.0124,0.0,0.0,9.97,17.66,82.36
-25.8472,-5.8961,0.0746,0.0124,0.0124,-0.0004,0.0,9.97,17.66,82.36
-24.9461,3.4479,0.0724,0.0119,0.0119,0.0004,-0.0001,9.61,15.36,83.02
-24.9327,3.8427,0.066,0.0109,0.0109,0.0004,-0.0001,8.8,15.48,82.95
-24.9296,4.6588,0.0653,0.0123,0.0123,0.0,-0.0001,9.9,15.76,82.67
-24.9171,4.2411,0.0643,0.0123,0.0123,-0.0001,-0.0001,9.9,15.35,82.59
-24.2239,-5.1058,0.0789,0.0109,0.0109,-0.0001,0.0,8.54,12.37,81.32
-24.2093,-5.9219,0.0733,0.0121,0.0121,-0.0004,0.0,9.58,13.28,81.46
-24.1933,-5.5349,0.0758,0.0122,0.0122,-0.0011,0.0001,9.53,12.91,80.75
-22.5159,4.8832,0.0491,0.0125,0.0125,-0.0001,-0.0001,9.65,18.51,78.73
-22.4519,-4.2265,0.0441,0.0119,0.0119,-0.0002,-0.0002,9.47,15.53,81.69
-22.4508,-4.5029,0.048,0.0116,0.0116,-0.0006,-0.0002,9.06,14.67,80.48
-22.4444,5.4713,0.0565,0.0116,0.0116,-0.0006,-0.0001,9.0,19.22,78.93
-22.4266,-3.8703,0.0399,0.0113,0.0112,-0.001,-0.0002,9.0,15.46,81.97
-22.4255,-3.106,0.0316,0.0113,0.0113,-0.0005,-0.0003,9.19,15.76,83.11
-22.4247,-3.5183,0.0368,0.012,0.012,0.0,-0.0003,9.64,15.36,82.24
-22.3677,5.9399,0.0623,0.0121,0.0121,0.0005,0.0,9.35,19.82,78.5
-22.0198,0.2174,0.0487,0.0105,0.0105,0.0006,-0.0003,8.63,16.89,84.15
-21.988,2.1228,0.0176,0.0104,0.0104,0.0006,-0.0001,8.25,16.51,81.2
-21.9612,0.5452,0.0595,0.0095,0.0095,0.0004,-0.0005,7.97,18.49,85.09
-21.9481,1.7124,0.0285,0.0108,0.0108,0.0006,-0.0006,8.95,17.91,84.42
-21.9207,0.8795,0.0678,0.0103,0.0103,0.0009,-0.0005,8.59,18.67,84.73
-21.907,1.2482,0.058,0.0098,0.0097,0.0011,-0.0006,8.24,20.49,85.08
-21.3236,-6.8698,0.0253,0.0108,0.0108,0.0007,0.0001,8.16,18.46,76.72
-21.2942,-6.4621,0.0345,0.0104,0.0104,-0.0001,-0.0004,8.42,19.81,82.24
-21.2566,-6.0987,0.0358,0.0104,0.0103,-0.0006,-0.0003,8.37,19.6,81.99
-21.2216,-5.3064,0.0433,0.0113,0.0113,-0.0006,0.0,8.56,17.75,77.23
-21.2212,-5.7471,0.0346,0.0117,0.0117,0.0012,0.0,9.19,19.6,79.54
-20.4887,3.3363,0.033,0.0117,0.0117,-0.0004,0.0001,8.63,19.52,74.82
-20.4023,4.0647,0.04,0.012,0.012,0.0001,0.0,8.84,20.43,74.92
-20.397,-4.8702,0.0362,0.0098,0.0098,0.0001,-0.0002,7.56,19.46,78.64
-20.3683,-4.6234,0.0339,0.0119,0.0119,-0.0011,0.0,9.03,19.38,76.96
-20.3508,-3.0119,0.033,0.0116,0.0115,-0.0009,0.0001,8.5,17.54,75.11
-20.3476,4.4368,0.0424,0.0123,0.0123,0.0002,0.0,9.12,20.84,74.98
-20.3389,-3.7985,0.0378,0.0113,0.0113,-0.001,0.0001,8.38,17.89,75.47
-20.3319,-3.4172,0.0355,0.0116,0.0116,-0.0004,0.0001,8.54,17.65,74.96
-20.3092,-0.2201,0.0256,0.0109,0.0108,0.0,-0.0002,8.28,19.47,77.63
-20.3046,-1.8004,0.032,0.0129,0.0129,-0.0004,0.0001,9.41,17.53,74.75
-20.2876,-2.1086,0.0317,0.0105,0.0105,0.0002,0.0001,7.7,17.56,74.97
-20.2774,-1.4321,0.0341,0.0123,0.0122,-0.0008,0.0001,9.01,17.76,74.99
-20.2727,-0.6427,0.0308,0.0098,0.0098,0.0005,0.0,7.24,18.04,75.32
-19.8907,-11.1954,0.04,0.0135,0.0135,-0.0007,0.0001,10.15,24.02,75.11
-19.89,-11.7936,0.0431,0.0129,0.0129,0.0,0.0001,9.76,24.69,75.7
-19.8707,-11.5198,0.0418,0.0124,0.0124,-0.0001,0.0001,9.39,24.42,75.54
-19.8406,-10.8604,0.0387,0.0128,0.0128,0.0007,0.0001,9.7,23.72,75.77
-19.5466,5.3525,0.0504,0.0121,0.0121,-0.0003,0.0,8.91,22.7,74.34
-19.4332,7.1126,0.0637,0.0133,0.0133,0.0011,0.0,9.97,24.78,74.77
-19.2341,-6.7367,0.0338,0.0121,0.012,0.0003,0.0001,8.89,21.1,74.62
-19.2091,-6.3697,0.0341,0.0106,0.0106,0.0003,0.0001,7.82,20.97,74.61
-19.1715,-6.0146,0.0344,0.0109,0.0109,-0.0006,0.0001,7.99,20.81,74.12
-19.1636,0.3114,0.0287,0.0105,0.0105,-0.0002,0.0001,7.59,19.84,73.05
-19.1599,-5.1856,0.0343,0.011,0.011,-0.0002,0.0,8.05,20.47,74.45
-19.1449,-5.5941,0.0345,0.0108,0.0108,0.0002,0.0,7.96,20.61,74.65
-19.1411,0.585,0.0292,0.0107,0.0107,-0.0006,0.0001,7.77,20.02,73.35
-19.0877,2.1414,0.0338,0.0118,0.0118,-0.0001,0.0001,8.52,20.85,73.36
-19.0758,1.3131,0.0312,0.0098,0.0097,-0.0006,0.0001,7.09,20.42,73.58
-19.0751,1.7305,0.0324,0.0106,0.0106,0.0003,0.0001,7.72,20.67,73.53
-18.9052,-7.7956,0.0333,0.0116,0.0116,-0.0003,0.0001,8.54,22.36,73.84
-18.8777,-8.2275,0.0334,0.0114,0.0114,0.0002,0.0001,8.42,22.59,74.16
-18.6137,-4.3293,0.04,0.0109,0.0109,0.0,0.0001,7.96,21.01,73.82
-18.5728,-3.9344,0.0413,0.0114,0.0114,-0.0009,0.0001,8.3,20.91,73.68
-18.5469,-3.5594,0.0419,0.0122,0.0122,0.0,0.0001,8.91,20.86,73.76
-18.5469,6.7367,0.0419,0.0122,0.0122,-0.0003,0.0001,8.91,20.86,73.76
-18.5213,-3.1507,0.0411,0.0111,0.0111,-0.0009,0.0,8.12,20.99,74.05
-18.5213,6.0146,0.0411,0.0111,0.0111,0.0006,0.0,8.12,20.99,74.05
-18.1498,-11.5966,0.0543,0.0125,0.0125,0.0004,0.0001,9.43,26.51,74.73
-18.1498,5.1856,0.0543,0.0125,0.0125,0.0002,0.0001,9.43,26.51,74.73
-18.0784,-10.902,0.0514,0.0121,0.0121,-0.0001,0.0001,9.05,25.87,74.2
-18.0784,-0.585,0.0514,0.0121,0.0121,0.0006,0.0001,9.05,25.87,74.2
-18.042,-10.542,0.0492,0.0113,0.0113,0.0001,0.0001,8.4,25.59,74.21
-18.042,-1.3131,0.0492,0.0113,0.0113,0.0006,0.0001,8.4,25.59,74.21
-17.7834,-6.9317,0.0422,0.0107,0.0107,-0.0002,0.0001,7.78,23.46,73.1
-17.7834,7.7956,0.0422,0.0107,0.0107,0.0003,0.0001,7.78,23.46,73.1
-17.7465,-6.637,0.0422,0.0117,0.0117,-0.0007,0.0001,8.51,23.34,72.76
-17.7465,4.3293,0.0422,0.0117,0.0117,0.0,0.0001,8.51,23.34,72.76
-17.723,-5.9024,0.0418,0.0116,0.0116,-0.0003,0.0001,8.4,23.03,72.98
-17.723,3.5594,0.0418,0.0116,0.0116,0.0,0.0001,8.4,23.03,72.98
-17.7116,-5.1192,0.0415,0.0114,0.0114,-0.0006,0.0,8.26,22.8,72.75
-17.7116,3.1507,0.0415,0.0114,0.0114,0.0009,0.0,8.26,22.8,72.75
-17.7108,-5.5186,0.0417,0.0099,0.0099,-0.0005,0.0,7.18,22.87,72.72
-17.7108,11.5966,0.0417,0.0099,0.0099,-0.0004,0.0,7.18,22.87,72.72
-17.3362,2.8404,0.0444,0.0098,0.0097,0.0006,0.0001,8.24,11.02,87.48
-17.3362,-2.8404,0.0444,0.0098,0.0097,-0.0006,0.0001,8.24,11.02,87.48
-17.3227,3.5848,0.0467,0.0102,0.0102,0.0007,0.0001,8.63,12.29,87.2
-17.3227,-3.5848,0.0467,0.0102,0.0102,-0.0007,0.0001,8.63,12.29,87.2
-17.314,3.158,0.0453,0.0103,0.0103,0.0007,0.0001,8.69,11.53,87.35
-17.314,-3.158,0.0453,0.0103,0.0103,-0.0007,0.0001,8.69,11.53,87.35
-17.2991,4.7708,0.0523,0.0113,0.0113,0.0013,0.0,9.49,14.22,86.26
-17.2991,-4.7708,0.0523,0.0113,0.0113,-0.0013,0.0,9.49,14.22,86.26
-17.2674,3.907,0.0483,0.0099,0.0099,0.0006,0.0,8.31,12.87,86.61
-17.2674,-3.907,0.0483,0.0099,0.0099,-0.0006,0.0,8.31,12.87,86.61
-17.2666,4.3257,0.0503,0.0114,0.0114,0.0007,0.0,9.53,13.5,86.46
-17.2666,-4.3257,0.0503,0.0114,0.0114,-0.0007,0.0,9.53,13.5,86.46
-17.2458,-1.2654,0.0416,0.0095,0.0095,-0.0003,0.0,7.96,5.58,87.48
-17.0892,-9.7718,0.051,0.0124,0.0124,-0.0003,0.0001,9.08,26.35,72.94
-17.0892,-11.5966,0.051,0.0124,0.0124,0.0004,0.0001,9.08,26.35,72.94
-17.0797,-9.4748,0.0505,0.0121,0.0121,-0.0004,0.0001,8.88,26.03,72.84
-17.0797,2.8404,0.0505,0.0121,0.0121,0.0006,0.0001,8.88,26.03,72.84
-17.0565,-7.9283,0.0486,0.0128,0.0128,0.0002,0.0001,9.37,24.87,72.96
-17.0565,3.5848,0.0486,0.0128,0.0128,0.0007,0.0001,9.37,24.87,72.96
-16.9207,5.7569,0.0572,0.0128,0.0128,0.0008,0.0,10.59,16.16,84.99
-16.9207,-5.7569,0.0572,0.0128,0.0128,-0.0008,0.0,10.59,16.16,84.99
-16.919,5.4337,0.0559,0.0113,0.0112,0.0012,0.0,9.33,15.64,84.98
-16.919,-5.4337,0.0559,0.0113,0.0112,-0.0012,0.0,9.33,15.64,84.98
-16.8869,8.298,0.0733,0.0118,0.0117,0.0011,0.0,9.77,20.47,83.92
-16.8869,-8.298,0.0733,0.0118,0.0117,-0.0011,0.0,9.77,20.47,83.92
-16.8775,9.6973,0.0789,0.0123,0.0122,0.0009,0.0,10.17,22.46,83.52
-16.8775,-9.6973,0.0789,0.0123,0.0122,-0.0009,0.0,10.17,22.46,83.52
-16.876,8.5878,0.0738,0.0109,0.0108,0.0012,0.0,9.01,20.88,83.89
-16.876,-8.5878,0.0738,0.0109,0.0108,-0.0012,0.0,9.01,20.88,83.89
-16.8638,6.0743,0.0588,0.013,0.013,-0.0003,0.0,10.73,16.61,84.61
-16.8638,-6.0743,0.0588,0.013,0.013,0.0003,0.0,10.73,16.61,84.61
-16.8633,8.9409,0.0747,0.0123,0.0123,0.0007,0.0,10.24,21.45,83.86
-16.8633,-8.9409,0.0747,0.0123,0.0123,-0.0007,0.0,10.24,21.45,83.86
-16.7937,6.4602,0.0611,0.0124,0.0124,0.0009,0.0,10.22,17.29,84.32
-16.7937,-6.4602,0.0611,0.0124,0.0124,-0.0009,0.0,10.22,17.29,84.32
-16.7461,7.319,0.0666,0.013,0.013,0.0003,0.0,10.72,18.65,83.88
-16.7461,-7.319,0.0666,0.013,0.013,-0.0003,0.0,10.72,18.65,83.88
-16.4215,0.2714,0.0434,0.008,0.008,0.0004,0.0,5.9,11.93,83.7
-16.3974,0.1982,0.0435,0.0091,0.0091,-0.0001,0.0001,7.53,8.31,86.34
-16.3871,0.529,0.0437,0.0078,0.0078,0.0,0.0,5.69,12.25,83.62
-16.3844,0.5152,0.0437,0.0084,0.0083,0.0004,0.0,6.92,8.72,86.25
-16.3842,0.8943,0.044,0.0086,0.0086,0.0001,0.0,6.27,12.62,83.51
-16.3817,1.2274,0.0444,0.008,0.008,0.0005,0.0,5.86,12.95,83.51
-16.3652,1.6427,0.0452,0.008,0.008,0.0001,0.0,5.88,13.49,83.41
-16.3313,1.252,0.0447,0.0095,0.0094,0.001,0.0,7.85,9.7,86.0
-16.1982,-11.7488,0.0595,0.0123,0.0123,0.0002,0.0,9.2,29.39,73.36
-16.1982,-8.9409,0.0595,0.0123,0.0123,-0.0007,0.0,9.2,29.39,73.36
-16.1908,-11.4802,0.0584,0.0124,0.0124,-0.0003,0.0,9.19,29.08,72.93
-16.1908,-6.4602,0.0584,0.0124,0.0124,-0.0009,0.0,9.19,29.08,72.93
-15.8,-4.2395,0.0489,0.0088,0.0088,0.0001,0.0,6.4,11.84,83.12
-15.8,4.2395,0.0489,0.0088,0.0088,-0.0001,0.0,6.4,11.84,83.12
-15.6961,-4.6073,0.0494,0.0088,0.0087,-0.0004,0.0,6.37,12.11,82.9
-15.6961,4.6073,0.0494,0.0088,0.0087,0.0004,0.0,6.37,12.11,82.9
-15.6904,0.0387,0.0458,0.0074,0.0074,0.0002,0.0,5.99,9.4,84.58
-15.6622,-0.4061,0.0459,0.009,0.009,0.0002,0.0,7.34,9.08,84.56
-15.6536,-5.3341,0.0505,0.0082,0.0081,-0.0009,0.0,5.97,12.56,83.05
-15.6536,5.3341,0.0505,0.0082,0.0081,0.0009,0.0,5.97,12.56,83.05
-14.7682,-2.5822,0.0471,0.0071,0.0071,-0.0008,0.0,5.71,10.01,83.31
-14.7624,2.2253,0.0482,0.0085,0.0084,0.0008,0.0,6.8,13.21,83.13
-14.7624,-2.2253,0.0482,0.0085,0.0084,-0.0008,0.0,6.8,13.21,83.13
-14.7354,-2.955,0.0481,0.009,0.009,0.001,0.0,7.26,10.1,83.45
-14.6947,1.8085,0.0481,0.0097,0.0096,0.0011,0.0,7.78,12.79,83.14
-14.6943,1.0131,0.047,0.0087,0.0087,0.0006,0.0,6.97,11.97,83.15
-14.5769,5.4531,0.0584,0.0106,0.0104,0.0016,0.0,8.49,17.64,82.1
