x_in,Cp
-2.36334825,-1.02534211
-2.34080291,-0.987543821
-2.3181963,-0.9803738
-2.29552722,-0.997410476
-2.27279544,-1.00779724
-2.25,-0.983941376
-2.25,-0.983941615
-2.22860074,-0.959348619
-2.2071445,-0.978945076
-2.18563104,-1.04927957
-2.16405916,-1.13336813
-2.14242887,-1.18461692
-2.12073851,-1.15548754
-2.09898829,-1.07187152
-2.07717753,-0.987038314
-2.05530572,-0.964684486
-2.0333724,-0.977073431
-2.01137662,-0.995442271
-1.98931813,-1.01761401
-1.96719635,-1.06613743
-1.9450103,-1.14369667
-1.92275977,-1.2081089
-1.90044439,-1.22693896
-1.87806332,-1.19032669
-1.85561645,-1.1590153
-1.83310294,-1.19113505
-1.81052256,-1.27347541
-1.7878747,-1.30049646
-1.76515877,-1.25786519
-1.74237466,-1.19564962
-1.71952164,-1.16952825
-1.69659936,-1.1745702
-1.67360759,-1.20159638
-1.65054572,-1.24302447
-1.62741327,-1.25644648
-1.60421002,-1.26057065
-1.58093584,-1.30691958
-1.55759037,-1.36197197
-1.53417337,-1.34018493
-1.51068461,-1.30604064
-1.48712397,-1.29838359
-1.46349049,-1.28728306
-1.43978453,-1.25476766
-1.41600609,-1.30230212
-1.39215517,-1.43085003
-1.36823165,-1.47743797
-1.34423471,-1.43431032
-1.32016516,-1.42429292
-1.29602289,-1.46064496
-1.27180827,-1.45560777
-1.24752021,-1.42261445
-1.22316015,-1.41346228
-1.19872808,-1.43367875
-1.1742233,-1.4515171
-1.14964712,-1.45533919
-1.125,-1.42799711
-1.125,-1.42799699
-1.09619451,-1.38211668
-1.06729329,-1.37545955
-1.03829718,-1.40898299
-1.00920713,-1.44324076
-0.980023801,-1.43014312
-0.950748563,-1.36367846
-0.921382666,-1.35140836
-0.891927123,-1.40778506
-0.862383664,-1.47554815
-0.832753539,-1.51022184
-0.803038657,-1.50719059
-0.773240507,-1.47504389
-0.743361294,-1.45310175
-0.713402688,-1.47154534
-0.683367074,-1.51103842
-0.653256535,-1.53561306
-0.623073399,-1.5012598
-0.592820287,-1.4274621
-0.562499762,-1.41058075
-0.562499762,-1.41058075
-0.515908003,-1.47761452
-0.515907526,-1.47761548
-0.469244182,-1.5141263
-0.469243705,-1.51412571
-0.4225142,-1.53893948
-0.422513723,-1.53893912
-0.375723809,-1.50110447
-0.375723392,-1.50110459
-0.328879148,-1.46563458
-0.32887873,-1.46563399
-0.281986505,-1.48815763
-0.281986147,-1.48815858
-0.235052481,-1.56958055
-0.235052153,-1.56958091
-0.188083753,-1.52754462
-0.188083425,-1.52754402
-0.14108716,-1.4425472
-0.141086832,-1.44254661
-0.0940696746,-1.44898498
-0.094069317,-1.44898522
-0.0470382795,-1.41818261
-0.0470379069,-1.41818249
8.32892226e-08,-1.40204561
4.49529182e-07,-1.40204561
0.0470383577,-1.48304212
0.0470387526,-1.4830426
0.0940696374,-1.52859616
0.0940700397,-1.52859628
0.141086981,-1.5025773
0.141087398,-1.50257647
0.188083381,-1.42715383
0.188083798,-1.42715359
0.235051885,-1.49619329
0.235052332,-1.496194
0.28198573,-1.45761931
0.281986207,-1.45761895
0.328878224,-1.39517176
0.328878701,-1.39517152
0.375722826,-1.38419688
0.375723302,-1.38419604
0.422513246,-1.35520971
0.422513783,-1.35520983
0.469243348,-1.41686082
0.469243884,-1.41686106
0.515907407,-1.39000809
0.515907884,-1.39000714
0.562499762,-1.27031672
0.562499762,-1.27031672
0.592820287,-1.26845646
0.623073399,-1.2562927
0.653256535,-1.2470504
0.683367074,-1.28041232
0.713402688,-1.27976763
0.743361294,-1.26435554
0.773240507,-1.26421809
0.803038657,-1.25726008
0.832753539,-1.22811329
0.862383664,-1.22248661
0.891927123,-1.21846223
0.921382666,-1.17077994
0.950748563,-1.12309396
0.980023801,-1.11574292
1.00920713,-1.13116896
1.03829718,-1.16894376
1.06729329,-1.18498063
1.09619451,-1.13825428
1.125,-1.11875463
1.125,-1.11875522
1.14964712,-1.15348208
1.1742233,-1.18074095
1.19872808,-1.14730215
1.22316015,-1.06205618
1.24752021,-0.976770878
1.27180827,-0.943534017
1.29602289,-0.962883115
1.32016516,-1.00112617
1.34423471,-1.03925932
1.36823165,-1.04848909
1.39215517,-1.00184596
1.41600609,-0.935529172
1.43978453,-0.899468362
1.46349049,-0.863269508
1.48712397,-0.798896432
1.51068461,-0.786917269
1.53417337,-0.869254172
1.55759037,-0.949204862
1.58093584,-0.952052236
1.60421002,-0.90076983
1.62741327,-0.852844477
1.65054572,-0.835342526
1.67360759,-0.846742928
1.69659936,-0.84426111
1.71952164,-0.78162092
1.74237466,-0.71892792
1.76515877,-0.72651875
1.7878747,-0.762602508
1.81052256,-0.770889103
1.83310294,-0.756334186
1.85561645,-0.724457383
1.87806332,-0.682412684
1.90044439,-0.677042067
1.92275977,-0.731053948
1.9450103,-0.778085947
1.96719635,-0.765728712
1.98931813,-0.726908266
2.01137662,-0.707281172
2.0333724,-0.690272152
2.05530572,-0.662199915
2.07717753,-0.659782171
2.09898829,-0.699905992
2.12073851,-0.709277272
2.14242887,-0.663239539
2.16405916,-0.616026044
2.18563104,-0.607637703
2.2071445,-0.604438007
2.22860074,-0.567318022
2.25,-0.536406398
2.25,-0.536406457
2.27279544,-0.563091278
2.29552722,-0.616721094
2.3181963,-0.656355679
2.34080291,-0.6596632
2.36334825,-0.619696379
2.38583279,-0.573201418
2.40825725,-0.547554851
2.43062234,-0.548634648
2.45292878,-0.575600862
2.47517729,-0.631011486
2.49736857,-0.689540386
2.51950359,-0.709019899
2.54158306,-0.690856695
2.56360745,-0.658358693
2.58557773,-0.631178618
2.60749459,-0.628697336
2.62935877,-0.656746626
2.65117073,-0.699026942
2.67293143,-0.7098248
2.69464183,-0.689981341
2.71630216,-0.673447192
2.73791337,-0.687188327
2.75947619,-0.698262811
2.78099084,-0.682808638
2.80245757,-0.671990871
2.82387805,-0.684338927
2.84525275,-0.678495765
2.86658263,-0.620218098
2.88786817,-0.555038691
2.90911007,-0.53069377
2.93030906,-0.559550583
2.95146608,-0.61972028
2.97258019,-0.660183787
2.99365306,-0.652037799
3.01468539,-0.632994413
3.03567839,-0.661672652
3.05663252,-0.729629457
3.07754826,-0.775901973
3.09842634,-0.775847554
3.11926627,-0.747009516
3.14006925,-0.715176702
3.1608367,-0.697785795
3.18156886,-0.690269291
3.20226669,-0.692099631
3.22293067,-0.702832699
3.24356008,-0.708015502
3.26415634,-0.670592785
3.28472066,-0.597981751
3.30525351,-0.547795057
3.3257556,-0.563532472
3.34622717,-0.617011845
3.36666751,-0.643215716
3.387079,-0.622830808
3.40746212,-0.602806151
3.42781711,-0.614143074
3.44814467,-0.633833229
3.46844411,-0.617266893
3.48871756,-0.571938276
3.50896525,-0.539338708
3.52918792,-0.560219884
3.54938555,-0.623247981
3.56955814,-0.692175686
3.58970738,-0.724663734
3.60983396,-0.718471408
3.62993813,-0.684955001
3.65001941,-0.638999581
3.67007923,-0.603959978
3.69011831,-0.589981437
3.71013737,-0.601816058
3.73013616,-0.630015314
3.75011516,-0.64288491
3.77007556,-0.639278412
3.79001784,-0.649057567
3.80994248,-0.681173921
3.82984924,-0.69928205
3.84973931,-0.671582758
3.86961341,-0.644252777
3.88947225,-0.645810783
3.90931463,-0.648902059
3.92914295,-0.611594141
3.94895721,-0.545278192
3.96875787,-0.484725028
3.9885447,-0.463300168
4.0083189,-0.495342523
4.02808142,-0.579605281
4.04783249,-0.661846876
4.06757164,-0.679385185
4.0873003,-0.644724965
4.10701895,-0.607048273
4.12672806,-0.597507656
4.14642715,-0.593463957
4.16611815,-0.571662545
4.18580055,-0.533353805
4.20547581,-0.519149065
4.22514296,-0.557358801
4.24480391,-0.604279578
4.26445866,-0.600831807
4.28410769,-0.578374445
4.30375099,-0.587056994
4.32338953,-0.628841758
4.34302378,-0.652436614
4.36265421,-0.629301667
4.3822813,-0.570156574
4.40190554,-0.514169157
4.42152739,-0.523618639
4.44114733,-0.564181209
4.46076536,-0.57964772
4.48038292,-0.56585598
4.5,-0.564620018
4.5,-0.564619899
4.51927614,-0.578753948
4.53855228,-0.582677186
4.55782986,-0.571020722
4.57710838,-0.558692515
4.59638882,-0.550159275
4.61567163,-0.551735818
4.63495684,-0.554737449
4.65424585,-0.539572298
4.67353868,-0.504715681
4.69283533,-0.465877205
4.71213627,-0.451127201
4.73144198,-0.482400298
4.7507534,-0.547206402
4.77007055,-0.600385606
4.78939486,-0.60126251
4.80872631,-0.565086901
4.82806444,-0.535583377
4.8474102,-0.517044306
4.86676454,-0.500002682
4.88612652,-0.490811795
4.90549898,-0.507700622
4.92488146,-0.539173901
4.94427347,-0.542644978
4.96367645,-0.518555284
4.98308992,-0.51610297
5.00251484,-0.5394063
5.0219512,-0.533309102
5.04140091,-0.499403208
5.06086445,-0.486862361
5.08034134,-0.508362532
5.09983206,-0.539033651
5.11933613,-0.569825947
5.13885546,-0.580379605
5.15838957,-0.561679125
5.17793941,-0.547810555
5.19750786,-0.560677648
5.21709251,-0.562528849
5.23669481,-0.550840616
5.25631428,-0.566037416
5.27595138,-0.606214106
5.29560709,-0.609677851
5.31528187,-0.566028476
5.3349781,-0.530656874
5.35469532,-0.521364272
5.37443352,-0.528367519
5.39419222,-0.530506074
5.41397285,-0.509180844
5.43377495,-0.481953055
5.45359993,-0.47840187
5.4734478,-0.510268092
5.49332142,-0.563757122
5.51322079,-0.601206422
5.53314495,-0.593724787
5.55309439,-0.571622431
5.5730691,-0.566007435
5.59307051,-0.538991272
5.61309815,-0.490113825
5.63315344,-0.471289337
5.65323639,-0.486876011
5.67335224,-0.474351138
5.6934967,-0.414389789
5.71367121,-0.396330982
5.73387527,-0.468325675
5.75411034,-0.561089098
5.77437687,-0.593400657
5.79467535,-0.58945775
5.81500578,-0.610366821
5.83536959,-0.654212475
5.85576868,-0.682933509
5.87620449,-0.676237285
5.89667511,-0.621925056
5.91718101,-0.536382794
5.93772316,-0.497726619
5.95830202,-0.545795977
5.97891808,-0.59891516
5.9995718,-0.592053533
6.02026415,-0.586311519
6.04099607,-0.629386544
6.0617671,-0.635267913
6.08257961,-0.589108765
6.10343599,-0.595783293
6.12433434,-0.597784877
6.14527512,-0.518500864
6.16625881,-0.49183315
6.1872859,-0.534374654
6.20835781,-0.534074903
6.22947407,-0.53964299
6.2506361,-0.586414278
6.27184486,-0.606856108
6.29310036,-0.582656622
6.31440306,-0.509801805
6.33575487,-0.443819761
6.35715532,-0.483353168
6.37860537,-0.557349563
6.40010595,-0.495628536
6.42165852,-0.405339807
6.44326496,-0.424533606
6.46492338,-0.465149522
6.48663473,-0.43972981
6.50839996,-0.387413412
6.53022003,-0.337080359
6.55209494,-0.347273409
6.57402611,-0.448792487
6.59601355,-0.513227224
6.61805868,-0.471723646
6.64016151,-0.439125895
6.662323,-0.462713689
6.68454409,-0.466616631
6.70682526,-0.45326522
6.72916746,-0.461228758
6.75157118,-0.473748416
6.77403688,-0.480963588
6.79656553,-0.494088978
6.8191576,-0.510610282
6.84181404,-0.481224865
6.86453581,-0.401088059
6.8873229,-0.362470984
6.91017628,-0.397271037
6.93309689,-0.430104643
6.95608473,-0.441732884
6.97914076,-0.409416616
7.00226593,-0.34843567
7.02546072,-0.307373315
7.0487256,-0.272372901
7.07206106,-0.272856414
7.09546804,-0.314271241
7.11894655,-0.350099683
7.14249802,-0.383652747
7.16612244,-0.388382435
7.18982029,-0.383679092
7.21359205,-0.373269886
7.23744202,-0.311870575
7.2613678,-0.303524136
7.28536892,-0.370467693
7.30944633,-0.337591439
7.33360004,-0.241998002
7.357831,-0.276572943
7.38213921,-0.404006511
7.40652513,-0.410299718
7.43098879,-0.340650827
7.45553112,-0.373914123
7.48015165,-0.37481448
7.50485086,-0.289347738
7.52962923,-0.255245328
7.55449152,-0.302942485
7.57943487,-0.340049237
7.60445738,-0.375976175
7.62955952,-0.436647117
7.65474081,-0.382722229
7.68000174,-0.284412622
7.70534182,-0.274858624
7.73076105,-0.296446651
7.75625944,-0.300789952
7.78184462,-0.301690668
7.80750799,-0.355937123
7.83325005,-0.380990326
7.85906935,-0.309373826
7.8849659,-0.259494752
7.91093969,-0.244274229
7.93698931,-0.224660114
7.96312332,-0.259196967
7.98933268,-0.333944917
8.01561546,-0.270516545
8.04197216,-0.11741674
8.06840134,-0.150087878
8.09490204,-0.318957835
8.12148094,-0.295294881
8.14813042,-0.227520823
8.1748476,-0.236765042
8.2016325,-0.160570085
8.22848225,-0.215380415
8.2553997,-0.329819769
8.28238583,-0.288256019
8.30943203,-0.360556245
8.33653832,-0.570254624
8.36370277,-0.502617359
8.39092636,-0.204864368
8.41820908,-0.0866484046
8.44554424,-0.25056085
8.47292995,-0.421876192
8.50036335,-0.310533553
8.52784729,-0.172809586
8.55537891,-0.315050423
8.58295155,-0.403714031
8.61056423,-0.395101905
8.63821411,-0.294903099
8.66590404,-0.204217315
8.6936264,-0.248658672
8.72137833,-0.271258742
8.74915791,-0.280568421
8.77696419,-0.2491889
8.80479431,-0.228229746
8.83264255,-0.199477896
8.86050892,-0.198807359
8.88838959,-0.312589735
8.91628265,-0.591992021
8.94418335,-0.591992021
8.97208977,-0.591992021
9.0,-0.591992021
