x_mm,y_mm,z_mm,p,Cp
-74.07,-194.5,255.72,-160.04388427734375,-0.23651035785675048
-74.07,-194.5,263.72,-175.4667205810547,-0.25578890323638914
-74.07,-194.5,271.72,-191.3765106201172,-0.2756761407852173
-46.88,-194.5,243.04,-147.4627685546875,-0.2207839632034302
-46.88,-194.5,251.04,-158.90963745117188,-0.23509254932403564
-46.88,-194.5,259.04,-169.8917694091797,-0.2488202142715454
-28.75,-194.5,234.59,-139.74520874023438,-0.21113701343536376
-28.75,-194.5,242.59,-146.24752807617188,-0.21926491260528563
-28.75,-194.5,250.59,-162.1934356689453,-0.23919729709625245
-21.5,-194.5,231.2,-132.59906005859375,-0.202204327583313
-21.5,-194.5,239.2,-141.73126220703125,-0.21361958026885985
-21.5,-194.5,247.2,-162.86509704589844,-0.24003687381744385
-21.0,-194.5,57.0,-110.75218200683594,-0.17489573001861572
-21.0,-194.5,65.0,-108.1824951171875,-0.1716836214065552
-21.0,-194.5,73.0,-107.67323303222656,-0.17104704380035402
-21.0,-194.5,103.0,-110.42852783203125,-0.17449116230010986
-21.0,-194.5,163.0,-116.85222625732422,-0.18252078533172608
-21.0,-194.5,193.0,-120.54390716552734,-0.18713538646697997
-21.0,-194.5,223.0,-128.87887573242188,-0.19755409717559813
-14.25,-194.5,227.82,-128.52748107910156,-0.19711485385894775
-14.25,-194.5,235.82,-136.60543823242188,-0.20721230030059815
-14.25,-194.5,243.82,-154.2044219970703,-0.2292110300064087
-14.0,-194.5,57.0,-111.76115417480469,-0.17615694522857667
-14.0,-194.5,65.0,-107.32264709472656,-0.170608811378479
-14.0,-194.5,73.0,-107.26067352294922,-0.17053134441375734
-14.0,-194.5,103.0,-111.20346069335938,-0.17545982837677002
-14.0,-194.5,163.0,-117.48224639892578,-0.18330831050872803
-14.0,-194.5,193.0,-120.65309143066406,-0.18727186679840088
-14.0,-194.5,223.0,-127.0801010131836,-0.1953056287765503
-7.0,-194.5,57.0,-110.61417388916016,-0.174723219871521
-7.0,-194.5,65.0,-113.10482788085938,-0.17783653736114502
-7.0,-194.5,73.0,-115.88090515136719,-0.1813066339492798
-7.0,-194.5,103.0,-119.38903045654297,-0.1856917905807495
-7.0,-194.5,133.0,-121.8302993774414,-0.18874337673187255
-7.0,-194.5,163.0,-125.14016723632812,-0.19288071155548095
-7.0,-194.5,193.0,-127.7597427368164,-0.1961551809310913
-7.0,-194.5,224.44,-131.04888916015625,-0.20026661396026613
-7.0,-194.5,232.44,-133.5911102294922,-0.20344439029693603
-7.0,-194.5,240.44,-141.28465270996094,-0.21306131839752196
-195.51,0.0,335.35,-369.8258056640625,-0.49873775959014893
-195.51,-30.0,335.35,-373.1631774902344,-0.5029094743728638
-195.51,-60.0,335.35,-386.0875549316406,-0.5190649461746216
-195.51,-90.0,335.35,-411.2424621582031,-0.5505085802078247
-195.51,-120.0,335.35,-450.71075439453125,-0.5998439455032348
-195.51,-150.0,335.35,-497.3216552734375,-0.6581075716018677
-195.51,-157.5,335.35,-508.7035827636719,-0.6723349809646606
-195.51,-165.0,335.35,-514.0538940429688,-0.6790228700637817
-195.51,-172.5,335.35,-525.2396850585938,-0.693005108833313
-195.51,-180.0,335.35,-544.1129150390625,-0.716596646308899
-195.51,-187.5,335.35,-615.9839477539062,-0.8064354372024536
-188.26,0.0,331.97,-344.66015625,-0.4672806978225708
-188.26,-30.0,331.97,-345.8251953125,-0.4687369966506958
-188.26,-60.0,331.97,-352.5503845214844,-0.4771434831619263
-188.26,-90.0,331.97,-366.7648620605469,-0.4949115800857544
-188.26,-120.0,331.97,-390.73291015625,-0.5248716402053833
-188.26,-150.0,331.97,-426.59942626953125,-0.5697047853469849
-188.26,-157.5,331.97,-439.8382873535156,-0.5862533617019653
-188.26,-165.0,331.97,-445.5249938964844,-0.5933617448806763
-188.26,-172.5,331.97,-451.0844421386719,-0.6003110551834107
-188.26,-180.0,331.97,-460.0179138183594,-0.6114778947830201
-188.26,-187.5,331.97,-465.2490539550781,-0.6180168199539184
-181.01,0.0,328.59,-369.1969909667969,-0.4979517412185669
-181.01,-30.0,328.59,-374.1880187988281,-0.5041905260086059
-181.01,-60.0,328.59,-392.5111389160156,-0.5270944261550903
-181.01,-90.0,328.59,-422.9837646484375,-0.5651852083206177
-181.01,-120.0,328.59,-462.1671142578125,-0.6141643953323365
-181.01,-150.0,328.59,-473.0704650878906,-0.6277935838699341
-181.01,-157.5,328.59,-466.84210205078125,-0.6200081300735474
-181.01,-165.0,328.59,-462.10858154296875,-0.6140912294387817
-181.01,-172.5,328.59,-451.0994873046875,-0.6003298616409302
-181.01,-180.0,328.59,-443.9513244628906,-0.5913946580886841
-181.01,-187.5,328.59,-457.0069885253906,-0.607714238166809
-173.76,0.0,325.2,-303.4720458984375,-0.41579555988311767
-173.76,-30.0,325.2,-306.2162780761719,-0.4192258501052856
-173.76,-60.0,325.2,-318.07073974609375,-0.434043927192688
-173.76,-90.0,325.2,-341.0572814941406,-0.4627771043777466
-173.76,-120.0,325.2,-384.56134033203125,-0.5171571779251098
-173.76,-150.0,325.2,-459.53887939453125,-0.6108791017532349
-173.76,-157.5,325.2,-479.8232727050781,-0.6362345933914184
-173.76,-165.0,325.2,-485.9307861328125,-0.6438689851760864
-173.76,-172.5,325.2,-478.0994567871094,-0.6340798234939575
-173.76,-180.0,325.2,-459.6332092285156,-0.6109970140457154
-173.76,-187.5,325.2,-495.5565185546875,-0.6559011507034301
-155.63,0.0,316.75,-275.86859130859375,-0.38129124164581296
-155.63,-30.0,316.75,-278.08221435546875,-0.3840582704544067
-155.63,-60.0,316.75,-285.02740478515625,-0.3927397584915161
-155.63,-90.0,316.75,-296.19122314453125,-0.40669453144073486
-155.63,-120.0,316.75,-307.28021240234375,-0.4205557680130005
-155.63,-150.0,316.75,-312.5072937011719,-0.42708961963653563
-155.63,-157.5,316.75,-313.5697937011719,-0.42841774463653565
-155.63,-165.0,316.75,-315.6631774902344,-0.4310344743728638
-155.63,-172.5,316.75,-333.7154846191406,-0.45359985828399657
-155.63,-180.0,316.75,-388.7963562011719,-0.5224509477615357
-155.63,-187.5,316.75,-498.4873962402344,-0.6595647478103638
-128.45,0.0,304.07,-260.8534240722656,-0.3625222826004028
-128.45,-30.0,304.07,-262.6089782714844,-0.3647167253494263
-128.45,-60.0,304.07,-268.1963806152344,-0.37170097827911375
-128.45,-90.0,304.07,-277.4376525878906,-0.3832525682449341
-128.45,-120.0,304.07,-285.8847351074219,-0.39381142139434816
-128.45,-150.0,304.07,-288.90875244140625,-0.3975914430618286
-128.45,-157.5,304.07,-291.8163757324219,-0.40122597217559813
-128.45,-165.0,304.07,-297.87335205078125,-0.40879719257354735
-128.45,-172.5,304.07,-323.9840393066406,-0.44143555164337156
-128.45,-180.0,304.07,-355.3599548339844,-0.4806554460525513
-128.45,-187.5,304.07,-359.5660705566406,-0.4859130907058716
-101.26,0.0,291.4,-249.76666259765625,-0.34866383075714114
-101.26,-30.0,291.4,-251.04904174804688,-0.3502668046951294
-101.26,-60.0,291.4,-255.49493408203125,-0.35582417011260986
-101.26,-90.0,291.4,-263.48553466796875,-0.36581242084503174
-101.26,-120.0,291.4,-270.85455322265625,-0.3750236940383911
-101.26,-150.0,291.4,-275.6417236328125,-0.3810076570510864
-101.26,-157.5,291.4,-283.6183166503906,-0.3909783983230591
-101.26,-165.0,291.4,-295.2063293457031,-0.4054634141921997
-101.26,-172.5,291.4,-319.5535888671875,-0.4358974885940552
-101.26,-180.0,291.4,-318.7047119140625,-0.43483639240264893
-101.26,-187.5,291.4,-286.3995056152344,-0.39445488452911376
-74.07,0.0,278.72,-237.06106567382812,-0.33278183460235594
-74.07,-30.0,278.72,-238.0297393798828,-0.33399267673492433
-74.07,-60.0,278.72,-241.53207397460938,-0.3383705949783325
-74.07,-90.0,278.72,-247.70509338378906,-0.34608686923980714
-74.07,-120.0,278.72,-252.1292266845703,-0.3516170358657837
-74.07,-150.0,278.72,-257.7720031738281,-0.35867050647735593
-74.07,-157.5,278.72,-268.77166748046875,-0.37242008686065675
-74.07,-165.0,278.72,-280.4773864746094,-0.3870522356033325
-74.07,-172.5,278.72,-292.4945373535156,-0.4020736742019653
-74.07,-180.0,278.72,-282.64556884765625,-0.3897624635696411
-74.07,-187.5,278.72,-268.5040588378906,-0.3720855760574341
-46.88,0.0,266.04,-211.42930603027344,-0.3007421350479126
-46.88,-30.0,266.04,-212.47259521484375,-0.3020462465286255
-46.88,-60.0,266.04,-216.1355438232422,-0.3066249322891235
-46.88,-90.0,266.04,-222.41783142089844,-0.31447779178619384
-46.88,-120.0,266.04,-224.33233642578125,-0.31687092304229736
-46.88,-150.0,266.04,-230.70411682128906,-0.3248356485366821
-46.88,-157.5,266.04,-241.7459716796875,-0.3386379671096802
-46.88,-165.0,266.04,-250.3201904296875,-0.34935574054718016
-46.88,-172.5,266.04,-252.88568115234375,-0.3525626039505005
-46.88,-180.0,266.04,-243.1337432861328,-0.3403726816177368
-46.88,-187.5,266.04,-233.9549560546875,-0.32889919757843017
-28.75,0.0,257.59,-204.5014190673828,-0.29208227634429934
-28.75,-30.0,257.59,-202.23728942871094,-0.2892521142959595
-28.75,-60.0,257.59,-198.0158233642578,-0.28397528171539305
-28.75,-90.0,257.59,-197.1520233154297,-0.28289553165435793
-28.75,-120.0,257.59,-197.11810302734375,-0.2828531312942505
-28.75,-150.0,257.59,-204.20362854003906,-0.29171003818511965
-28.75,-157.5,257.59,-213.1828155517578,-0.30293402194976804
-28.75,-165.0,257.59,-218.53781127929688,-0.3096277666091919
-28.75,-172.5,257.59,-217.1031951904297,-0.3078344964981079
-28.75,-180.0,257.59,-208.46519470214844,-0.29703699588775634
-28.75,-187.5,257.59,-201.4580078125,-0.2882780122756958
-21.5,0.0,254.2,-211.78851318359375,-0.301191143989563
-21.5,-30.0,254.2,-207.61495971679688,-0.2959742021560669
-21.5,-60.0,254.2,-197.3088836669922,-0.28309160709381104
-21.5,-90.0,254.2,-189.04733276367188,-0.27276466846466063
-21.5,-120.0,254.2,-186.35488891601562,-0.26939911365509034
-21.5,-150.0,254.2,-193.73257446289062,-0.2786212205886841
-21.5,-157.5,254.2,-201.87464904785156,-0.28879881381988526
-21.5,-165.0,254.2,-206.2772674560547,-0.29430208683013914
-21.5,-172.5,254.2,-204.1522674560547,-0.29164583683013917
-21.5,-180.0,254.2,-196.21429443359375,-0.281723370552063
-21.5,-187.5,254.2,-190.26181030273438,-0.2742827653884888
-14.25,0.0,250.82,-220.82379150390625,-0.31248524188995364
-14.25,-30.0,250.82,-217.33892822265625,-0.3081291627883911
-14.25,-60.0,250.82,-202.15643310546875,-0.2891510438919067
-14.25,-90.0,250.82,-183.3583526611328,-0.2656534433364868
-14.25,-120.0,250.82,-175.02206420898438,-0.25523308277130125
-14.25,-150.0,250.82,-182.72019958496094,-0.264855751991272
-14.25,-157.5,250.82,-189.94696044921875,-0.27388920307159426
-14.25,-165.0,250.82,-193.5541534423828,-0.2783981943130493
-14.25,-172.5,250.82,-191.1099395751953,-0.27534292697906493
-14.25,-180.0,250.82,-184.11929321289062,-0.2666046190261841
-14.25,-187.5,250.82,-178.88427734375,-0.2600608491897583
-7.0,0.0,247.44,-232.3339080810547,-0.32687288761138916
-7.0,-30.0,247.44,-233.79052734375,-0.3286936616897583
-7.0,-60.0,247.44,-227.15577697753906,-0.3204002237319946
-7.0,-90.0,247.44,-188.22549438476562,-0.2717373704910278
-7.0,-120.0,247.44,-159.01809692382812,-0.23522812366485596
-7.0,-150.0,247.44,-164.52734375,-0.2421146821975708
-7.0,-157.5,247.44,-169.15673828125,-0.2479014253616333
-7.0,-165.0,247.44,-172.06939697265625,-0.2515422487258911
-7.0,-172.5,247.44,-170.62881469726562,-0.24974152088165283
-7.0,-180.0,247.44,-165.8255615234375,-0.24373745441436767
-7.0,-187.5,247.44,-163.13636779785156,-0.24037596225738525
-215.0,0.0,50.0,-124.57215881347656,-0.1921707010269165
-215.0,-30.0,50.0,-117.9315414428711,-0.18386992931365967
-215.0,-60.0,50.0,-108.71419525146484,-0.17234824657440184
-215.0,-90.0,50.0,-95.08656311035156,-0.15531370639801026
-215.0,-120.0,50.0,-74.00216674804688,-0.12895821094512938
-215.0,-150.0,50.0,-99.17039489746094,-0.16041849613189696
-215.0,-157.5,50.0,-99.2750015258789,-0.16054925441741943
-215.0,-165.0,50.0,-96.78604125976562,-0.15743805408477785
-215.0,-172.5,50.0,-106.54179382324219,-0.16963274478912355
-215.0,-180.0,50.0,-117.54979705810547,-0.18339274883270262
-215.0,-187.5,50.0,-131.55235290527344,-0.2008959436416626
-181.01,0.0,50.0,-117.71099090576172,-0.18359424114227296
-181.01,-30.0,50.0,-113.41027069091797,-0.17821834087371827
-181.01,-60.0,50.0,-107.90372467041016,-0.1713351583480835
-181.01,-90.0,50.0,-103.87491607666016,-0.166299147605896
-181.01,-120.0,50.0,-113.16582489013672,-0.1779127836227417
-181.01,-150.0,50.0,-112.35011291503906,-0.17689314365386963
-181.01,-157.5,50.0,-104.53751373291016,-0.1671273946762085
-181.01,-165.0,50.0,-99.96542358398438,-0.16141228199005128
-181.01,-172.5,50.0,-93.7888412475586,-0.15369155406951904
-181.01,-180.0,50.0,-87.65299987792969,-0.1460217523574829
-181.01,-187.5,50.0,-99.7265625,-0.1611137056350708
-128.45,0.0,50.0,-112.56451416015625,-0.1771611452102661
-128.45,-30.0,50.0,-110.72711181640625,-0.17486439228057862
-128.45,-60.0,50.0,-108.4415283203125,-0.17200741291046143
-128.45,-90.0,50.0,-104.91148376464844,-0.16759485721588135
-128.45,-120.0,50.0,-91.22351837158203,-0.15048490047454835
-128.45,-150.0,50.0,-111.15918731689453,-0.17540448665618896
-128.45,-157.5,50.0,-109.11127471923828,-0.17284459590911866
-128.45,-165.0,50.0,-108.91252899169922,-0.17259616374969483
-128.45,-172.5,50.0,-115.03968811035156,-0.18025511264801025
-128.45,-180.0,50.0,-120.04434967041016,-0.18651093959808349
-128.45,-187.5,50.0,-120.55217742919922,-0.18714572429656984
-74.07,0.0,50.0,-109.65525817871094,-0.17352457523345946
-74.07,-30.0,50.0,-109.38992309570312,-0.1731929063796997
-74.07,-60.0,50.0,-109.63712310791016,-0.1735019063949585
-74.07,-90.0,50.0,-110.21310424804688,-0.1742218828201294
-74.07,-120.0,50.0,-111.74171447753906,-0.17613264560699463
-74.07,-150.0,50.0,-107.8287353515625,-0.17124142169952392
-74.07,-157.5,50.0,-105.54092407226562,-0.16838165760040283
-74.07,-165.0,50.0,-103.46361541748047,-0.1657850217819214
-74.07,-172.5,50.0,-101.59652709960938,-0.16345116138458252
-74.07,-180.0,50.0,-99.82661437988281,-0.16123877048492433
-74.07,-187.5,50.0,-108.01838684082031,-0.1714784860610962
-21.0,0.0,50.0,-99.56002807617188,-0.16090553760528564
-21.0,-30.0,50.0,-101.50965118408203,-0.16334256649017334
-21.0,-60.0,50.0,-107.27862548828125,-0.17055378437042237
-21.0,-90.0,50.0,-113.79120635986328,-0.1786945104598999
-21.0,-120.0,50.0,-114.4892349243164,-0.17956704616546632
-21.0,-150.0,50.0,-120.37862396240234,-0.18692878246307373
-21.0,-157.5,50.0,-120.34831237792969,-0.1868908929824829
-21.0,-165.0,50.0,-121.0501480102539,-0.18776818752288818
-21.0,-172.5,50.0,-124.20426940917969,-0.19171083927154542
-21.0,-180.0,50.0,-126.99980926513672,-0.1952052640914917
-21.0,-187.5,50.0,-124.94998168945312,-0.1926429796218872
-14.0,0.0,50.0,-96.9075927734375,-0.15758999347686767
-14.0,-30.0,50.0,-99.3797836303711,-0.16068023204803467
-14.0,-60.0,50.0,-106.4928970336914,-0.16957162380218505
-14.0,-90.0,50.0,-115.29450988769531,-0.18057363986968994
-14.0,-120.0,50.0,-115.19120025634766,-0.18044450283050537
-14.0,-150.0,50.0,-120.27923583984375,-0.1868045473098755
-14.0,-157.5,50.0,-120.61316680908203,-0.18722196102142333
-14.0,-165.0,50.0,-121.72289276123047,-0.18860911846160888
-14.0,-172.5,50.0,-126.06901550292969,-0.19404177188873292
-14.0,-180.0,50.0,-130.14512634277344,-0.1991369104385376
-14.0,-187.5,50.0,-129.28143310546875,-0.19805729389190674
-7.0,0.0,50.0,-97.49898529052734,-0.15832923412322997
-7.0,-30.0,50.0,-101.17301177978516,-0.16292176723480226
-7.0,-60.0,50.0,-110.97929382324219,-0.17517961978912353
-7.0,-90.0,50.0,-122.84982299804688,-0.1900177812576294
-7.0,-120.0,50.0,-129.07899475097656,-0.1978042459487915
-7.0,-150.0,50.0,-129.05068969726562,-0.19776886463165283
-7.0,-157.5,50.0,-125.32084655761719,-0.19310656070709228
-7.0,-165.0,50.0,-126.81153869628906,-0.19496992588043213
-7.0,-172.5,50.0,-133.73178100585938,-0.20362022876739502
-7.0,-180.0,50.0,-139.4709014892578,-0.21079412937164307
-7.0,-187.5,50.0,-134.92425537109375,-0.205110821723938
0.0,0.0,232.18,-157.97532653808594,-0.23392466068267823
0.0,-30.0,232.18,-159.4076690673828,-0.23571508884429931
0.0,-60.0,232.18,-160.72923278808594,-0.23736704349517823
0.0,-90.0,232.18,-155.37269592285156,-0.23067137241363525
0.0,-120.0,232.18,-146.7330780029297,-0.2198718500137329
0.0,-150.0,232.18,-153.0242462158203,-0.22773581027984618
0.0,-157.5,232.18,-153.75827026367188,-0.22865334033966064
0.0,-165.0,232.18,-152.81663513183594,-0.22747629642486572
0.0,-172.5,232.18,-149.89234924316406,-0.2238209390640259
0.0,-180.0,232.18,-147.9955291748047,-0.22144991397857666
0.0,-187.5,232.18,-147.1217498779297,-0.2203576898574829
0.0,0.0,224.18,-149.01510620117188,-0.22272438526153565
0.0,-30.0,224.18,-151.21014404296875,-0.22546818256378173
0.0,-60.0,224.18,-155.2377471923828,-0.2305026865005493
0.0,-90.0,224.18,-155.48594665527344,-0.2308129358291626
0.0,-120.0,224.18,-153.0262908935547,-0.22773836612701415
0.0,-150.0,224.18,-155.36618041992188,-0.23066322803497313
0.0,-157.5,224.18,-154.9264373779297,-0.23011354923248292
0.0,-165.0,224.18,-153.7127227783203,-0.22859640598297118
0.0,-172.5,224.18,-150.81809997558594,-0.22497812747955323
0.0,-180.0,224.18,-148.92282104492188,-0.22260902881622313
0.0,-187.5,224.18,-148.06781005859375,-0.22154026508331298
0.0,0.0,216.18,-142.97421264648438,-0.21517326831817626
0.0,-30.0,216.18,-145.74488830566406,-0.2186366128921509
0.0,-60.0,216.18,-151.62266540527344,-0.2259838342666626
0.0,-90.0,216.18,-155.17466735839844,-0.23042383670806885
0.0,-120.0,216.18,-156.0162811279297,-0.2314758539199829
0.0,-150.0,216.18,-157.32240295410156,-0.23310850620269774
0.0,-157.5,216.18,-156.26173400878906,-0.23178267002105712
0.0,-165.0,216.18,-154.7498779296875,-0.22989284992218018
0.0,-172.5,216.18,-151.58905029296875,-0.22594181537628175
0.0,-180.0,216.18,-149.56802368164062,-0.2234155321121216
0.0,-187.5,216.18,-148.64715576171875,-0.22226444721221925
0.0,0.0,188.0,-111.87064361572266,-0.1762938070297241
0.0,-30.0,188.0,-116.92123413085938,-0.182607045173645
0.0,-60.0,188.0,-130.1532440185547,-0.19914705753326417
0.0,-90.0,188.0,-145.10775756835938,-0.21784019947052002
0.0,-120.0,188.0,-157.4025115966797,-0.2332086420059204
0.0,-150.0,188.0,-161.99891662597656,-0.2389541482925415
0.0,-157.5,188.0,-160.77655029296875,-0.23742619037628174
0.0,-165.0,188.0,-158.93275451660156,-0.23512144565582274
0.0,-172.5,188.0,-154.80873107910156,-0.22996641635894777
0.0,-180.0,188.0,-151.8395538330078,-0.22625494480133057
0.0,-187.5,188.0,-150.07752990722656,-0.224052414894104
0.0,0.0,158.0,-80.17691040039062,-0.13667664051055908
0.0,-30.0,158.0,-86.4723129272461,-0.14454589366912843
0.0,-60.0,158.0,-103.91963958740234,-0.16635505199432374
0.0,-90.0,158.0,-126.11709594726562,-0.19410187244415283
0.0,-120.0,158.0,-147.64218139648438,-0.22100822925567626
0.0,-150.0,158.0,-159.7908172607422,-0.23619402408599854
0.0,-157.5,158.0,-160.16220092773438,-0.23665825366973878
0.0,-165.0,158.0,-158.91404724121094,-0.23509806156158447
0.0,-172.5,158.0,-154.6817626953125,-0.22980770587921143
0.0,-180.0,158.0,-150.90921020507812,-0.22509201526641845
0.0,-187.5,158.0,-148.20497131347656,-0.2217117166519165
0.0,0.0,128.0,-67.59136962890625,-0.12094471454620362
0.0,-30.0,128.0,-74.63582611083984,-0.1297502851486206
0.0,-60.0,128.0,-94.06192779541016,-0.1540329122543335
0.0,-90.0,128.0,-118.87128448486328,-0.1850446081161499
0.0,-120.0,128.0,-143.45484924316406,-0.21577406406402588
0.0,-150.0,128.0,-157.15171813964844,-0.23289515018463136
0.0,-157.5,128.0,-157.5619354248047,-0.23340792179107667
0.0,-165.0,128.0,-156.22158813476562,-0.23173248767852783
0.0,-172.5,128.0,-151.74334716796875,-0.22613468647003174
0.0,-180.0,128.0,-147.80474853515625,-0.22121143817901612
0.0,-187.5,128.0,-144.9773406982422,-0.21767717838287354
0.0,0.0,98.0,-83.84761810302734,-0.14126502513885497
0.0,-30.0,98.0,-90.26753997802734,-0.14928992748260497
0.0,-60.0,98.0,-108.49115753173828,-0.17206944942474364
0.0,-90.0,98.0,-131.64801025390625,-0.20101551532745363
0.0,-120.0,98.0,-150.91323852539062,-0.22509705066680907
0.0,-150.0,98.0,-157.15499877929688,-0.2328992509841919
0.0,-157.5,98.0,-155.4773406982422,-0.23080217838287354
0.0,-165.0,98.0,-153.12185668945312,-0.2278578233718872
0.0,-172.5,98.0,-148.07443237304688,-0.22154854297637938
0.0,-180.0,98.0,-144.5987091064453,-0.21720388889312744
0.0,-187.5,98.0,-142.5684356689453,-0.21466604709625245
0.0,0.0,68.0,-113.09346008300781,-0.17782232761383057
0.0,-30.0,68.0,-117.6083984375,-0.1834660005569458
0.0,-60.0,68.0,-130.15672302246094,-0.19915140628814698
0.0,-90.0,68.0,-145.48716735839844,-0.21831446170806884
0.0,-120.0,68.0,-155.6623992919922,-0.23103350162506103
0.0,-150.0,68.0,-153.0239715576172,-0.2277354669570923
0.0,-157.5,68.0,-149.9175567626953,-0.22385244846343993
0.0,-165.0,68.0,-147.5740203857422,-0.22092302799224853
0.0,-172.5,68.0,-143.8681182861328,-0.21629065036773681
0.0,-180.0,68.0,-141.63768005371094,-0.21350260257720946
0.0,-187.5,68.0,-140.689697265625,-0.21231762409210206
0.0,0.0,60.0,-108.68772888183594,-0.17231516361236573
0.0,-30.0,60.0,-113.23509979248047,-0.1779993772506714
0.0,-60.0,60.0,-126.03177642822266,-0.1939952230453491
0.0,-90.0,60.0,-142.03170776367188,-0.21399513721466065
0.0,-120.0,60.0,-152.96096801757812,-0.22765671253204345
0.0,-150.0,60.0,-150.44732666015625,-0.2245146608352661
0.0,-157.5,60.0,-147.7917022705078,-0.22119513034820557
0.0,-165.0,60.0,-146.18521118164062,-0.21918701648712158
0.0,-172.5,60.0,-143.7534942626953,-0.21614737033843995
0.0,-180.0,60.0,-141.73870849609375,-0.213628888130188
0.0,-187.5,60.0,-140.51416015625,-0.2120982027053833
0.0,0.0,52.0,-95.59452819824219,-0.15594866275787353
0.0,-30.0,52.0,-98.98753356933594,-0.16018991947174072
0.0,-60.0,52.0,-111.4306869506836,-0.1757438611984253
0.0,-90.0,52.0,-127.28083038330078,-0.19555654048919677
0.0,-120.0,52.0,-138.59262084960938,-0.2096962785720825
0.0,-150.0,52.0,-138.09288024902344,-0.2090716028213501
