# Residuals   
# Time        	omega         
334           	1.171871e-06
335           	1.163341e-06
336           	1.155483e-06
337           	1.146683e-06
338           	1.137923e-06
339           	1.129621e-06
340           	1.121186e-06
341           	1.113597e-06
342           	1.105680e-06
343           	1.097280e-06
344           	1.089695e-06
345           	1.081581e-06
346           	1.073525e-06
347           	1.065599e-06
348           	1.057889e-06
349           	1.050781e-06
350           	1.043069e-06
351           	1.035339e-06
352           	1.027772e-06
353           	1.020855e-06
354           	1.013579e-06
355           	1.005931e-06
356           	9.987751e-07
357           	9.918471e-07
358           	9.845498e-07
359           	9.773871e-07
360           	9.704576e-07
361           	9.647124e-07
362           	9.573315e-07
363           	9.502763e-07
364           	9.437097e-07
365           	9.369077e-07
366           	9.304749e-07
367           	9.237071e-07
368           	9.169483e-07
369           	9.109668e-07
370           	9.044420e-07
371           	8.977916e-07
372           	8.915986e-07
373           	8.860913e-07
374           	8.796467e-07
375           	8.731758e-07
376           	8.672430e-07
377           	8.613923e-07
378           	8.552682e-07
379           	8.490386e-07
380           	8.433679e-07
381           	8.378032e-07
382           	8.315545e-07
383           	8.259360e-07
384           	8.200279e-07
385           	8.143719e-07
386           	8.086635e-07
387           	8.034296e-07
388           	7.978605e-07
389           	7.928513e-07
390           	7.870226e-07
391           	7.823090e-07
392           	7.768201e-07
393           	7.712283e-07
394           	7.660547e-07
395           	7.606687e-07
396           	7.553683e-07
397           	7.508986e-07
398           	7.458404e-07
399           	7.403202e-07
400           	7.352876e-07
401           	7.303198e-07
402           	7.254352e-07
403           	7.203496e-07
404           	7.155745e-07
405           	7.112709e-07
406           	7.069736e-07
407           	7.016392e-07
408           	6.970627e-07
409           	6.920050e-07
410           	6.876743e-07
411           	6.827290e-07
412           	6.780896e-07
413           	6.737953e-07
414           	6.701131e-07
415           	6.653572e-07
416           	6.608368e-07
417           	6.563320e-07
418           	6.519527e-07
419           	6.475709e-07
420           	6.433020e-07
421           	6.388998e-07
422           	6.353770e-07
423           	6.313467e-07
424           	6.272344e-07
425           	6.227728e-07
426           	6.188990e-07
427           	6.144799e-07
428           	6.107777e-07
429           	6.064938e-07
430           	6.030101e-07
431           	5.989897e-07
432           	5.958698e-07
433           	5.914825e-07
434           	5.876458e-07
435           	5.835876e-07
436           	5.801693e-07
437           	5.764032e-07
438           	5.730568e-07
439           	5.690536e-07
440           	5.658246e-07
441           	5.618728e-07
442           	5.592713e-07
443           	5.551609e-07
444           	5.516610e-07
445           	5.479209e-07
446           	5.455230e-07
447           	5.415105e-07
448           	5.381934e-07
449           	5.347267e-07
450           	5.313368e-07
451           	5.287193e-07
452           	5.251187e-07
453           	5.216098e-07
454           	5.189980e-07
455           	5.156264e-07
456           	5.124637e-07
457           	5.089625e-07
458           	5.058910e-07
459           	5.027386e-07
460           	5.003547e-07
461           	4.971157e-07
462           	4.946805e-07
463           	4.911947e-07
464           	4.881264e-07
465           	4.854333e-07
466           	4.822982e-07
467           	4.793258e-07
468           	4.763527e-07
469           	4.734241e-07
470           	4.723149e-07
471           	4.687621e-07
472           	4.656066e-07
473           	4.626924e-07
474           	4.601618e-07
475           	4.574074e-07
476           	4.544868e-07
477           	4.517092e-07
478           	4.497628e-07
479           	4.477941e-07
480           	4.445313e-07
481           	4.417191e-07
482           	4.391105e-07
483           	4.366603e-07
484           	4.341821e-07
485           	4.314404e-07
486           	4.297114e-07
487           	4.269837e-07
488           	4.248691e-07
489           	4.220021e-07
490           	4.195114e-07
491           	4.173549e-07
492           	4.146475e-07
493           	4.121864e-07
494           	4.106705e-07
495           	4.080568e-07
496           	4.055205e-07
497           	4.034831e-07
498           	4.018588e-07
499           	3.998162e-07
500           	3.971355e-07
501           	3.947801e-07
502           	3.929586e-07
503           	3.908563e-07
504           	3.883645e-07
505           	3.862936e-07
506           	3.841460e-07
507           	3.818950e-07
508           	3.803012e-07
509           	3.782498e-07
510           	3.766930e-07
511           	3.742651e-07
512           	3.718830e-07
513           	3.701391e-07
514           	3.681869e-07
515           	3.659741e-07
516           	3.638406e-07
517           	3.621061e-07
518           	3.606025e-07
519           	3.585557e-07
520           	3.565582e-07
521           	3.544524e-07
522           	3.538880e-07
523           	3.521358e-07
524           	3.501404e-07
525           	3.479521e-07
526           	3.467077e-07
527           	3.445145e-07
528           	3.426092e-07
529           	3.406983e-07
530           	3.389648e-07
531           	3.379577e-07
532           	3.361406e-07
533           	3.339592e-07
534           	3.326990e-07
535           	3.306898e-07
536           	3.288170e-07
537           	3.273259e-07
538           	3.262350e-07
539           	3.241838e-07
540           	3.223605e-07
541           	3.209951e-07
542           	3.196894e-07
543           	3.180235e-07
544           	3.163034e-07
545           	3.146225e-07
546           	3.131482e-07
547           	3.121576e-07
548           	3.104026e-07
549           	3.088288e-07
550           	3.080864e-07
551           	3.060891e-07
552           	3.047333e-07
553           	3.029726e-07
554           	3.014493e-07
555           	2.999322e-07
556           	2.985931e-07
557           	2.971102e-07
558           	2.965312e-07
559           	2.951540e-07
560           	2.935692e-07
561           	2.929416e-07
562           	2.914159e-07
563           	2.897118e-07
564           	2.882964e-07
565           	2.869654e-07
566           	2.860624e-07
567           	2.848099e-07
568           	2.834105e-07
569           	2.817462e-07
570           	2.804551e-07
571           	2.795395e-07
572           	2.781119e-07
573           	2.767171e-07
574           	2.760112e-07
575           	2.745489e-07
576           	2.742126e-07
577           	2.727593e-07
578           	2.715343e-07
579           	2.698702e-07
580           	2.688542e-07
581           	2.677230e-07
582           	2.671121e-07
583           	2.655831e-07
584           	2.641642e-07
585           	2.636505e-07
586           	2.625973e-07
587           	2.609624e-07
588           	2.596696e-07
589           	2.587794e-07
590           	2.580965e-07
591           	2.566523e-07
592           	2.554298e-07
593           	2.541287e-07
594           	2.540877e-07
595           	2.526996e-07
596           	2.514277e-07
597           	2.503051e-07
598           	2.499495e-07
599           	2.484052e-07
600           	2.472899e-07
601           	2.461323e-07
602           	2.452722e-07
603           	2.447843e-07
604           	2.437877e-07
605           	2.426889e-07
606           	2.421026e-07
607           	2.408805e-07
608           	2.396683e-07
609           	2.385664e-07
610           	2.377825e-07
611           	2.366282e-07
612           	2.364452e-07
613           	2.356373e-07
614           	2.349819e-07
615           	2.335411e-07
616           	2.326175e-07
617           	2.314428e-07
618           	2.307038e-07
619           	2.296458e-07
620           	2.287537e-07
621           	2.287956e-07
622           	2.284526e-07
623           	2.269671e-07
624           	2.257504e-07
625           	2.248794e-07
626           	2.240665e-07
627           	2.230482e-07
628           	2.223056e-07
629           	2.215776e-07
630           	2.221352e-07
631           	2.208534e-07
632           	2.197070e-07
633           	2.185071e-07
634           	2.180567e-07
635           	2.169309e-07
636           	2.162376e-07
637           	2.156430e-07
638           	2.153705e-07
639           	2.150174e-07
640           	2.140892e-07
641           	2.129092e-07
642           	2.121768e-07
643           	2.113611e-07
644           	2.105575e-07
645           	2.099689e-07
646           	2.098658e-07
647           	2.086922e-07
648           	2.087064e-07
649           	2.077347e-07
650           	2.069663e-07
651           	2.059042e-07
652           	2.053571e-07
653           	2.047608e-07
654           	2.045905e-07
655           	2.035978e-07
656           	2.027374e-07
657           	2.027548e-07
658           	2.022046e-07
659           	2.011073e-07
660           	2.002795e-07
661           	1.999466e-07
